GEO,2023,2024,2025
AL,0.0,0.0,0.0
AL0,0.0,0.0,0.0
AL03,0.0,0.0,0.0
AL033,0.0,0.0,0.0
AL034,0.0,0.0,0.0
AL035,0.0,0.0,0.0
AT,4414985.0,4414985.0,4414985.0
AT1,1924434.0,1924434.0,1924434.0
AT11,145740.0,145740.0,145740.0
AT111,18505.0,18505.0,18505.0
AT112,79631.0,79631.0,79631.0
AT113,47604.0,47604.0,47604.0
AT12,842069.0,842069.0,842069.0
AT121,124483.0,124483.0,124483.0
AT122,129173.0,129173.0,129173.0
AT123,78028.0,78028.0,78028.0
AT124,106794.0,106794.0,106794.0
AT125,62482.0,62482.0,62482.0
AT126,166790.0,166790.0,166790.0
AT127,174319.0,174319.0,174319.0
AT13,936625.0,936625.0,936625.0
AT130,936625.0,936625.0,936625.0
AT2,893898.0,893898.0,893898.0
AT21,275318.0,275318.0,275318.0
AT211,141698.0,141698.0,141698.0
AT212,60545.0,60545.0,60545.0
AT213,73075.0,73075.0,73075.0
AT22,618580.0,618580.0,618580.0
AT221,223720.0,223720.0,223720.0
AT222,38805.0,38805.0,38805.0
AT223,77281.0,77281.0,77281.0
AT224,132375.0,132375.0,132375.0
AT225,97892.0,97892.0,97892.0
AT226,48507.0,48507.0,48507.0
AT3,1596653.0,1596653.0,1596653.0
AT31,747079.0,747079.0,747079.0
AT311,146858.0,146858.0,146858.0
AT312,296082.0,296082.0,296082.0
AT313,106603.0,106603.0,106603.0
AT314,78192.0,78192.0,78192.0
AT315,119344.0,119344.0,119344.0
AT32,274396.0,274396.0,274396.0
AT321,9972.0,9972.0,9972.0
AT322,83843.0,83843.0,83843.0
AT323,180581.0,180581.0,180581.0
AT33,376591.0,376591.0,376591.0
AT331,16332.0,16332.0,16332.0
AT332,154508.0,154508.0,154508.0
AT333,24115.0,24115.0,24115.0
AT334,52365.0,52365.0,52365.0
AT335,129271.0,129271.0,129271.0
AT34,198587.0,198587.0,198587.0
AT341,46450.0,46450.0,46450.0
AT342,152137.0,152137.0,152137.0
BA,1956.0,1956.0,1956.0
BA0,1956.0,1956.0,1956.0
BA01,1295.0,1295.0,1295.0
BA02,661.0,661.0,661.0
BA03,0.0,0.0,0.0
BE,5680722.0,5680722.0,5680722.0
BE1,590456.0,590456.0,590456.0
BE10,590456.0,590456.0,590456.0
BE100,590456.0,590456.0,590456.0
BE2,3299370.0,3299370.0,3299370.0
BE21,932041.0,932041.0,932041.0
BE211,527009.0,527009.0,527009.0
BE212,170384.0,170384.0,170384.0
BE213,234648.0,234648.0,234648.0
BE22,440612.0,440612.0,440612.0
BE223,103271.0,103271.0,103271.0
BE224,209283.0,209283.0,209283.0
BE225,128058.0,128058.0,128058.0
BE23,758645.0,758645.0,758645.0
BE231,145396.0,145396.0,145396.0
BE232,100112.0,100112.0,100112.0
BE233,43458.0,43458.0,43458.0
BE234,281477.0,281477.0,281477.0
BE235,60902.0,60902.0,60902.0
BE236,127300.0,127300.0,127300.0
BE24,582628.0,582628.0,582628.0
BE241,328525.0,328525.0,328525.0
BE242,254103.0,254103.0,254103.0
BE25,585444.0,585444.0,585444.0
BE251,137111.0,137111.0,137111.0
BE252,26260.0,26260.0,26260.0
BE253,53459.0,53459.0,53459.0
BE254,143103.0,143103.0,143103.0
BE255,73314.0,73314.0,73314.0
BE256,77133.0,77133.0,77133.0
BE257,47035.0,47035.0,47035.0
BE258,28029.0,28029.0,28029.0
BE3,1790896.0,1790896.0,1790896.0
BE31,197632.0,197632.0,197632.0
BE310,197632.0,197632.0,197632.0
BE32,655474.0,655474.0,655474.0
BE323,125813.0,125813.0,125813.0
BE328,109658.0,109658.0,109658.0
BE329,69475.0,69475.0,69475.0
BE32A,62142.0,62142.0,62142.0
BE32B,192490.0,192490.0,192490.0
BE32C,51154.0,51154.0,51154.0
BE32D,44742.0,44742.0,44742.0
BE33,546115.0,546115.0,546115.0
BE331,55917.0,55917.0,55917.0
BE332,306527.0,306527.0,306527.0
BE334,40353.0,40353.0,40353.0
BE335,104331.0,104331.0,104331.0
BE336,38987.0,38987.0,38987.0
BE34,145378.0,145378.0,145378.0
BE341,31608.0,31608.0,31608.0
BE342,25454.0,25454.0,25454.0
BE343,29130.0,29130.0,29130.0
BE344,32395.0,32395.0,32395.0
BE345,26791.0,26791.0,26791.0
BE35,246297.0,246297.0,246297.0
BE351,55598.0,55598.0,55598.0
BE352,157186.0,157186.0,157186.0
BE353,33513.0,33513.0,33513.0
BG,3098562.0,3098562.0,3098562.0
BG3,1522882.0,1522882.0,1522882.0
BG31,333902.0,333902.0,333902.0
BG311,36303.0,36303.0,36303.0
BG312,58095.0,58095.0,58095.0
BG313,74248.0,74248.0,74248.0
BG314,108925.0,108925.0,108925.0
BG315,56331.0,56331.0,56331.0
BG32,331941.0,331941.0,331941.0
BG321,99135.0,99135.0,99135.0
BG322,46569.0,46569.0,46569.0
BG323,92434.0,92434.0,92434.0
BG324,49667.0,49667.0,49667.0
BG325,44136.0,44136.0,44136.0
BG33,399124.0,399124.0,399124.0
BG331,206311.0,206311.0,206311.0
BG332,71834.0,71834.0,71834.0
BG333,73358.0,73358.0,73358.0
BG334,47621.0,47621.0,47621.0
BG34,457915.0,457915.0,457915.0
BG341,179022.0,179022.0,179022.0
BG342,83241.0,83241.0,83241.0
BG343,53236.0,53236.0,53236.0
