GEO,2023,2024,2025
AT,81.9,81.71,80.47
AT1,82.74,84.81,82.57
AT11,85.35,84.45,79.99
AT111,83.74,78.62,75.1
AT112,81.22,82.04,73.49
AT113,91.41,90.21,90.62
AT12,82.1,84.9,83.27
AT121,76.92,79.37,77.92
AT122,80.64,86.38,86.05
AT123,80.81,90.21,83.19
AT124,81.99,82.97,81.66
AT125,87.59,87.63,86.89
AT126,83.6,87.45,84.77
AT127,86.63,85.0,86.37
AT13,79.97,84.09,76.33
AT130,79.97,84.09,76.33
AT2,86.99,85.84,85.18
AT21,85.5,87.97,86.57
AT211,80.67,88.73,88.41
AT212,89.92,89.93,88.55
AT213,86.96,85.52,82.95
AT22,87.79,84.71,84.45
AT221,96.02,92.24,93.15
AT222,69.33,70.91,69.23
AT223,90.54,87.25,85.37
AT224,88.21,83.81,85.23
AT225,89.72,87.04,85.6
AT226,89.24,85.55,84.03
AT3,77.47,76.1,75.27
AT31,87.13,87.54,87.08
AT311,90.13,89.79,88.79
AT312,87.29,89.15,89.67
AT313,85.26,87.27,89.07
AT314,85.81,87.34,85.65
AT315,85.05,82.15,79.32
AT32,62.32,58.8,56.86
AT321,59.88,53.32,49.52
AT322,50.43,46.86,48.1
AT323,77.29,74.46,69.02
AT33,68.11,63.38,62.31
AT331,68.51,64.2,66.61
AT332,72.99,72.52,67.33
AT333,80.31,76.68,80.49
AT334,65.43,62.42,65.42
AT335,64.73,56.8,53.06
AT34,64.6,65.36,65.34
AT341,54.47,56.68,54.67
AT342,80.97,79.38,82.58
BE,81.29,68.11,61.9
BE1,14.32,9.37,9.37
BE10,14.32,9.37,9.37
BE100,14.32,9.37,9.37
BE2,66.5,42.81,32.88
BE21,64.09,37.36,32.17
BE211,63.82,37.26,27.06
BE212,59.5,24.54,22.18
BE213,65.62,41.32,37.39
BE22,70.82,51.52,38.57
BE223,64.84,47.9,35.98
BE224,73.44,45.91,42.22
BE225,73.01,58.91,37.39
BE23,71.27,41.32,31.31
BE231,77.23,49.27,38.64
BE232,63.5,30.04,24.01
BE233,69.53,50.29,40.36
BE234,67.08,36.28,25.91
BE235,81.38,46.75,34.41
BE236,68.29,35.94,28.13
BE24,75.8,49.06,37.92
BE241,66.56,42.12,31.28
BE242,80.71,52.75,41.46
BE25,55.73,38.66,28.39
BE251,50.52,32.14,24.53
BE252,80.15,60.22,46.27
BE253,71.04,48.79,37.46
BE254,33.97,22.07,12.02
BE255,63.81,50.11,36.13
BE256,31.5,21.02,15.84
BE257,52.28,36.0,21.52
BE258,70.11,50.94,47.94
BE3,95.46,92.3,89.62
BE31,96.53,93.32,91.17
BE310,96.53,93.32,91.17
BE32,97.03,93.59,91.66
BE323,99.03,97.23,96.22
BE328,97.01,95.29,93.91
BE329,98.75,100.0,96.17
BE32A,98.05,97.08,94.73
BE32B,96.2,80.49,79.07
BE32C,92.59,87.03,83.43
BE32D,96.8,93.43,91.54
BE33,94.08,90.47,86.42
BE331,98.23,96.83,92.47
BE332,95.53,92.2,87.09
BE334,96.7,93.27,92.22
BE335,90.53,85.44,79.17
BE336,90.71,86.66,84.75
BE34,93.18,90.78,87.77
BE341,90.85,95.51,93.76
BE342,86.9,85.59,83.88
BE343,90.45,83.01,76.73
BE344,95.88,93.6,90.57
BE345,100.0,98.32,96.94
BE35,96.51,93.57,91.57
BE351,99.62,96.73,94.66
BE352,96.62,93.23,89.54
BE353,91.39,89.37,91.18
BG,98.74,98.14,97.94
BG3,98.57,97.75,97.59
BG31,100.0,99.84,99.68
BG311,100.0,100.0,100.0
BG312,100.0,100.0,99.63
BG313,100.0,100.0,100.0
BG314,100.0,100.0,100.0
BG315,99.97,99.1,98.57
BG32,99.88,99.82,99.67
BG321,99.58,99.4,99.39
BG322,100.0,100.0,100.0
BG323,100.0,100.0,99.95
BG324,100.0,100.0,100.0
BG325,100.0,100.0,99.23
BG33,99.27,98.13,97.76
BG331,98.57,95.66,95.17
BG332,98.96,98.51,97.58
BG333,100.0,100.0,100.0
BG334,100.0,100.0,100.0
BG34,95.63,93.8,93.79
BG341,92.76,88.41,88.42
BG342,99.93,99.93,99.84
BG343,100.0,100.0,99.99
BG344,94.39,93.9,93.9
BG4,98.97,98.71,98.45
BG41,98.96,98.43,98.03
BG411,98.7,98.64,98.31
BG412,99.97,99.97,99.8
BG413,97.46,96.03,95.83
BG414,100.0,99.47,98.67
BG415,99.97,99.97,98.8
BG42,98.97,98.91,98.75
BG421,99.72,99.69,99.7
BG422,100.0,99.94,99.94
BG423,99.6,99.46,99.46
BG424,93.85,93.74,93.74
BG425,99.99,99.99,99.02
CH,90.77,88.63,85.32
CH0,90.77,88.63,85.32
CH01,89.99,88.51,84.06
CH011,91.62,91.13,87.91
CH012,88.02,86.05,78.82
CH013,84.69,75.15,75.32
CH02,91.39,89.8,86.83
CH021,89.1,86.17,83.15
CH022,94.65,92.41,91.76
CH023,97.0,96.36,95.81
CH024,86.43,90.27,84.83
CH025,94.29,98.7,87.99
CH03,91.65,88.66,87.02
CH031,100.0,100.0,100.0
CH032,93.95,93.36,92.51
CH033,90.83,86.99,85.07
CH04,91.91,88.52,86.81
CH040,91.91,88.52,86.81
CH05,87.23,86.4,84.09
CH051,83.08,74.13,68.23
CH052,99.18,99.0,98.98
CH053,90.97,90.97,91.9
CH054,96.17,94.97,93.14
CH055,89.88,88.62,84.31
CH056,74.52,74.41,74.59
CH057,96.87,96.77,92.61
CH06,92.72,88.68,82.79
CH061,95.6,85.62,81.79
CH062,97.98,97.34,70.61
CH063,88.61,97.1,87.37
CH064,65.99,65.99,65.99
CH065,93.38,92.23,92.23
CH066,97.35,97.55,96.55
CH07,98.04,90.58,86.49
CH070,98.04,90.58,86.49
CY,99.66,97.99,97.45
CY0,99.66,97.99,97.45
CY00,99.66,97.99,97.45
CY000,99.66,97.99,97.45
CZ,99.71,99.56,99.39
CZ0,99.71,99.56,99.39
CZ01,85.07,81.88,81.6
CZ010,85.07,81.88,81.6
CZ02,99.78,99.59,99.47
CZ020,99.78,99.59,99.47
CZ03,99.59,99.39,99.39
CZ031,99.43,99.12,99.12
CZ032,99.75,99.67,99.68
CZ04,99.64,99.22,99.06
CZ041,99.81,100.0,99.75
CZ042,99.56,98.84,98.73
CZ05,99.77,99.63,99.55
CZ051,99.81,99.81,99.81
CZ052,99.69,99.38,99.3
CZ053,99.83,99.78,99.63
CZ06,99.84,99.72,99.4
CZ063,99.83,99.56,99.03
CZ064,99.84,99.82,99.64
CZ07,99.84,99.89,99.55
CZ071,99.78,99.96,99.31
CZ072,99.9,99.82,99.81
CZ08,99.82,99.73,99.59
CZ080,99.82,99.73,99.59
DE,94.55,92.51,90.75
DE1,93.61,89.58,88.16
DE11,94.85,90.43,89.62
DE111,16.0,15.53,15.53
DE112,93.27,73.72,69.63
DE113,73.22,61.13,63.7
DE114,94.14,88.57,85.72
DE115,88.4,82.71,79.37
DE116,95.82,94.13,92.56
DE117,89.17,89.17,88.93
DE118,98.39,95.55,94.3
DE119,94.18,93.85,92.01
DE11A,98.68,95.95,96.78
DE11B,91.55,91.23,90.91
DE11C,98.46,95.89,95.89
DE11D,98.73,89.89,89.49
DE12,95.07,88.03,84.27
DE121,91.05,83.45,74.44
DE122,65.92,65.92,65.83
DE123,97.27,91.78,80.56
DE124,95.45,95.18,94.63
DE125,87.66,84.65,54.35
