GEO,2023,2024,2025
AT,0.08,0.06,0.17
AT2,0.13,,0.13
AT21,0.38,,
AT211,0.86,,
AT212,0.22,,
AT22,,,0.2
AT222,,,1.82
AT3,0.11,0.15,0.34
AT31,,,0.14
AT315,,,0.84
AT32,0.25,0.25,0.25
AT322,0.49,0.49,0.49
AT33,0.3,0.49,1.0
AT332,,,3.06
AT334,0.83,1.54,1.54
AT335,0.21,0.21,0.21
BE,0.0,0.02,0.14
BE2,0.0,0.03,0.28
BE21,,,0.03
BE212,,,0.15
BE23,,0.07,0.07
BE236,,0.49,0.49
BE24,0.03,0.03,0.05
BE241,,,0.01
BE242,0.04,0.04,0.07
BE25,,0.04,0.93
BE252,,,7.23
BE254,,0.36,1.2
BE3,,0.0,0.0
BE31,,0.0,
BE310,,0.0,
BE33,,,0.02
BE336,,,0.11
CH,,,0.23
CH0,,,0.23
CH04,,,3.26
CH040,,,3.26
DE,0.0,0.01,0.01
DE2,,0.03,0.03
DE21,,,0.02
DE219,,,0.26
DE22,,0.16,0.16
DE228,,0.78,0.78
DE7,,,0.0
DE71,,,0.01
DE715,,,0.11
DE9,0.0,0.0,0.0
DE91,0.0,0.0,0.0
DE912,0.0,0.0,0.0
DE913,0.0,0.0,0.0
DED,,0.0,0.0
DED4,,0.0,0.0
DED45,,0.01,0.01
DEF,,0.08,
DEF0,,0.08,
DEF05,,0.89,
DK,,,0.09
DK0,,,0.09
DK05,,,0.58
DK050,,,0.58
EL,,,0.0
EL4,,,0.0
EL42,,,0.01
EL421,,,0.01
ES,,0.0,0.0
ES5,,0.0,0.0
ES52,,0.0,0.0
ES523,,0.0,0.0
FR,,0.0,0.0
FRI,,0.0,0.0
FRI3,,0.0,0.0
FRI31,,0.01,0.01
FRJ,,,0.0
FRJ1,,,0.0
FRJ11,,,0.02
FRK,,0.0,
FRK1,,0.01,
FRK14,,0.02,
NL,0.97,1.24,2.4
NL1,0.01,0.01,0.01
NL11,0.03,0.03,0.04
NL115,0.05,0.05,0.06
NL2,0.04,0.91,2.0
NL21,0.0,0.96,1.7
NL211,,,1.8
NL212,0.0,7.09,7.09
NL213,,0.07,
NL22,,0.9,2.32
NL225,,2.76,2.76
NL226,,0.01,8.93
NL23,0.64,0.64,0.64
NL230,0.64,0.64,0.64
NL3,3.86,3.91,5.03
NL32,5.83,5.05,7.03
NL323,,0.13,
NL327,,13.19,13.19
NL328,34.0,22.04,34.0
NL32B,0.76,0.76,0.76
NL34,1.26,2.12,5.36
NL341,3.86,6.51,11.33
NL342,0.02,0.02,2.49
NL35,0.18,0.18,0.16
NL350,0.18,0.18,0.16
NL36,7.19,7.27,5.78
NL362,,,2.19
NL364,,0.52,0.52
NL365,7.04,7.04,7.04
NL366,13.11,13.11,9.21
NL4,,0.1,2.71
NL41,,0.14,2.54
NL411,,,5.16
NL414,,0.28,
NL415,,,3.42
NL416,,0.2,2.35
NL42,,,3.1
NL421,,,4.05
NL423,,,5.32
SE,0.14,0.14,0.14
SE1,0.25,0.25,0.25
SE12,0.32,0.32,0.32
SE124,1.77,1.77,1.77
SE2,0.02,0.02,0.0
SE23,0.06,0.06,0.0
SE231,0.26,0.26,
SE232,,,0.0
SE3,0.25,0.25,0.29
SE31,0.5,0.5,0.5
SE312,1.33,1.33,1.33
SE32,,,0.17
SE322,,,0.39
