GEO,2023,2024,2025
AT,9.61,10.13,9.01
AT1,7.66,8.35,7.91
AT11,8.79,7.19,7.53
AT111,9.23,5.04,3.83
AT112,5.1,2.05,2.48
AT113,13.36,14.81,15.73
AT12,7.4,8.69,8.06
AT121,5.4,6.75,6.4
AT122,6.96,9.54,9.53
AT123,3.45,4.03,3.96
AT124,9.33,12.41,10.92
AT125,16.99,18.56,18.27
AT126,5.25,4.51,4.45
AT127,3.74,3.69,1.12
AT13,3.25,1.08,1.08
AT130,3.25,1.08,1.08
AT2,13.92,15.19,13.16
AT21,16.8,20.19,17.9
AT211,11.01,13.81,12.21
AT212,18.64,21.99,16.64
AT213,21.44,25.5,25.03
AT22,12.39,12.54,10.64
AT221,11.69,10.16,5.41
AT222,9.86,13.47,7.82
AT223,14.46,19.75,21.05
AT224,10.44,9.54,8.58
AT225,10.88,10.41,9.94
AT226,24.81,22.07,18.02
AT3,8.09,7.91,6.87
AT31,9.73,9.68,7.75
AT311,11.73,9.21,6.74
AT312,7.18,7.52,5.21
AT313,9.64,13.11,13.09
AT314,14.3,14.38,9.8
AT315,6.08,5.11,3.88
AT32,4.02,3.19,3.33
AT321,12.01,5.11,4.91
AT322,1.73,2.85,2.8
AT323,5.17,3.21,3.65
AT33,8.75,8.72,8.82
AT331,4.55,4.96,6.62
AT332,11.69,13.59,10.03
AT333,28.32,25.21,29.7
AT334,9.98,9.11,9.72
AT335,2.57,2.98,2.92
AT34,1.77,1.77,1.54
AT341,0.12,0.12,0.55
AT342,4.44,4.44,3.15
BE,10.46,6.5,4.59
BE1,0.0,0.0,0.0
BE10,0.0,0.0,0.0
BE100,0.0,0.0,0.0
BE2,0.11,0.03,0.01
BE21,0.15,0.02,0.0
BE211,0.1,0.1,0.0
BE212,0.0,0.0,0.0
BE213,0.22,0.0,0.0
BE22,0.26,0.0,0.0
BE223,0.0,0.0,0.0
BE224,0.25,0.0,0.0
BE225,0.47,0.01,0.01
BE23,0.07,0.07,0.04
BE231,0.0,0.0,0.0
BE232,0.0,0.0,0.0
BE233,0.0,0.0,0.0
BE234,0.0,0.0,0.0
