GEO,2023,2024,2025
AT,339265.0,356790.0,316446.0
AT1,87894.0,95089.0,90108.0
AT11,20190.0,16510.0,17294.0
AT111,3479.0,1901.0,1444.0
AT112,5528.0,2217.0,2683.0
AT113,11183.0,12392.0,13167.0
AT12,67491.0,78508.0,72743.0
AT121,9770.0,12220.0,11586.0
AT122,8392.0,11511.0,11501.0
AT123,2773.0,3239.0,3185.0
AT124,15514.0,20630.0,18154.0
AT125,18866.0,20617.0,20295.0
AT126,9007.0,7165.0,7070.0
AT127,3169.0,3126.0,952.0
AT13,213.0,71.0,71.0
AT130,213.0,71.0,71.0
AT2,139770.0,152546.0,132153.0
AT21,58454.0,70247.0,62279.0
AT211,14099.0,17678.0,15632.0
AT212,18653.0,22010.0,16650.0
AT213,25702.0,30559.0,29997.0
AT22,81316.0,82299.0,69874.0
AT221,9928.0,8631.0,4593.0
AT222,7270.0,9927.0,5766.0
AT223,10688.0,14599.0,15558.0
AT224,22913.0,20941.0,18841.0
AT225,15757.0,15075.0,14399.0
AT226,14760.0,13126.0,10717.0
AT3,111601.0,109155.0,94185.0
AT31,73968.0,73584.0,58968.0
AT311,26536.0,20843.0,15262.0
AT312,10615.0,11125.0,7709.0
AT313,16554.0,22505.0,22472.0
AT314,12558.0,12628.0,8609.0
AT315,7705.0,6483.0,4916.0
AT32,9601.0,7623.0,7956.0
AT321,2419.0,1030.0,989.0
AT322,2081.0,3425.0,3360.0
AT323,5101.0,3168.0,3607.0
AT33,26705.0,26622.0,26105.0
AT331,874.0,954.0,1272.0
AT332,6601.0,7540.0,4972.0
AT333,8455.0,7526.0,8867.0
AT334,7683.0,7012.0,7485.0
AT335,3092.0,3590.0,3509.0
AT34,1327.0,1326.0,1156.0
AT341,57.0,56.0,254.0
AT342,1270.0,1270.0,902.0
BE,266132.0,156882.0,107667.0
BE1,0.0,0.0,0.0
BE10,0.0,0.0,0.0
BE100,0.0,0.0,0.0
BE2,1223.0,383.0,105.0
BE21,282.0,45.0,0.0
BE211,45.0,45.0,0.0
BE212,0.0,0.0,0.0
BE213,237.0,0.0,0.0
BE22,477.0,7.0,7.0
BE223,0.0,0.0,0.0
BE224,147.0,0.0,0.0
BE225,330.0,7.0,7.0
BE23,192.0,192.0,98.0
BE231,0.0,0.0,0.0
BE232,0.0,0.0,0.0
BE233,0.0,0.0,0.0
BE234,0.0,0.0,0.0
BE235,0.0,0.0,0.0
BE236,192.0,192.0,98.0
BE24,0.0,0.0,0.0
BE241,0.0,0.0,0.0
BE242,0.0,0.0,0.0
BE25,272.0,139.0,0.0
BE251,45.0,110.0,0.0
BE252,102.0,0.0,0.0
BE253,0.0,0.0,0.0
BE254,0.0,0.0,0.0
BE255,44.0,0.0,0.0
BE256,0.0,0.0,0.0
BE257,0.0,0.0,0.0
BE258,81.0,29.0,0.0
BE3,264909.0,156499.0,107562.0
BE31,3363.0,1568.0,1001.0
BE310,3363.0,1568.0,1001.0
BE32,69004.0,31586.0,28490.0
BE323,11195.0,3822.0,2579.0
BE328,16429.0,7301.0,10626.0
BE329,1472.0,1050.0,289.0
BE32A,14551.0,5789.0,7214.0
BE32B,3505.0,1948.0,1529.0
BE32C,9904.0,1671.0,1418.0
BE32D,11948.0,10005.0,4835.0
BE33,53225.0,26668.0,11677.0
BE331,12395.0,4736.0,4152.0
BE332,16749.0,10713.0,971.0
BE334,6801.0,1035.0,408.0
BE335,12434.0,7693.0,4321.0
BE336,4846.0,2491.0,1825.0
BE34,63493.0,52585.0,37630.0
BE341,4503.0,4210.0,6406.0
BE342,9258.0,8656.0,3876.0
BE343,10877.0,5902.0,1200.0
BE344,14252.0,12955.0,9997.0
BE345,24603.0,20862.0,16151.0
BE35,75824.0,44092.0,28764.0
BE351,33665.0,23213.0,13495.0
BE352,22949.0,6912.0,2672.0
BE353,19210.0,13967.0,12597.0
BG,1947645.0,1733671.0,1605905.0
BG3,1160740.0,1022782.0,971791.0
BG31,325008.0,271008.0,266749.0
BG311,32733.0,32070.0,31963.0
BG312,50099.0,48686.0,48132.0
BG313,70865.0,63625.0,63082.0
BG314,111786.0,87906.0,84944.0
BG315,59525.0,38721.0,38628.0
BG32,256238.0,238367.0,214636.0
BG321,75151.0,72099.0,70127.0
BG322,21819.0,19787.0,18287.0
BG323,54266.0,48619.0,35449.0
BG324,62105.0,57393.0,50306.0
BG325,42897.0,40469.0,40467.0
BG33,281490.0,227792.0,216997.0
BG331,99656.0,66479.0,64891.0
BG332,59243.0,44741.0,38122.0
BG333,71889.0,65950.0,63362.0
BG334,50702.0,50622.0,50622.0
BG34,298004.0,285615.0,273409.0
BG341,111697.0,105005.0,102121.0
BG342,75259.0,73191.0,67733.0
BG343,35478.0,35583.0,33720.0
BG344,75570.0,71836.0,69835.0
BG4,786905.0,710889.0,634114.0
BG41,310245.0,284128.0,241044.0
BG411,55642.0,43789.0,28088.0
BG412,88400.0,88529.0,62670.0
BG413,107570.0,99087.0,97544.0
BG414,28090.0,25119.0,25051.0
BG415,30543.0,27604.0,27691.0
BG42,476660.0,426761.0,393070.0
BG421,138789.0,119852.0,110137.0
BG422,90391.0,73848.0,72296.0
BG423,118090.0,108218.0,95978.0
BG424,49205.0,44647.0,42050.0
BG425,80185.0,80196.0,72609.0
CH,226695.0,200371.0,148389.0
CH0,226695.0,200371.0,148389.0
CH01,34936.0,31926.0,26889.0
CH011,17677.0,15101.0,11863.0
CH012,17259.0,16825.0,15026.0
CH013,0.0,0.0,0.0
CH02,124962.0,108721.0,79289.0
CH021,73719.0,63370.0,46093.0
CH022,23342.0,19643.0,12791.0
CH023,8153.0,5191.0,5150.0
CH024,5812.0,5661.0,5551.0
CH025,13936.0,14856.0,9704.0
CH03,11631.0,9962.0,5457.0
CH031,0.0,0.0,0.0
CH032,2452.0,2327.0,1571.0
CH033,9179.0,7635.0,3886.0
CH04,3336.0,3702.0,3044.0
CH040,3336.0,3702.0,3044.0
CH05,27899.0,23616.0,15331.0
CH051,341.0,318.0,316.0
CH052,1678.0,2213.0,494.0
CH053,1079.0,1039.0,329.0
CH054,245.0,245.0,288.0
CH055,3868.0,3674.0,3341.0
CH056,16163.0,13786.0,10027.0
CH057,4525.0,2341.0,536.0
CH06,15318.0,15430.0,12179.0
CH061,6867.0,6683.0,5568.0
CH062,3634.0,3593.0,1950.0
CH063,2308.0,2674.0,2663.0
CH064,1289.0,1232.0,769.0
CH065,1096.0,1094.0,1075.0
CH066,124.0,154.0,154.0
CH07,8613.0,7014.0,6200.0
CH070,8613.0,7014.0,6200.0
CY,211918.0,167262.0,142061.0
CY0,211918.0,167262.0,142061.0
CY00,211918.0,167262.0,142061.0
CY000,211918.0,167262.0,142061.0
CZ,3095884.0,2720810.0,2522808.0
CZ0,3095884.0,2720810.0,2522808.0
CZ01,3.0,3.0,0.0
CZ010,3.0,3.0,0.0
CZ02,555969.0,469255.0,416906.0
CZ020,555969.0,469255.0,416906.0
CZ03,509018.0,447245.0,437194.0
CZ031,235594.0,223166.0,215454.0
CZ032,273424.0,224079.0,221740.0
CZ04,260766.0,217567.0,208638.0
CZ041,91591.0,70905.0,70174.0
CZ042,169175.0,146662.0,138464.0
CZ05,467327.0,401842.0,349000.0
CZ051,133703.0,99691.0,71141.0
CZ052,157468.0,133673.0,117551.0
CZ053,176156.0,168478.0,160308.0
CZ06,633791.0,547003.0,505707.0
CZ063,234969.0,219732.0,204021.0
CZ064,398822.0,327271.0,301686.0
CZ07,448766.0,432489.0,409417.0
CZ071,229177.0,227908.0,218507.0
CZ072,219589.0,204581.0,190910.0
CZ08,220244.0,205406.0,195946.0
CZ080,220244.0,205406.0,195946.0
DE,5565796.0,4618479.0,3914457.0
DE1,402113.0,229202.0,193254.0
DE11,145368.0,65329.0,47453.0
DE111,0.0,0.0,0.0
DE112,1441.0,0.0,0.0
DE113,887.0,744.0,85.0
DE114,3194.0,2901.0,2367.0
DE115,4644.0,2684.0,1710.0
DE116,7752.0,5713.0,6085.0
DE117,0.0,0.0,0.0
DE118,18122.0,8704.0,1750.0
DE119,11644.0,8289.0,5440.0
DE11A,32676.0,10290.0,10190.0
DE11B,22470.0,19201.0,11779.0
DE11C,15249.0,1184.0,1056.0
DE11D,27289.0,5619.0,6991.0
DE12,112447.0,43137.0,32157.0
DE121,16.0,10.0,10.0
DE122,0.0,0.0,0.0
DE123,22526.0,3079.0,0.0
DE124,4678.0,1414.0,1049.0
DE125,5848.0,810.0,0.0
DE126,0.0,0.0,0.0
DE127,19925.0,15812.0,13927.0
DE128,11117.0,7592.0,4867.0
DE129,0.0,0.0,0.0
DE12A,29984.0,4944.0,3467.0
DE12B,2133.0,0.0,0.0
DE12C,16220.0,9476.0,8837.0
DE13,62348.0,52838.0,47780.0
DE131,6.0,6.0,6.0
DE132,2776.0,2558.0,2355.0
DE133,2056.0,1823.0,1202.0
DE134,8382.0,6298.0,5492.0
DE135,14729.0,9498.0,8620.0
DE136,8418.0,8184.0,6369.0
DE137,5349.0,5440.0,4754.0
DE138,2832.0,2245.0,2372.0
DE139,8695.0,8753.0,8753.0
DE13A,9105.0,8033.0,7857.0
DE14,81950.0,67898.0,65864.0
DE141,10694.0,8686.0,6558.0
DE142,313.0,125.0,125.0
DE143,7357.0,7035.0,11197.0
DE144,0.0,0.0,0.0
DE145,3631.0,3347.0,2580.0
DE146,24103.0,20485.0,16745.0
DE147,2686.0,2400.0,858.0
DE148,13873.0,9004.0,7819.0
DE149,19293.0,16816.0,19982.0
DE2,891096.0,801931.0,598404.0
DE21,201934.0,177399.0,107024.0
DE211,1763.0,0.0,0.0
DE212,0.0,0.0,0.0
DE213,0.0,0.0,0.0
DE214,6207.0,5838.0,3516.0
DE215,4571.0,3989.0,1325.0
DE216,3439.0,3415.0,1334.0
DE217,15188.0,10246.0,4796.0
DE218,561.0,561.0,134.0
DE219,14044.0,12034.0,10365.0
DE21A,15119.0,12783.0,4614.0
DE21B,26475.0,19366.0,2489.0
DE21C,8441.0,8334.0,2290.0
DE21D,713.0,565.0,548.0
DE21E,11226.0,10960.0,5257.0
DE21F,1668.0,1496.0,1393.0
DE21G,15649.0,19202.0,9605.0
DE21H,413.0,413.0,386.0
DE21I,17998.0,19014.0,17122.0
DE21J,17461.0,11616.0,11345.0
DE21K,15338.0,11187.0,8010.0
DE21L,27.0,11.0,11.0
DE21M,17554.0,17955.0,16331.0
DE21N,8079.0,8414.0,6153.0
DE22,129994.0,118558.0,97913.0
DE221,58.0,58.0,58.0
DE222,69.0,69.0,69.0
DE223,15.0,15.0,15.0
DE224,7949.0,8472.0,5306.0
DE225,10494.0,9915.0,8773.0
DE226,6076.0,3365.0,3768.0
DE227,20682.0,25697.0,19156.0
DE228,20376.0,16994.0,15160.0
DE229,9036.0,3233.0,3223.0
DE22A,28484.0,28776.0,24251.0
DE22B,12724.0,10626.0,8641.0
DE22C,14031.0,11338.0,9493.0
DE23,122630.0,103385.0,87405.0
DE231,0.0,0.0,0.0
DE232,0.0,0.0,0.0
DE233,93.0,42.0,0.0
DE234,9219.0,8055.0,7532.0
DE235,32453.0,32858.0,29281.0
DE236,9198.0,15447.0,7959.0
DE237,25835.0,8211.0,7669.0
DE238,13255.0,10325.0,9834.0
DE239,18251.0,18842.0,14999.0
DE23A,14326.0,9605.0,10131.0
DE24,102882.0,100541.0,67716.0
DE241,0.0,31.0,0.0
DE242,0.0,0.0,0.0
DE243,0.0,0.0,0.0
DE244,9.0,9.0,0.0
DE245,19656.0,13348.0,10934.0
DE246,21328.0,18397.0,14847.0
DE247,5936.0,5485.0,5023.0
DE248,2725.0,13864.0,2358.0
DE249,9448.0,9737.0,4103.0
DE24A,13427.0,10066.0,9455.0
DE24B,9996.0,7495.0,5742.0
DE24C,19719.0,16199.0,14616.0
DE24D,638.0,5910.0,638.0
DE25,55493.0,49319.0,36630.0
DE251,298.0,298.0,298.0
DE252,0.0,0.0,0.0
DE253,0.0,0.0,0.0
DE254,26.0,26.0,26.0
DE255,0.0,0.0,0.0
DE256,14191.0,6361.0,5717.0
DE257,1204.0,1395.0,1340.0
DE258,41.0,0.0,0.0
DE259,2829.0,4384.0,1729.0
DE25A,5329.0,4623.0,4055.0
DE25B,7566.0,7999.0,3372.0
DE25C,24009.0,24233.0,20093.0
DE26,124704.0,107871.0,80655.0
DE261,0.0,0.0,0.0
DE262,0.0,0.0,0.0
DE263,0.0,0.0,0.0
DE264,1767.0,1747.0,554.0
DE265,10994.0,8468.0,6618.0
DE266,14796.0,13742.0,12562.0
DE267,16184.0,15174.0,11878.0
DE268,1341.0,948.0,821.0
DE269,26894.0,17492.0,12137.0
DE26A,34323.0,35224.0,24579.0
DE26B,5540.0,4983.0,4187.0
DE26C,12865.0,10093.0,7319.0
DE27,153459.0,144858.0,121061.0
DE271,1462.0,1462.0,0.0
DE272,0.0,0.0,0.0
DE273,0.0,0.0,0.0
DE274,22.0,0.0,0.0
DE275,23096.0,19755.0,11125.0
DE276,20755.0,28747.0,25348.0
DE277,20708.0,10117.0,9686.0
DE278,21319.0,22048.0,18662.0
DE279,1026.0,3707.0,3199.0
DE27A,107.0,152.0,107.0
DE27B,17019.0,12504.0,10839.0
DE27C,22282.0,23039.0,18317.0
DE27D,21510.0,20535.0,20790.0
DE27E,4153.0,2792.0,2988.0
DE3,5892.0,390.0,0.0
DE30,5892.0,390.0,0.0
DE300,5892.0,390.0,0.0
DE4,479606.0,421521.0,400262.0
DE40,479606.0,421521.0,400262.0
DE401,5115.0,3788.0,1680.0
DE402,1832.0,1728.0,1121.0
DE403,546.0,546.0,712.0
DE404,122.0,122.0,122.0
DE405,17058.0,13695.0,12857.0
DE406,40023.0,30603.0,30664.0
DE407,37704.0,37616.0,35972.0
DE408,35241.0,27119.0,26164.0
DE409,53285.0,35775.0,35398.0
DE40A,18808.0,19311.0,19090.0
DE40B,19991.0,19326.0,19403.0
DE40C,45098.0,43693.0,43651.0
DE40D,30315.0,30092.0,29431.0
DE40E,42826.0,37662.0,30695.0
DE40F,27923.0,27336.0,27365.0
DE40G,30562.0,29831.0,26733.0
DE40H,28443.0,23608.0,23508.0
DE40I,44714.0,39670.0,35696.0
DE5,489.0,312.0,1026.0
DE50,489.0,312.0,1026.0
DE501,489.0,312.0,1026.0
DE502,0.0,0.0,0.0
DE6,2263.0,2263.0,2260.0
