GEO,2023,2024,2025
AT,8628864.0,8611585.0,8651902.0
AT1,3836226.0,3829018.0,3834099.0
AT11,277185.0,280865.0,280180.0
AT111,34217.0,35795.0,36252.0
AT112,157209.0,160520.0,160153.0
AT113,85759.0,84550.0,83775.0
AT12,1643259.0,1632229.0,1637995.0
AT121,239736.0,237286.0,237920.0
AT122,254915.0,251796.0,251806.0
AT123,155645.0,155179.0,155233.0
AT124,200189.0,195060.0,197536.0
AT125,107574.0,105823.0,106146.0
AT126,331284.0,333126.0,333221.0
AT127,353916.0,353959.0,356133.0
AT13,1915782.0,1915924.0,1915924.0
AT130,1915782.0,1915924.0,1915924.0
AT2,1677148.0,1664429.0,1684851.0
AT21,505917.0,494115.0,502083.0
AT211,278702.0,275123.0,277169.0
AT212,104625.0,101268.0,106628.0
AT213,122590.0,117724.0,118286.0
AT22,1171231.0,1170314.0,1182768.0
AT221,442136.0,443433.0,447471.0
AT222,72244.0,69587.0,73777.0
AT223,146939.0,143028.0,142069.0
AT224,243508.0,245480.0,247580.0
AT225,182530.0,183278.0,183954.0
AT226,83874.0,85508.0,87917.0
AT3,3115490.0,3118138.0,3132952.0
AT31,1429459.0,1430045.0,1444505.0
AT311,266730.0,272423.0,278004.0
AT312,589093.0,588583.0,591999.0
AT313,195098.0,189147.0,189256.0
AT314,144817.0,144747.0,148736.0
AT315,233721.0,235145.0,236510.0
AT32,551226.0,553204.0,552871.0
AT321,17719.0,19108.0,19149.0
AT322,168185.0,166841.0,166906.0
AT323,365322.0,367255.0,366816.0
AT33,736659.0,736742.0,737259.0
AT331,32114.0,32034.0,31716.0
AT332,307096.0,306157.0,308725.0
AT333,40393.0,41322.0,39981.0
AT334,97952.0,98623.0,98150.0
AT335,259104.0,258606.0,258687.0
AT34,398146.0,398147.0,398317.0
AT341,92609.0,92610.0,92412.0
AT342,305537.0,305537.0,305905.0
BE,11253056.0,11362174.0,11410922.0
BE1,1201067.0,1201067.0,1201067.0
BE10,1201067.0,1201067.0,1201067.0
BE100,1201067.0,1201067.0,1201067.0
BE2,6660645.0,6661485.0,6661763.0
BE21,1875896.0,1876133.0,1876178.0
BE211,1061564.0,1061564.0,1061609.0
BE212,346082.0,346082.0,346082.0
BE213,468250.0,468487.0,468487.0
BE22,883360.0,883830.0,883830.0
BE223,207208.0,207208.0,207208.0
BE224,421834.0,421981.0,421981.0
BE225,254318.0,254641.0,254641.0
BE23,1534092.0,1534092.0,1534186.0
BE231,295732.0,295732.0,295732.0
BE232,203164.0,203164.0,203164.0
BE233,87081.0,87081.0,87081.0
BE234,567289.0,567289.0,567289.0
BE235,123216.0,123216.0,123216.0
BE236,257610.0,257610.0,257704.0
BE24,1187681.0,1187681.0,1187681.0
BE241,673703.0,673703.0,673703.0
BE242,513978.0,513978.0,513978.0
BE25,1179616.0,1179749.0,1179888.0
BE251,278131.0,278066.0,278176.0
BE252,52302.0,52404.0,52404.0
BE253,106755.0,106755.0,106755.0
BE254,289169.0,289169.0,289169.0
BE255,148271.0,148315.0,148315.0
BE256,154733.0,154733.0,154733.0
BE257,93506.0,93506.0,93506.0
BE258,56749.0,56801.0,56830.0
BE3,3391344.0,3499622.0,3548092.0
BE31,403499.0,405294.0,405861.0
BE310,403499.0,405294.0,405861.0
BE32,1275510.0,1312478.0,1315341.0
BE323,248456.0,255829.0,257072.0
BE328,206593.0,215721.0,212303.0
BE329,141444.0,141866.0,142627.0
BE32A,112856.0,121168.0,119603.0
BE32B,392592.0,394149.0,394568.0
BE32C,94651.0,102884.0,103137.0
BE32D,78918.0,80861.0,86031.0
BE33,1059866.0,1086806.0,1101414.0
BE331,101296.0,108955.0,109539.0
BE332,609902.0,615938.0,625680.0
BE334,75820.0,81586.0,82213.0
BE335,199491.0,204615.0,207604.0
BE336,73357.0,75712.0,76378.0
BE34,227337.0,238245.0,253349.0
BE341,58713.0,59006.0,56810.0
BE342,41271.0,41873.0,46653.0
BE343,47224.0,52199.0,56901.0
BE344,50570.0,51867.0,54825.0
BE345,29559.0,33300.0,38160.0
BE35,425132.0,456799.0,472127.0
BE351,78704.0,89156.0,98874.0
BE352,298156.0,314128.0,318368.0
BE353,48272.0,53515.0,54885.0
BG,4498396.0,4712799.0,4840565.0
