GEO,2023,2024,2025
AT,10.27,15.88,14.51
AT1,13.32,21.55,18.32
AT12,,6.28,16.42
AT127,,6.67,17.45
AT13,13.77,22.06,18.38
AT130,13.77,22.06,18.38
AT2,3.5,1.42,2.48
AT21,16.43,6.68,11.64
AT211,16.43,6.68,11.64
AT3,4.12,5.56,8.95
AT31,1.94,1.94,5.83
AT312,1.94,1.94,5.83
AT32,6.24,12.16,18.99
AT323,6.24,12.16,18.99
AT33,7.85,7.85,7.85
AT332,7.85,7.85,7.85
BE,26.8,44.15,51.3
BE1,48.64,75.61,83.28
BE10,48.64,75.61,83.28
BE100,48.64,75.61,83.28
BE2,23.94,43.48,54.62
BE21,26.32,48.76,57.22
BE211,25.37,49.03,55.5
BE212,35.14,46.24,73.24
BE23,48.33,71.36,82.33
BE234,48.33,71.36,82.33
BE24,0.06,17.12,27.49
BE241,0.08,8.66,23.15
BE242,,38.38,38.38
BE25,17.65,23.94,48.48
BE251,31.13,42.21,58.08
BE255,,,35.9
BG,0.35,0.58,0.58
BG3,0.92,1.53,1.53
BG32,,3.41,3.41
BG323,,5.07,5.07
BG33,2.22,2.22,2.22
BG331,3.27,3.27,3.27
CH,2.2,3.57,4.47
CH0,2.2,3.57,4.47
CH01,3.14,1.58,1.58
CH011,3.39,3.39,3.39
CH013,2.92,,
CH03,5.14,15.69,19.93
CH031,6.4,31.78,38.29
CH032,4.61,,4.61
CH033,3.51,3.51,3.51
CH04,0.6,1.94,1.37
CH040,0.6,1.94,1.37
CH06,4.83,2.52,7.51
CH061,,,7.17
CH066,15.92,8.29,8.29
CZ,,1.71,1.99
CZ0,,1.71,1.99
CZ01,,3.57,4.16
CZ010,,3.57,4.16
DE,5.6,9.38,12.59
DE1,6.78,10.4,12.06
DE11,11.07,14.74,16.77
DE111,22.33,27.13,30.38
DE112,,2.53,2.53
DE115,6.59,16.76,16.76
DE117,,,6.88
DE12,,3.32,5.84
DE122,,3.49,3.49
DE125,,,3.27
DE126,,6.33,12.11
DE13,6.42,13.38,8.12
DE131,11.12,23.17,13.29
DE138,,,2.0
DE14,6.52,6.52,13.0
DE141,,,5.48
DE142,10.74,10.74,20.37
DE144,11.34,11.34,16.87
DE2,4.57,4.36,8.2
DE21,6.97,5.69,10.66
DE212,8.3,6.74,12.81
DE21H,2.08,2.08,2.08
DE23,6.56,11.13,14.98
DE232,6.97,11.83,15.92
DE25,,1.21,5.23
DE253,,,24.26
DE254,,1.9,1.9
DE26,2.6,8.18,8.18
DE262,12.48,12.48,12.48
DE263,,10.96,10.96
DE27,3.92,1.53,3.92
DE271,3.8,,3.8
DE273,12.1,12.1,12.1
DE3,13.65,28.63,38.65
DE30,13.65,28.63,38.65
DE300,13.65,28.63,38.65
DE5,,2.02,1.24
DE50,,2.02,1.24
DE501,,2.45,1.51
DE6,16.89,23.0,30.46
DE60,16.89,23.0,30.46
DE600,16.89,23.0,30.46
DE7,1.33,1.84,2.41
DE71,1.56,2.15,2.82
DE712,,0.73,0.73
DE714,,,5.61
DE717,29.88,34.0,29.88
DE9,2.06,10.74,12.76
DE91,3.48,5.44,12.26
DE911,,5.8,18.71
DE913,6.04,,
DE91C,8.19,8.19,8.19
DE92,1.09,20.63,20.63
DE925,11.44,11.44,11.44
DE929,,21.59,21.59
DE93,5.56,5.56,5.56
DE935,8.55,8.55,8.55
DE94,1.42,1.42,2.39
DE943,,,2.2
DE944,4.18,4.18,4.18
DEA,4.09,6.19,7.3
DEA1,6.38,8.15,10.02
DEA11,22.25,27.95,32.72
DEA12,,,3.15
DEA13,13.47,13.47,14.24
DEA15,3.65,3.65,6.82
DEA17,,4.64,8.28
DEA1C,,3.53,
DEA1D,,6.48,12.37
DEA2,1.58,3.98,5.54
DEA22,6.87,6.87,9.75
DEA23,,1.72,1.36
DEA24,,,4.9
DEA26,14.34,14.34,24.08
DEA2D,0.94,12.5,17.72
DEA3,,3.87,4.58
DEA31,,,6.99
DEA32,,5.94,5.94
DEA33,,9.97,9.97
DEA4,,,2.57
DEA47,,,9.76
DEA5,6.06,7.78,6.71
DEA51,,5.54,5.54
DEA52,17.7,17.7,14.63
DEA54,5.97,5.97,9.27
DEA56,,3.17,3.17
DEA58,,4.33,
DEB,3.26,4.47,4.47
DEB3,4.43,6.07,6.07
DEB32,,10.67,10.67
DEB35,10.64,10.64,10.64
DED,1.07,0.35,7.48
DED5,2.44,0.8,17.07
DED51,2.52,0.82,17.65
DK,24.09,31.74,39.32
DK0,24.09,31.74,39.32
DK01,32.11,40.97,48.12
DK011,45.75,59.91,67.91
DK012,4.33,2.38,7.84
DK02,,,11.06
DK021,,,11.06
DK03,,5.35,5.35
DK031,,5.35,5.35
DK04,12.31,15.62,28.49
