GEO,2023,2024,2025
AT,5792.0,4906.0,4486.0
AT1,2478.0,2266.0,1524.0
AT11,0.0,0.0,0.0
AT111,0.0,0.0,0.0
AT112,0.0,0.0,0.0
AT113,0.0,0.0,0.0
AT12,2478.0,2266.0,1524.0
AT121,0.0,0.0,0.0
AT122,661.0,937.0,392.0
AT123,286.0,683.0,286.0
AT124,0.0,646.0,846.0
AT125,0.0,0.0,0.0
AT126,943.0,0.0,0.0
AT127,588.0,0.0,0.0
AT13,0.0,0.0,0.0
AT130,0.0,0.0,0.0
AT2,1184.0,1104.0,1666.0
AT21,0.0,0.0,0.0
AT211,0.0,0.0,0.0
AT212,0.0,0.0,0.0
AT213,0.0,0.0,0.0
AT22,1184.0,1104.0,1666.0
AT221,810.0,1104.0,1666.0
AT222,0.0,0.0,0.0
AT223,374.0,0.0,0.0
AT224,0.0,0.0,0.0
AT225,0.0,0.0,0.0
AT226,0.0,0.0,0.0
AT3,2130.0,1536.0,1296.0
AT31,831.0,0.0,0.0
AT311,0.0,0.0,0.0
AT312,831.0,0.0,0.0
AT313,0.0,0.0,0.0
AT314,0.0,0.0,0.0
AT315,0.0,0.0,0.0
AT32,0.0,0.0,0.0
AT321,0.0,0.0,0.0
AT322,0.0,0.0,0.0
AT323,0.0,0.0,0.0
AT33,1299.0,1536.0,1296.0
AT331,0.0,0.0,0.0
AT332,1299.0,1536.0,1057.0
AT333,0.0,0.0,0.0
AT334,0.0,0.0,239.0
AT335,0.0,0.0,0.0
AT34,0.0,0.0,0.0
AT341,0.0,0.0,0.0
AT342,0.0,0.0,0.0
BE,59678.0,33038.0,14535.0
BE1,0.0,0.0,0.0
BE10,0.0,0.0,0.0
BE100,0.0,0.0,0.0
BE2,0.0,0.0,0.0
BE21,0.0,0.0,0.0
BE211,0.0,0.0,0.0
BE212,0.0,0.0,0.0
BE213,0.0,0.0,0.0
BE22,0.0,0.0,0.0
BE223,0.0,0.0,0.0
BE224,0.0,0.0,0.0
BE225,0.0,0.0,0.0
BE23,0.0,0.0,0.0
BE231,0.0,0.0,0.0
BE232,0.0,0.0,0.0
BE233,0.0,0.0,0.0
BE234,0.0,0.0,0.0
BE235,0.0,0.0,0.0
BE236,0.0,0.0,0.0
BE24,0.0,0.0,0.0
BE241,0.0,0.0,0.0
BE242,0.0,0.0,0.0
BE25,0.0,0.0,0.0
BE251,0.0,0.0,0.0
BE252,0.0,0.0,0.0
BE253,0.0,0.0,0.0
BE254,0.0,0.0,0.0
BE255,0.0,0.0,0.0
BE256,0.0,0.0,0.0
BE257,0.0,0.0,0.0
BE258,0.0,0.0,0.0
BE3,59678.0,33038.0,14535.0
BE31,5701.0,4911.0,197.0
BE310,5701.0,4911.0,197.0
BE32,22440.0,10352.0,5375.0
BE323,3365.0,1258.0,563.0
BE328,722.0,0.0,469.0
BE329,1493.0,1798.0,0.0
BE32A,3173.0,1416.0,1416.0
BE32B,2963.0,2905.0,2215.0
BE32C,7255.0,0.0,0.0
BE32D,3469.0,2975.0,712.0
BE33,18261.0,7213.0,3107.0
BE331,6741.0,892.0,0.0
BE332,9705.0,5561.0,2586.0
BE334,1046.0,0.0,0.0
BE335,769.0,760.0,521.0
BE336,0.0,0.0,0.0
BE34,6319.0,7292.0,2971.0
BE341,297.0,543.0,297.0
BE342,0.0,0.0,0.0
BE343,1090.0,868.0,868.0
BE344,0.0,0.0,0.0
BE345,4932.0,5881.0,1806.0
BE35,6957.0,3270.0,2885.0
BE351,1797.0,0.0,0.0
BE352,3844.0,2727.0,2342.0
BE353,1316.0,543.0,543.0
BG,554103.0,342951.0,318370.0
BG3,298188.0,191697.0,169185.0
BG31,80975.0,51411.0,50544.0
BG311,0.0,0.0,0.0
BG312,15474.0,15474.0,14607.0
BG313,18813.0,11614.0,11614.0
BG314,20549.0,20549.0,20549.0
BG315,26139.0,3774.0,3774.0
BG32,55287.0,50901.0,39904.0
BG321,17253.0,16892.0,16892.0
BG322,18222.0,17950.0,7192.0
BG323,3718.0,3437.0,3718.0
BG324,7485.0,7485.0,7485.0
BG325,8609.0,5137.0,4617.0
BG33,68921.0,36500.0,32628.0
BG331,21273.0,15028.0,11764.0
BG332,6313.0,608.0,0.0
BG333,9648.0,9648.0,9648.0
BG334,31687.0,11216.0,11216.0
BG34,93005.0,52885.0,46109.0
BG341,21461.0,20070.0,18346.0
BG342,10367.0,8000.0,8000.0
BG343,38946.0,5594.0,5594.0
BG344,22231.0,19221.0,14169.0
BG4,255915.0,151254.0,149185.0
BG41,140123.0,70233.0,70149.0
BG411,21466.0,19616.0,20532.0
BG412,71426.0,37830.0,37006.0
BG413,22728.0,5407.0,5407.0
BG414,8056.0,7204.0,7204.0
BG415,16447.0,176.0,0.0
BG42,115792.0,81021.0,79036.0
BG421,53389.0,30745.0,26012.0
BG422,16879.0,16879.0,16879.0
BG423,29674.0,20721.0,28492.0
BG424,11474.0,3480.0,3480.0
BG425,4376.0,9196.0,4173.0
CH,48381.0,40114.0,19766.0
CH0,48381.0,40114.0,19766.0
CH01,7395.0,6245.0,5093.0
CH011,1583.0,1026.0,562.0
CH012,5812.0,5219.0,4531.0
CH013,0.0,0.0,0.0
CH02,16654.0,12861.0,7335.0
CH021,9058.0,8842.0,5510.0
CH022,3622.0,1724.0,760.0
CH023,3388.0,1709.0,1065.0
CH024,0.0,0.0,0.0
CH025,586.0,586.0,0.0
CH03,8604.0,8485.0,4054.0
CH031,0.0,0.0,0.0
CH032,0.0,0.0,0.0
CH033,8604.0,8485.0,4054.0
CH04,503.0,1258.0,299.0
CH040,503.0,1258.0,299.0
CH05,12689.0,9241.0,1988.0
CH051,0.0,0.0,0.0
CH052,191.0,191.0,191.0
CH053,0.0,0.0,0.0
CH054,0.0,0.0,0.0
CH055,1202.0,1202.0,628.0
CH056,5899.0,5899.0,1169.0
CH057,5397.0,1949.0,0.0
CH06,1291.0,993.0,182.0
CH061,298.0,0.0,0.0
CH062,0.0,0.0,0.0
CH063,0.0,0.0,0.0
CH064,182.0,182.0,182.0
CH065,811.0,811.0,0.0
CH066,0.0,0.0,0.0
CH07,1245.0,1031.0,815.0
CH070,1245.0,1031.0,815.0
CY,82544.0,67028.0,43739.0
CY0,82544.0,67028.0,43739.0
CY00,82544.0,67028.0,43739.0
CY000,82544.0,67028.0,43739.0
CZ,953876.0,793347.0,669625.0
CZ0,953876.0,793347.0,669625.0
CZ01,0.0,0.0,0.0
CZ010,0.0,0.0,0.0
CZ02,229447.0,185718.0,140885.0
CZ020,229447.0,185718.0,140885.0
CZ03,96868.0,87178.0,78030.0
CZ031,40531.0,34060.0,24912.0
CZ032,56337.0,53118.0,53118.0
CZ04,155611.0,114276.0,110432.0
CZ041,45466.0,28425.0,26530.0
CZ042,110145.0,85851.0,83902.0
CZ05,145568.0,128008.0,105624.0
CZ051,39642.0,32217.0,28004.0
CZ052,57069.0,54024.0,38417.0
CZ053,48857.0,41767.0,39203.0
CZ06,127608.0,109719.0,93080.0
CZ063,23558.0,20998.0,20998.0
CZ064,104050.0,88721.0,72082.0
CZ07,102841.0,93164.0,68031.0
CZ071,44506.0,44267.0,33809.0
CZ072,58335.0,48897.0,34222.0
CZ08,95933.0,75284.0,73543.0
CZ080,95933.0,75284.0,73543.0
DE,995493.0,522675.0,337960.0
DE1,135045.0,30567.0,23444.0
DE11,52730.0,9092.0,4266.0
DE111,0.0,0.0,0.0
DE112,6869.0,0.0,0.0
DE113,2008.0,933.0,459.0
DE114,415.0,415.0,415.0
DE115,4588.0,0.0,0.0
DE116,6152.0,1873.0,2281.0
DE117,0.0,0.0,0.0
DE118,12779.0,4517.0,0.0
DE119,210.0,0.0,0.0
DE11A,3659.0,0.0,0.0
DE11B,775.0,1018.0,775.0
DE11C,7049.0,0.0,0.0
DE11D,8226.0,336.0,336.0
DE12,55442.0,8500.0,3764.0
DE121,0.0,0.0,0.0
DE122,219.0,0.0,0.0
DE123,12262.0,0.0,0.0
DE124,2421.0,766.0,425.0
DE125,7478.0,1699.0,0.0
DE126,0.0,0.0,0.0
DE127,3706.0,963.0,1375.0
DE128,3284.0,2314.0,698.0
DE129,0.0,0.0,0.0
DE12A,19571.0,2217.0,725.0
DE12B,5960.0,0.0,0.0
DE12C,541.0,541.0,541.0
DE13,16920.0,6364.0,4650.0
DE131,474.0,474.0,0.0
DE132,0.0,0.0,0.0
DE133,1988.0,963.0,963.0
DE134,6585.0,1370.0,954.0
DE135,5454.0,1851.0,520.0
DE136,0.0,0.0,0.0
DE137,0.0,0.0,0.0
DE138,1347.0,634.0,2006.0
DE139,207.0,207.0,207.0
DE13A,865.0,865.0,0.0
DE14,9953.0,6611.0,10764.0
DE141,1810.0,1374.0,1374.0
DE142,0.0,0.0,0.0
DE143,440.0,1247.0,2916.0
DE144,0.0,0.0,0.0
DE145,400.0,400.0,400.0
DE146,2504.0,2291.0,2291.0
DE147,0.0,0.0,0.0
DE148,3500.0,0.0,0.0
DE149,1299.0,1299.0,3783.0
DE2,76787.0,65666.0,34274.0
DE21,17010.0,9618.0,2565.0
DE211,0.0,0.0,0.0
DE212,0.0,0.0,0.0
DE213,0.0,0.0,0.0
DE214,1074.0,0.0,0.0
DE215,0.0,0.0,0.0
DE216,591.0,416.0,0.0
DE217,3472.0,2454.0,1517.0
DE218,0.0,0.0,0.0
DE219,1175.0,0.0,0.0
DE21A,0.0,0.0,0.0
DE21B,0.0,0.0,0.0
DE21C,0.0,0.0,0.0
DE21D,0.0,0.0,0.0
DE21E,0.0,0.0,0.0
DE21F,0.0,0.0,0.0
DE21G,427.0,427.0,427.0
DE21H,0.0,0.0,0.0
DE21I,500.0,302.0,302.0
DE21J,9452.0,5700.0,0.0
DE21K,319.0,319.0,319.0
DE21L,0.0,0.0,0.0
DE21M,0.0,0.0,0.0
DE21N,0.0,0.0,0.0
DE22,4747.0,5022.0,4747.0
DE221,0.0,0.0,0.0
DE222,0.0,0.0,0.0
DE223,0.0,0.0,0.0
DE224,1059.0,1059.0,1059.0
DE225,0.0,0.0,0.0
DE226,0.0,0.0,0.0
DE227,0.0,0.0,0.0
DE228,0.0,275.0,0.0
DE229,0.0,0.0,0.0
DE22A,0.0,0.0,0.0
DE22B,0.0,0.0,0.0
DE22C,3688.0,3688.0,3688.0
DE23,5004.0,2873.0,2672.0
DE231,0.0,0.0,0.0
DE232,0.0,0.0,0.0
DE233,0.0,0.0,0.0
DE234,1835.0,1835.0,1835.0
DE235,0.0,0.0,0.0
DE236,0.0,201.0,0.0
DE237,0.0,0.0,0.0
DE238,837.0,837.0,837.0
DE239,2332.0,0.0,0.0
DE23A,0.0,0.0,0.0
DE24,20378.0,23739.0,11879.0
DE241,0.0,0.0,0.0
DE242,0.0,0.0,0.0
DE243,0.0,0.0,0.0
DE244,0.0,0.0,0.0
DE245,8532.0,6870.0,3897.0
DE246,2391.0,2705.0,609.0
DE247,2059.0,2554.0,1431.0
DE248,0.0,4348.0,0.0
DE249,302.0,302.0,302.0
DE24A,1044.0,1044.0,738.0
DE24B,466.0,466.0,466.0
DE24C,5584.0,5450.0,4436.0
DE24D,0.0,0.0,0.0
DE25,0.0,3841.0,0.0
DE251,0.0,0.0,0.0
DE252,0.0,458.0,0.0
DE253,0.0,0.0,0.0
DE254,0.0,0.0,0.0
DE255,0.0,0.0,0.0
DE256,0.0,0.0,0.0
DE257,0.0,959.0,0.0
DE258,0.0,0.0,0.0
DE259,0.0,2424.0,0.0
DE25A,0.0,0.0,0.0
DE25B,0.0,0.0,0.0
DE25C,0.0,0.0,0.0
DE26,15377.0,11743.0,8425.0
DE261,0.0,0.0,0.0
DE262,0.0,0.0,0.0
DE263,0.0,0.0,0.0
DE264,1652.0,263.0,0.0
DE265,0.0,0.0,0.0
DE266,0.0,0.0,0.0
DE267,3640.0,3640.0,3640.0
DE268,0.0,0.0,0.0
DE269,3033.0,3033.0,1975.0
DE26A,4989.0,1795.0,1005.0
DE26B,864.0,864.0,864.0
DE26C,1199.0,2148.0,941.0
DE27,14271.0,8830.0,3986.0
DE271,1148.0,1148.0,830.0
DE272,0.0,0.0,0.0
DE273,0.0,0.0,0.0
DE274,0.0,0.0,0.0
DE275,0.0,0.0,0.0
DE276,6416.0,5264.0,2910.0
DE277,2718.0,0.0,0.0
DE278,0.0,1686.0,0.0
DE279,806.0,0.0,0.0
DE27A,0.0,0.0,0.0
DE27B,270.0,270.0,0.0
DE27C,0.0,0.0,0.0
DE27D,2913.0,462.0,246.0
DE27E,0.0,0.0,0.0
DE3,4929.0,405.0,241.0
DE30,4929.0,405.0,241.0
DE300,4929.0,405.0,241.0
DE4,72712.0,33644.0,20622.0
DE40,72712.0,33644.0,20622.0
DE401,3684.0,2710.0,764.0
DE402,0.0,0.0,0.0
DE403,0.0,0.0,0.0
DE404,678.0,0.0,0.0
DE405,0.0,377.0,712.0
DE406,8067.0,6981.0,3589.0
DE407,3482.0,3482.0,3482.0
DE408,12713.0,2722.0,3578.0
DE409,15362.0,3265.0,0.0
DE40A,5630.0,4643.0,1179.0
DE40B,4867.0,2241.0,1985.0
DE40C,2681.0,191.0,191.0
DE40D,0.0,0.0,0.0
DE40E,5783.0,261.0,261.0
DE40F,0.0,0.0,0.0
DE40G,0.0,0.0,0.0
DE40H,9570.0,6771.0,4881.0
DE40I,195.0,0.0,0.0
DE5,0.0,0.0,0.0
DE50,0.0,0.0,0.0
DE501,0.0,0.0,0.0
DE502,0.0,0.0,0.0
DE6,5738.0,4687.0,2106.0
DE60,5738.0,4687.0,2106.0
DE600,5738.0,4687.0,2106.0
DE7,55928.0,20332.0,17341.0
DE71,12009.0,2287.0,1477.0
DE711,0.0,0.0,0.0
DE712,0.0,0.0,0.0
DE713,0.0,0.0,0.0
DE714,3180.0,0.0,0.0
DE715,1373.0,227.0,227.0
DE716,0.0,0.0,0.0
DE717,0.0,0.0,0.0
DE718,3280.0,0.0,632.0
DE719,0.0,0.0,0.0
DE71A,770.0,0.0,0.0
DE71B,0.0,0.0,0.0
DE71C,0.0,0.0,0.0
DE71D,0.0,0.0,0.0
DE71E,3406.0,2060.0,618.0
DE72,29844.0,10093.0,8347.0
DE721,10422.0,629.0,0.0
DE722,9697.0,4745.0,5909.0
DE723,5636.0,2361.0,396.0
DE724,4089.0,2358.0,2042.0
DE725,0.0,0.0,0.0
DE73,14075.0,7952.0,7517.0
DE731,0.0,0.0,0.0
DE732,1896.0,0.0,0.0
DE733,709.0,442.0,442.0
DE734,1268.0,1268.0,1268.0
DE735,5990.0,5067.0,3094.0
DE736,2724.0,0.0,2530.0
DE737,1488.0,1175.0,183.0
DE8,38197.0,32068.0,11536.0
DE80,38197.0,32068.0,11536.0
DE803,0.0,0.0,0.0
DE804,0.0,0.0,0.0
DE80J,3884.0,3884.0,301.0
DE80K,1774.0,4934.0,1933.0
DE80L,11929.0,4467.0,0.0
DE80M,230.0,497.0,497.0
DE80N,9823.0,7729.0,2324.0
DE80O,10557.0,10557.0,6481.0
DE9,204928.0,104719.0,55594.0
DE91,44162.0,15008.0,7803.0
DE911,1287.0,0.0,0.0
DE912,0.0,0.0,0.0
DE913,253.0,235.0,0.0
DE914,4917.0,4723.0,4040.0
DE916,7071.0,1135.0,1135.0
DE917,8122.0,386.0,0.0
DE918,3318.0,694.0,694.0
DE91A,16801.0,4155.0,1311.0
DE91B,0.0,0.0,0.0
DE91C,2393.0,3680.0,623.0
DE92,48178.0,14009.0,5036.0
DE922,13646.0,6144.0,327.0
DE923,2025.0,298.0,0.0
DE925,7528.0,2361.0,3225.0
DE926,0.0,0.0,0.0
DE927,983.0,2079.0,770.0
DE928,1727.0,987.0,714.0
DE929,22269.0,2140.0,0.0
DE93,65753.0,46432.0,25297.0
DE931,22263.0,18499.0,6492.0
DE932,7664.0,2272.0,2353.0
DE933,16824.0,6937.0,5888.0
DE934,0.0,0.0,0.0
DE935,350.0,0.0,0.0
DE936,779.0,544.0,544.0
DE937,4218.0,4218.0,0.0
DE938,3409.0,10741.0,8218.0
DE939,135.0,135.0,0.0
DE93A,3933.0,0.0,0.0
DE93B,6178.0,3086.0,1802.0
DE94,46835.0,29270.0,17458.0
DE941,0.0,0.0,0.0
DE942,0.0,0.0,0.0
DE943,0.0,0.0,0.0
DE944,0.0,0.0,0.0
DE945,0.0,0.0,0.0
DE946,2199.0,0.0,0.0
DE947,11781.0,3166.0,3166.0
DE948,3408.0,3408.0,547.0
DE949,9706.0,9250.0,2075.0
DE94A,0.0,0.0,0.0
DE94B,2780.0,1420.0,0.0
DE94C,10694.0,9285.0,9776.0
DE94D,4455.0,1742.0,580.0
DE94E,339.0,0.0,0.0
DE94F,0.0,0.0,0.0
DE94G,1473.0,999.0,1314.0
DE94H,0.0,0.0,0.0
DEA,90213.0,32367.0,22310.0
DEA1,14127.0,3463.0,0.0
DEA11,0.0,0.0,0.0
DEA12,1289.0,0.0,0.0
DEA13,0.0,0.0,0.0
DEA14,567.0,0.0,0.0
DEA15,0.0,0.0,0.0
DEA16,0.0,0.0,0.0
DEA17,0.0,0.0,0.0
DEA18,0.0,0.0,0.0
DEA19,1710.0,297.0,0.0
DEA1A,0.0,0.0,0.0
DEA1B,3166.0,3166.0,0.0
DEA1C,0.0,0.0,0.0
DEA1D,0.0,0.0,0.0
DEA1E,957.0,0.0,0.0
DEA1F,6438.0,0.0,0.0
DEA2,36172.0,15074.0,10528.0
DEA22,0.0,0.0,0.0
DEA23,0.0,0.0,0.0
DEA24,0.0,0.0,0.0
DEA26,1200.0,618.0,945.0
DEA27,1153.0,0.0,0.0
DEA28,4298.0,3044.0,1154.0
DEA29,3498.0,0.0,0.0
DEA2A,6273.0,1837.0,1240.0
DEA2B,5143.0,2590.0,1195.0
DEA2C,12921.0,6985.0,5994.0
DEA2D,1686.0,0.0,0.0
DEA3,11330.0,1258.0,5446.0
DEA31,0.0,0.0,0.0
DEA32,0.0,0.0,0.0
DEA33,0.0,0.0,0.0
DEA34,365.0,0.0,0.0
DEA35,0.0,0.0,0.0
DEA36,852.0,852.0,0.0
DEA37,10113.0,406.0,406.0
DEA38,0.0,0.0,5040.0
DEA4,7917.0,2632.0,973.0
DEA41,0.0,0.0,0.0
DEA42,1209.0,0.0,0.0
DEA43,310.0,310.0,310.0
DEA44,0.0,0.0,0.0
DEA45,3697.0,962.0,663.0
DEA46,1936.0,1360.0,0.0
DEA47,765.0,0.0,0.0
DEA5,20667.0,9940.0,5363.0
DEA51,0.0,0.0,0.0
DEA52,0.0,0.0,0.0
DEA53,0.0,0.0,0.0
DEA54,0.0,0.0,0.0
DEA55,0.0,0.0,0.0
DEA56,0.0,0.0,0.0
DEA57,5652.0,544.0,911.0
DEA58,8628.0,6294.0,3258.0
DEA59,1128.0,703.0,496.0
DEA5A,4797.0,2399.0,698.0
DEA5B,462.0,0.0,0.0
DEA5C,0.0,0.0,0.0
DEB,102167.0,65269.0,55606.0
DEB1,59812.0,35865.0,30900.0
DEB11,407.0,254.0,254.0
DEB12,7346.0,2224.0,229.0
DEB13,5281.0,5281.0,5281.0
DEB14,6401.0,2766.0,2270.0
DEB15,0.0,0.0,0.0
DEB17,6644.0,4720.0,6644.0
DEB18,13305.0,2940.0,5407.0
DEB1A,2925.0,4792.0,4489.0
DEB1B,13803.0,12888.0,6326.0
DEB1C,0.0,0.0,0.0
DEB1D,3700.0,0.0,0.0
DEB2,5490.0,2288.0,880.0
DEB21,3605.0,403.0,0.0
DEB22,0.0,0.0,0.0
DEB23,0.0,0.0,0.0
DEB24,0.0,0.0,0.0
DEB25,1885.0,1885.0,880.0
DEB3,36865.0,27116.0,23826.0
DEB31,0.0,0.0,0.0
DEB32,0.0,0.0,0.0
DEB33,0.0,0.0,0.0
DEB34,0.0,0.0,0.0
DEB35,0.0,0.0,0.0
DEB36,0.0,0.0,0.0
DEB37,0.0,0.0,0.0
DEB38,0.0,0.0,0.0
DEB39,1848.0,1848.0,1848.0
DEB3A,802.0,802.0,802.0
DEB3B,16161.0,10625.0,8288.0
