GEO,2023,2024,2025
AT,9865.0,8909.0,17397.0
AT1,3297.0,5399.0,7592.0
AT12,3297.0,5399.0,7592.0
AT121,1530.0,1530.0,2020.0
AT123,1767.0,3869.0,5572.0
AT3,6568.0,3510.0,9805.0
AT31,,,847.0
AT311,,,847.0
AT32,1940.0,,
AT322,1940.0,,
AT33,1881.0,3510.0,4006.0
AT332,,434.0,434.0
AT335,1881.0,3076.0,3572.0
AT34,2747.0,,4952.0
AT341,,,2781.0
AT342,2747.0,,2171.0
BE,29378.0,148595.0,241714.0
BE2,29378.0,148595.0,241714.0
BE21,8735.0,40861.0,69555.0
BE211,3740.0,17353.0,27407.0
BE212,,8536.0,21119.0
BE213,4995.0,14972.0,21029.0
BE22,4236.0,20377.0,30689.0
BE223,,2925.0,2925.0
BE224,4236.0,17452.0,27764.0
BE23,2951.0,27015.0,44416.0
BE231,,,2734.0
BE232,,2583.0,1991.0
BE234,,1517.0,2909.0
BE235,,3622.0,5927.0
BE236,2951.0,19293.0,30855.0
BE24,3849.0,13924.0,22948.0
BE241,3849.0,13660.0,17506.0
BE242,,264.0,5442.0
BE25,9607.0,46418.0,74106.0
BE251,1396.0,6639.0,12637.0
BE252,,1508.0,1508.0
BE253,2681.0,5456.0,5456.0
BE254,1407.0,16206.0,30647.0
BE255,,,1614.0
BE256,3199.0,13677.0,14887.0
BE258,924.0,2932.0,7357.0
BG,,497.0,497.0
BG4,,497.0,497.0
BG41,,497.0,497.0
BG413,,497.0,497.0
CH,2921.0,912.0,10105.0
CH0,2921.0,912.0,10105.0
CH01,,,3179.0
CH012,,,3179.0
CH02,2009.0,,
CH021,2009.0,,
CH05,912.0,912.0,5576.0
CH056,912.0,912.0,5576.0
CH07,,,1350.0
CH070,,,1350.0
DE,35069.0,60724.0,83777.0
DE1,6858.0,9350.0,17147.0
DE11,6858.0,4220.0,9072.0
DE113,4220.0,4220.0,4220.0
DE118,,,2214.0
DE11A,2638.0,,2638.0
DE13,,2659.0,5604.0
DE134,,2659.0,5604.0
DE14,,2471.0,2471.0
DE148,,2471.0,2471.0
DE2,11075.0,7500.0,24427.0
DE21,6459.0,4147.0,12155.0
DE217,,,3454.0
DE21D,,,2242.0
DE21K,1735.0,1735.0,1735.0
DE21L,2312.0,,2312.0
DE21N,2412.0,2412.0,2412.0
DE23,3517.0,,4628.0
DE235,,,1111.0
DE236,3517.0,,3517.0
DE25,,,2401.0
DE256,,,2401.0
DE27,1099.0,3353.0,5243.0
DE278,,2254.0,2254.0
DE27D,,,267.0
DE27E,1099.0,1099.0,2722.0
DE3,,786.0,
DE30,,786.0,
DE300,,786.0,
DE4,,3545.0,3545.0
DE40,,3545.0,3545.0
DE40D,,3545.0,3545.0
DE7,2674.0,5971.0,5668.0
DE71,2674.0,5971.0,5668.0
DE715,,3297.0,
DE717,2674.0,2674.0,2674.0
DE718,,,2994.0
DE9,4290.0,8222.0,9197.0
DE91,,243.0,243.0
DE913,,243.0,243.0
DE92,2143.0,2143.0,
DE927,2143.0,2143.0,
DE93,,,1369.0
DE931,,,1369.0
DE94,2147.0,5836.0,7585.0
DE94B,,2389.0,2389.0
DE94E,,1300.0,1300.0
DE94F,2147.0,2147.0,3896.0
DEA,10172.0,16538.0,22326.0
DEA1,2773.0,9139.0,14634.0
DEA15,,,1979.0
DEA1B,2773.0,2773.0,2773.0
DEA1C,,3214.0,
DEA1D,,3152.0,3152.0
DEA1E,,,3421.0
DEA1F,,,3309.0
DEA3,4730.0,4730.0,4730.0
DEA34,4730.0,4730.0,4730.0
DEA4,,,2962.0
DEA45,,,2962.0
DEA5,2669.0,2669.0,
DEA5B,2669.0,2669.0,
DEB,,3511.0,
DEB3,,3511.0,
DEB33,,3511.0,
DED,,3031.0,
DED4,,3031.0,
DED45,,3031.0,
DEF,,2270.0,1467.0
DEF0,,2270.0,1467.0
DEF0C,,2270.0,
DEF0D,,,1467.0
DK,25412.0,49107.0,88152.0
DK0,25412.0,49107.0,88152.0
DK01,4351.0,,7232.0
DK012,4351.0,,4351.0
DK013,,,2881.0
DK02,4132.0,6362.0,10047.0
DK022,4132.0,6362.0,10047.0
DK03,6745.0,25307.0,41233.0
DK031,,6050.0,6872.0
DK032,6745.0,19257.0,34361.0
DK04,10184.0,16393.0,22914.0
DK041,949.0,2672.0,4833.0
DK042,9235.0,13721.0,18081.0
DK05,,1045.0,6726.0
DK050,,1045.0,6726.0
FI,1381.0,9488.0,18979.0
FI1,1381.0,9488.0,18979.0
FI19,,4313.0,4313.0
FI19A,,4313.0,4313.0
FI1B,,,3680.0
FI1B1,,,3680.0
FI1D,1381.0,5175.0,10986.0
FI1D5,1381.0,1381.0,1381.0
FI1D7,,3794.0,5151.0
FI1DC,,,4454.0
FR,2719.0,2719.0,2719.0
FRE,1904.0,1904.0,1904.0
FRE2,1904.0,1904.0,1904.0
FRE21,1904.0,1904.0,1904.0
FRK,815.0,815.0,815.0
FRK2,815.0,815.0,815.0
