GEO,2023,2024,2025
AT,299688.0,345227.0,368090.0
AT1,123403.0,126509.0,131679.0
AT11,8917.0,8601.0,10230.0
AT112,6374.0,6906.0,7687.0
AT113,2543.0,1695.0,2543.0
AT12,97609.0,101031.0,107736.0
AT121,7590.0,8343.0,7590.0
AT122,13438.0,13462.0,13609.0
AT123,17329.0,17085.0,18871.0
AT124,12283.0,12385.0,14267.0
AT125,2161.0,2161.0,2161.0
AT126,24854.0,16502.0,19086.0
AT127,19954.0,31093.0,32152.0
AT13,16877.0,16877.0,13713.0
AT130,16877.0,16877.0,13713.0
AT2,49788.0,69171.0,69681.0
AT21,23638.0,34846.0,33213.0
AT211,16900.0,25310.0,25109.0
AT212,2520.0,2633.0,3886.0
AT213,4218.0,6903.0,4218.0
AT22,26150.0,34325.0,36468.0
AT221,5117.0,3447.0,3105.0
AT223,7505.0,8063.0,10320.0
AT224,5710.0,8809.0,11276.0
AT225,4927.0,7591.0,5352.0
AT226,2891.0,6415.0,6415.0
AT3,126497.0,149547.0,166730.0
AT31,32845.0,42136.0,46340.0
AT311,12547.0,15177.0,13231.0
AT312,4964.0,6714.0,7733.0
AT313,2487.0,6173.0,5711.0
AT314,5369.0,5371.0,7313.0
AT315,7478.0,8701.0,12352.0
AT32,10054.0,15670.0,22090.0
AT322,6176.0,6176.0,7068.0
AT323,3878.0,9494.0,15022.0
AT33,45242.0,49499.0,56252.0
AT331,2846.0,2846.0,3606.0
AT332,16069.0,17594.0,19748.0
AT333,4713.0,3560.0,3560.0
AT334,,,374.0
AT335,21614.0,25499.0,28964.0
AT34,38356.0,42242.0,42048.0
AT341,8158.0,8158.0,8595.0
AT342,30198.0,34084.0,33453.0
BE,674591.0,1101938.0,1298179.0
BE1,282.0,,
BE10,282.0,,
BE100,282.0,,
BE2,663351.0,1064836.0,1236621.0
BE21,170638.0,270066.0,296634.0
BE211,75525.0,113093.0,125925.0
BE212,39437.0,65158.0,69619.0
BE213,55676.0,91815.0,101090.0
BE22,67036.0,115125.0,140743.0
BE223,9752.0,20184.0,28609.0
BE224,47612.0,78309.0,86741.0
BE225,9672.0,16632.0,25393.0
BE23,171144.0,291877.0,338461.0
BE231,45241.0,75654.0,96359.0
BE232,23027.0,48312.0,62465.0
BE233,7959.0,16475.0,15992.0
BE234,25417.0,48189.0,62088.0
BE235,12080.0,23938.0,26566.0
BE236,57420.0,79309.0,74991.0
BE24,84419.0,139894.0,186128.0
BE241,52576.0,82377.0,112978.0
BE242,31843.0,57517.0,73150.0
BE25,170114.0,247874.0,274655.0
BE251,25182.0,36835.0,36263.0
BE252,1508.0,2005.0,3966.0
BE253,9402.0,18216.0,21049.0
BE254,73102.0,97191.0,107813.0
BE255,6023.0,10858.0,15399.0
BE256,37078.0,55813.0,56929.0
BE257,9468.0,12909.0,15900.0
BE258,8351.0,14047.0,17336.0
BE3,10958.0,37102.0,61558.0
BE31,643.0,12751.0,12751.0
BE310,643.0,12751.0,12751.0
BE32,4731.0,11237.0,24864.0
BE323,,,6210.0
BE328,1939.0,5261.0,11703.0
BE32B,2792.0,2792.0,2792.0
BE32C,,3184.0,4159.0
BE33,3334.0,6913.0,13874.0
BE331,,,996.0
BE332,1046.0,3997.0,5507.0
BE334,,,192.0
BE335,1723.0,2351.0,2351.0
BE336,565.0,565.0,4828.0
BE34,859.0,3131.0,3131.0
BE343,,1787.0,1787.0
BE344,859.0,1344.0,1344.0
BE35,1391.0,3070.0,6938.0
BE351,,1498.0,1498.0
BE352,1391.0,1572.0,5440.0
BG,27676.0,45516.0,87303.0
BG3,14005.0,22890.0,52933.0
BG31,5625.0,8778.0,23178.0
BG311,2877.0,2877.0,2877.0
BG312,,,5007.0
BG313,2748.0,2748.0,8429.0
BG315,,3153.0,6865.0
BG32,3278.0,4685.0,14844.0
BG321,3278.0,3278.0,3994.0
BG324,,,3684.0
BG325,,1407.0,7166.0
BG33,3179.0,3179.0,8114.0
BG331,3179.0,3179.0,8114.0
BG34,1923.0,6248.0,6797.0
BG341,1923.0,2183.0,2732.0
BG343,,4065.0,4065.0
BG4,13671.0,22626.0,34370.0
BG41,4541.0,7401.0,15434.0
BG411,711.0,711.0,711.0
BG412,,2860.0,5450.0
BG413,3830.0,3830.0,4748.0
BG415,,,4525.0
BG42,9130.0,15225.0,18936.0
BG421,,,884.0
BG422,4576.0,5795.0,8622.0
