GEO,2023,2024,2025
AT,81.78,81.58,80.35
AT1,82.65,84.82,82.54
AT11,85.03,84.25,79.64
AT111,83.43,78.46,74.78
AT112,80.74,81.69,72.91
AT113,91.32,90.16,90.58
AT12,82.07,84.97,83.31
AT121,76.91,79.29,77.82
AT122,80.56,86.45,86.04
AT123,80.48,89.97,83.03
AT124,82.22,83.35,82.08
AT125,87.41,87.9,86.94
AT126,83.73,87.57,84.79
AT127,86.35,84.67,86.28
AT13,80.47,84.59,76.13
AT130,80.47,84.59,76.13
AT2,86.96,85.73,85.11
AT21,85.44,87.91,86.51
AT211,80.75,88.77,88.49
AT212,89.97,89.9,88.49
AT213,86.68,85.36,82.77
AT22,87.76,84.59,84.37
AT221,96.1,92.22,93.13
AT222,69.11,70.74,69.06
AT223,90.18,86.74,84.9
AT224,88.22,83.72,85.24
AT225,89.58,86.81,85.34
AT226,89.37,85.74,84.16
AT3,77.39,75.99,75.18
AT31,87.14,87.51,87.07
AT311,90.17,89.73,88.77
AT312,87.22,89.15,89.67
AT313,85.23,87.25,89.01
AT314,85.8,87.32,85.68
AT315,85.02,82.03,79.26
AT32,62.4,58.92,56.97
AT321,60.42,53.52,49.74
AT322,50.45,46.91,48.09
AT323,77.29,74.57,69.2
AT33,67.85,63.08,62.06
AT331,68.28,64.01,66.26
AT332,73.06,72.66,67.39
AT333,80.03,76.35,80.25
AT334,64.81,61.78,64.83
AT335,64.61,56.55,52.88
AT34,64.57,65.24,65.15
AT341,54.47,56.6,54.56
AT342,80.74,79.08,82.11
BE,81.59,68.52,62.37
BE1,12.09,7.64,7.64
BE10,12.09,7.64,7.64
BE100,12.09,7.64,7.64
BE2,66.77,43.07,33.13
BE21,64.39,37.29,32.17
BE211,64.03,37.17,27.1
BE212,59.87,24.57,22.15
BE213,65.92,41.23,37.39
BE22,70.91,51.52,38.52
BE223,65.08,48.0,35.96
BE224,73.0,45.7,42.08
BE225,73.39,58.97,37.38
BE23,71.29,41.47,31.58
BE231,77.52,50.02,39.22
BE232,63.93,30.3,24.35
BE233,70.02,50.62,40.67
BE234,67.02,36.54,26.1
BE235,80.97,46.19,34.47
BE236,67.99,35.94,28.37
BE24,75.98,49.43,38.13
BE241,66.84,42.64,31.73
BE242,80.88,53.06,41.56
BE25,56.3,39.26,28.93
BE251,50.73,32.23,24.59
BE252,80.65,61.24,47.5
BE253,71.79,49.61,38.41
BE254,34.05,22.34,12.28
BE255,66.15,52.15,37.27
BE256,32.07,21.46,16.0
BE257,52.96,36.56,22.08
BE258,71.93,52.66,49.21
BE3,95.54,92.39,89.78
BE31,96.4,93.17,91.2
BE310,96.4,93.17,91.2
BE32,97.11,93.7,91.77
BE323,99.04,97.26,96.21
BE328,97.11,95.37,93.94
BE329,98.91,100.0,96.11
BE32A,97.99,97.0,94.57
BE32B,96.14,80.3,78.82
BE32C,92.89,87.4,84.04
BE32D,97.01,93.84,92.03
BE33,94.27,90.67,86.77
BE331,98.3,96.89,92.71
BE332,95.66,92.34,87.44
BE334,96.88,93.6,92.54
BE335,91.0,85.7,79.71
BE336,90.61,86.7,84.78
BE34,93.26,90.89,88.0
BE341,90.74,95.34,93.7
BE342,87.11,85.8,84.2
BE343,90.86,83.2,77.36
BE344,95.88,93.65,90.48
BE345,100.0,98.47,97.17
BE35,96.54,93.64,91.62
BE351,99.58,96.72,94.71
BE352,96.62,93.33,89.6
BE353,91.62,89.52,91.28
BG,98.62,97.99,97.77
BG3,98.4,97.51,97.34
BG31,99.99,99.82,99.65
BG311,100.0,100.0,100.0
BG312,100.0,100.0,99.55
BG313,100.0,100.0,100.0
BG314,100.0,100.0,100.0
BG315,99.97,99.02,98.48
BG32,99.89,99.82,99.66
BG321,99.6,99.38,99.38
BG322,100.0,100.0,100.0
BG323,100.0,100.0,99.94
BG324,100.0,100.0,100.0
BG325,100.0,100.0,99.23
BG33,99.24,98.08,97.71
BG331,98.5,95.57,95.1
BG332,98.94,98.47,97.51
BG333,100.0,100.0,100.0
BG334,100.0,100.0,100.0
BG34,95.11,93.13,93.11
BG341,92.4,87.95,87.96
BG342,99.94,99.94,99.84
BG343,100.0,100.0,99.99
BG344,93.46,92.9,92.9
BG4,98.92,98.64,98.36
BG41,98.91,98.32,97.92
BG411,98.67,98.6,98.24
BG412,99.97,99.97,99.78
BG413,97.44,95.96,95.76
BG414,100.0,99.37,98.52
BG415,99.97,99.97,98.72
BG42,98.93,98.86,98.69
BG421,99.7,99.66,99.67
BG422,100.0,99.95,99.95
BG423,99.57,99.43,99.43
BG424,93.83,93.72,93.71
BG425,99.99,99.99,98.93
CH,90.73,88.61,85.29
CH0,90.73,88.61,85.29
CH01,89.9,88.55,84.07
CH011,91.62,91.34,88.07
CH012,87.78,85.82,78.61
CH013,84.35,74.86,74.65
CH02,91.44,89.82,86.89
CH021,89.07,86.15,83.14
CH022,94.72,92.39,91.76
CH023,97.02,96.31,95.67
CH024,86.4,90.32,84.78
CH025,94.19,98.68,87.91
CH03,91.49,88.4,86.74
CH031,100.0,100.0,100.0
CH032,93.58,93.08,92.17
CH033,90.76,86.77,84.86
CH04,91.76,88.34,86.54
CH040,91.76,88.34,86.54
CH05,87.22,86.37,84.05
CH051,82.01,72.91,66.51
CH052,99.08,98.91,98.88
CH053,91.36,91.36,92.25
CH054,96.0,94.78,92.74
CH055,89.83,88.48,84.28
CH056,74.4,74.28,74.5
CH057,96.8,96.73,92.6
CH06,92.63,88.69,82.78
CH061,95.56,85.64,81.77
CH062,98.0,97.3,70.47
CH063,88.3,96.99,87.11
CH064,65.89,65.89,65.89
CH065,93.42,92.31,92.31
CH066,97.23,97.43,96.38
CH07,97.99,90.83,86.62
CH070,97.99,90.83,86.62
CY,99.6,97.67,97.06
CY0,99.6,97.67,97.06
CY00,99.6,97.67,97.06
CY000,99.6,97.67,97.06
CZ,99.7,99.54,99.37
CZ0,99.7,99.54,99.37
CZ01,85.09,81.82,81.59
CZ010,85.09,81.82,81.59
CZ02,99.76,99.57,99.43
CZ020,99.76,99.57,99.43
CZ03,99.58,99.36,99.36
CZ031,99.43,99.1,99.1
CZ032,99.73,99.63,99.63
CZ04,99.67,99.24,99.06
CZ041,99.81,100.0,99.73
CZ042,99.61,98.86,98.74
CZ05,99.76,99.62,99.54
CZ051,99.81,99.81,99.81
CZ052,99.67,99.36,99.28
CZ053,99.83,99.77,99.62
CZ06,99.84,99.71,99.39
CZ063,99.83,99.54,99.01
CZ064,99.85,99.82,99.64
CZ07,99.84,99.88,99.56
