GEO,2023,2024,2025
AT,90.58,90.06,91.19
AT1,92.52,91.78,92.23
AT11,91.43,92.95,92.63
AT111,90.74,94.85,96.12
AT112,95.08,97.98,97.68
AT113,86.98,85.54,84.5
AT12,92.77,91.43,92.08
AT121,94.8,93.42,93.77
AT122,93.16,90.6,90.61
AT123,96.66,96.09,96.13
AT124,90.81,87.57,89.12
AT125,83.18,81.54,81.77
AT126,94.84,95.5,95.55
AT127,96.26,96.31,98.92
AT13,96.57,98.92,98.92
AT130,96.57,98.92,98.92
AT2,86.41,85.11,87.16
AT21,83.48,79.98,82.31
AT211,89.38,86.45,88.08
AT212,81.36,77.8,83.23
AT213,78.98,74.9,75.42
AT22,87.93,87.79,89.69
AT221,88.4,90.01,94.66
AT222,90.51,86.75,92.53
AT223,85.86,80.46,79.23
AT224,89.8,90.69,91.6
AT225,89.41,89.89,90.43
AT226,75.64,78.26,82.38
AT3,91.97,92.19,93.22
AT31,90.27,90.41,92.31
AT311,88.27,90.87,93.34
AT312,92.67,92.43,94.76
AT313,90.35,86.91,86.97
AT314,85.82,85.86,90.41
AT315,94.01,95.06,96.1
AT32,96.08,96.88,96.75
AT321,88.11,94.83,95.07
AT322,98.35,97.24,97.3
AT323,94.91,96.85,96.41
AT33,91.43,91.46,91.39
AT331,95.63,95.19,93.53
AT332,88.52,86.63,90.09
AT333,71.94,75.01,70.86
AT334,90.26,91.14,90.53
AT335,97.53,97.13,97.2
AT34,98.27,98.27,98.48
AT341,99.89,99.89,99.49
AT342,95.67,95.67,96.87
BA,1.12,2.87,3.03
BA0,1.12,2.87,3.03
BA01,2.18,2.18,2.5
BA02,,3.59,3.59
BE,89.4,93.42,95.36
BE1,100.0,100.0,100.0
BE10,100.0,100.0,100.0
BE100,100.0,100.0,100.0
BE2,99.88,99.97,99.99
BE21,99.83,99.97,100.0
BE211,99.88,99.88,100.0
BE212,100.0,100.0,100.0
BE213,99.76,100.0,100.0
BE22,99.72,100.0,100.0
BE223,100.0,100.0,100.0
BE224,99.73,100.0,100.0
BE225,99.52,99.99,99.99
BE23,99.93,99.93,99.96
BE231,100.0,100.0,100.0
BE232,100.0,100.0,100.0
BE233,100.0,100.0,100.0
BE234,100.0,100.0,100.0
BE235,100.0,100.0,100.0
BE236,99.51,99.51,99.74
BE24,100.0,100.0,100.0
BE241,100.0,100.0,100.0
BE242,100.0,100.0,100.0
BE25,99.9,99.96,100.0
BE251,99.94,99.84,100.0
BE252,99.63,100.0,100.0
BE253,100.0,100.0,100.0
BE254,100.0,100.0,100.0
BE255,99.75,100.0,100.0
BE256,100.0,100.0,100.0
BE257,100.0,100.0,100.0
BE258,99.4,99.78,100.0
BE3,79.58,87.29,91.02
BE31,97.03,98.24,98.89
BE310,97.03,98.24,98.89
BE32,82.16,90.28,91.14
BE323,80.32,92.39,95.48
BE328,77.48,89.97,85.28
BE329,88.44,88.55,96.82
BE32A,83.27,91.74,89.51
BE32B,92.96,96.2,96.61
BE32C,90.26,94.83,95.62
BE32D,76.45,80.37,90.41
BE33,84.3,92.27,96.11
BE331,79.56,91.3,92.47
BE332,80.24,87.36,98.84
BE334,88.44,97.96,99.22
BE335,84.76,91.14,94.86
BE336,89.1,94.47,95.89
BE34,70.32,74.91,82.25
BE341,79.56,80.87,72.74
BE342,78.23,79.53,90.87
BE343,79.68,87.39,97.43
BE344,72.84,75.14,80.7
BE345,44.97,53.84,64.4
BE35,72.75,84.35,89.53
BE351,61.98,73.67,84.88
BE352,83.42,95.97,98.14
BE353,65.76,75.11,77.58
BG,20.57,26.19,30.39
BG3,16.88,23.07,26.8
BG31,14.47,21.15,22.56
BG311,20.49,21.97,22.31
BG312,14.58,17.23,18.2
BG313,8.53,15.88,16.69
BG314,11.96,18.91,22.21
BG315,22.55,34.99,35.16
BG32,17.4,23.7,29.94
BG321,17.88,21.55,23.89
BG322,21.9,29.69,35.65
BG323,17.56,26.39,47.1
BG324,9.59,17.34,19.98
BG325,23.67,28.73,28.73
BG33,12.84,21.7,25.45
BG331,15.97,35.24,36.61
BG332,17.82,25.63,37.17
BG333,9.18,10.15,13.52
BG334,5.81,5.97,5.97
BG34,21.77,25.32,28.93
BG341,25.63,30.8,32.91
BG342,7.15,9.32,16.68
BG343,11.37,11.07,15.98
BG344,31.9,35.54,37.87
BG4,25.64,30.47,35.31
BG41,33.06,38.33,41.97
BG411,37.4,49.24,59.14
BG412,45.88,47.77,53.9
BG413,20.38,25.41,26.57
BG414,26.97,35.76,35.95
BG415,37.4,41.5,41.31
BG42,20.19,24.7,30.43
BG421,26.07,37.19,42.87
BG422,11.12,12.63,14.6
BG423,16.97,15.38,21.76
BG424,30.84,37.21,41.08
BG425,10.96,10.95,20.8
CH,88.0,89.39,92.07
CH0,88.0,89.39,92.07
CH01,91.04,91.8,93.38
CH011,90.86,91.9,93.61
CH012,89.97,90.34,91.95
CH013,100.0,100.0,100.0
CH02,79.18,81.97,86.51
CH021,76.89,80.24,85.05
CH022,84.11,86.67,91.29
CH023,83.24,89.28,89.35
CH024,83.26,83.56,83.89
CH025,70.4,68.6,79.08
CH03,93.79,94.2,96.57
CH031,100.0,100.0,100.0
CH032,92.75,92.97,95.37
CH033,94.14,94.61,96.98
CH04,97.16,96.86,97.39
CH040,97.16,96.86,97.39
CH05,92.01,93.25,95.69
CH051,97.63,97.74,97.76
CH052,91.66,89.07,97.48
CH053,94.84,94.99,98.46
CH054,95.81,95.81,94.9
CH055,95.86,96.08,96.45
CH056,85.23,87.47,90.98
CH057,94.39,97.07,99.35
CH06,92.78,92.76,94.23
CH061,94.12,94.29,95.27
CH062,75.33,75.62,86.49
CH063,94.15,93.29,93.31
CH064,89.68,90.23,93.64
CH065,87.44,87.47,87.72
CH066,99.34,99.16,99.16
CH07,86.0,88.8,90.05
CH070,86.0,88.8,90.05
CY,22.1,36.41,43.71
CY0,22.1,36.41,43.71
CY00,22.1,36.41,43.71
CY000,22.1,36.41,43.71
CZ,35.04,39.53,43.13
CZ0,35.04,39.53,43.13
CZ01,99.99,99.99,100.0
CZ010,99.99,99.99,100.0
CZ02,33.05,37.83,44.71
CZ020,33.05,37.83,44.71
CZ03,28.79,35.29,36.91
CZ031,32.13,34.25,36.6
CZ032,25.33,36.36,37.22
CZ04,40.62,45.81,48.31
CZ041,41.24,47.32,47.99
CZ042,40.31,45.07,48.47
CZ05,42.36,46.73,51.46
CZ051,45.83,52.17,60.81
CZ052,49.49,53.74,56.89
CZ053,32.23,35.29,38.92
CZ06,31.69,37.41,40.61
CZ063,28.86,31.82,34.82
CZ064,33.48,40.95,44.28
CZ07,31.0,32.34,34.9
CZ071,30.98,30.89,33.01
CZ072,31.03,33.87,36.89
CZ08,41.93,44.3,46.91
CZ080,41.93,44.3,46.91
DE,75.19,79.05,82.07
DE1,85.72,91.36,92.64
DE11,81.32,91.01,93.47
DE111,100.0,100.0,100.0
DE112,98.78,100.0,100.0
DE113,96.88,97.34,99.72
DE114,93.96,94.59,95.95
DE115,90.77,93.58,95.81
DE116,88.87,90.16,90.13
DE117,100.0,100.0,100.0
DE118,83.82,91.88,98.16
DE119,80.27,85.8,90.82
DE11A,72.4,91.3,91.4
DE11B,68.97,73.82,83.82
DE11C,78.54,97.14,97.43
DE11D,76.54,94.91,93.67
DE12,80.76,91.66,93.68
DE121,99.4,99.54,99.54
DE122,100.0,100.0,100.0
DE123,73.32,96.03,100.0
DE124,95.32,97.12,97.88
DE125,95.98,98.48,100.0
DE126,100.0,100.0,100.0
DE127,76.43,81.45,83.49
DE128,84.92,89.65,93.47
DE129,100.0,100.0,100.0
DE12A,69.52,94.13,95.68
DE12B,94.85,100.0,100.0
DE12C,78.96,88.27,89.21
DE13,91.19,92.52,93.18
DE131,99.58,99.58,99.58
DE132,97.13,97.33,97.55
DE133,97.08,97.56,97.75
DE134,94.01,95.28,95.88
DE135,78.05,86.35,87.68
DE136,88.3,88.64,91.14
DE137,91.76,91.62,92.7
DE138,95.97,96.79,96.67
DE139,84.66,84.61,84.61
DE13A,87.83,89.26,89.47
DE14,88.3,90.36,90.53
DE141,82.38,85.73,89.19
DE142,99.37,99.75,99.75
DE143,90.97,91.39,86.37
DE144,100.0,100.0,100.0
DE145,96.68,96.96,97.65
DE146,80.54,83.68,86.11
DE147,94.98,95.5,98.38
DE148,89.12,92.96,93.87
DE149,75.82,78.85,74.87
DE2,81.47,83.11,87.33
DE21,82.95,84.79,90.88
DE211,79.95,100.0,100.0
DE212,100.0,100.0,100.0
DE213,100.0,100.0,100.0
DE214,83.46,84.22,90.55
