GEO,2023,2024,2025
AT,1011225.0,1018467.0,974969.0
AT1,292919.0,296529.0,287402.0
AT11,56434.0,53970.0,55587.0
AT111,9810.0,8733.0,8547.0
AT112,17180.0,15549.0,15880.0
AT113,29444.0,29688.0,31160.0
AT12,234365.0,240244.0,230600.0
AT121,44311.0,45011.0,43057.0
AT122,29650.0,30064.0,30193.0
AT123,19437.0,21412.0,20417.0
AT124,49383.0,51051.0,50524.0
AT125,35444.0,36094.0,33968.0
AT126,37910.0,39758.0,38985.0
AT127,18230.0,16854.0,13456.0
AT13,2120.0,2315.0,1215.0
AT130,2120.0,2315.0,1215.0
AT2,344463.0,346523.0,333025.0
AT21,117495.0,124900.0,119303.0
AT211,39553.0,42704.0,40471.0
AT212,36417.0,37687.0,35941.0
AT213,41525.0,44509.0,42891.0
AT22,226968.0,221623.0,213722.0
AT221,32440.0,31439.0,29343.0
AT222,16415.0,17907.0,16077.0
AT223,22734.0,22935.0,23249.0
AT224,81564.0,80250.0,78342.0
AT225,52805.0,49123.0,48633.0
AT226,21010.0,19969.0,18078.0
AT3,373843.0,375415.0,354542.0
AT31,247449.0,256820.0,236821.0
AT311,79438.0,79721.0,70827.0
AT312,45773.0,49970.0,45488.0
AT313,54640.0,59773.0,59040.0
AT314,28606.0,29944.0,25567.0
AT315,38992.0,37412.0,35899.0
AT32,47528.0,45215.0,43372.0
AT321,4516.0,3625.0,3263.0
AT322,18023.0,18117.0,17557.0
AT323,24989.0,23473.0,22552.0
AT33,66257.0,61097.0,62635.0
AT331,4213.0,3186.0,3619.0
AT332,12229.0,11580.0,11555.0
AT333,10401.0,9881.0,10776.0
AT334,16987.0,16321.0,16779.0
AT335,22427.0,20129.0,19906.0
AT34,12609.0,12283.0,11714.0
AT341,5581.0,5688.0,5607.0
AT342,7028.0,6595.0,6107.0
BE,722302.0,572689.0,501369.0
BE1,0.0,72.0,72.0
BE10,0.0,72.0,72.0
BE100,0.0,72.0,72.0
BE2,176185.0,84406.0,58411.0
BE21,29315.0,13658.0,10030.0
BE211,6441.0,4203.0,2935.0
BE212,4795.0,1059.0,649.0
BE213,18079.0,8396.0,6446.0
BE22,32433.0,16683.0,12579.0
BE223,8170.0,5031.0,2767.0
BE224,10067.0,4629.0,3920.0
BE225,14196.0,7023.0,5892.0
BE23,45275.0,18593.0,14180.0
BE231,7314.0,3222.0,1912.0
BE232,2336.0,752.0,433.0
BE233,6944.0,3997.0,4045.0
BE234,13094.0,5279.0,4094.0
BE235,11223.0,2509.0,1356.0
BE236,4364.0,2834.0,2340.0
BE24,31478.0,12972.0,8751.0
BE241,9755.0,3941.0,2860.0
BE242,21723.0,9031.0,5891.0
BE25,37684.0,22500.0,12871.0
BE251,7765.0,4511.0,2774.0
BE252,6631.0,3980.0,2331.0
BE253,7718.0,5594.0,3370.0
BE254,1820.0,1259.0,379.0
BE255,3504.0,1318.0,733.0
BE256,2044.0,886.0,725.0
BE257,4710.0,3243.0,1619.0
BE258,3492.0,1709.0,940.0
BE3,546117.0,488211.0,442886.0
BE31,38442.0,34025.0,29623.0
BE310,38442.0,34025.0,29623.0
BE32,154559.0,139846.0,128495.0
BE323,27254.0,24555.0,22470.0
BE328,36709.0,34352.0,33191.0
BE329,3958.0,4026.0,3379.0
BE32A,35056.0,31738.0,28206.0
BE32B,11531.0,8572.0,7832.0
BE32C,16332.0,13935.0,11935.0
BE32D,23719.0,22668.0,21482.0
BE33,128620.0,113791.0,99507.0
BE331,27935.0,25053.0,21610.0
BE332,24345.0,22264.0,16945.0
BE334,24255.0,20763.0,19930.0
BE335,34473.0,28830.0,26881.0
BE336,17612.0,16881.0,14141.0
BE34,98007.0,88600.0,82500.0
BE341,11064.0,11239.0,11246.0
BE342,18539.0,17562.0,15402.0
BE343,20149.0,16787.0,14385.0
BE344,21345.0,20560.0,19580.0
BE345,26910.0,22452.0,21887.0
BE35,126489.0,111949.0,102761.0
BE351,44025.0,41957.0,36463.0
BE352,57826.0,47821.0,45027.0
BE353,24638.0,22171.0,21271.0
BG,1156630.0,1111375.0,1079465.0
BG3,677380.0,647283.0,629403.0
BG31,169202.0,164109.0,161349.0
BG311,18464.0,18057.0,18113.0
BG312,27701.0,27466.0,26828.0
BG313,41786.0,39837.0,39866.0
BG314,52089.0,51221.0,49583.0
BG315,29162.0,27528.0,26959.0
BG32,162462.0,155764.0,148552.0
BG321,45432.0,45260.0,44137.0
BG322,13939.0,13187.0,12867.0
BG323,34510.0,32266.0,26974.0
BG324,37112.0,34782.0,34406.0
BG325,31469.0,30269.0,30168.0
BG33,158773.0,146415.0,143735.0
BG331,57111.0,47363.0,48247.0
BG332,31526.0,29177.0,26401.0
BG333,41572.0,41433.0,40645.0
BG334,28564.0,28442.0,28442.0
BG34,186943.0,180995.0,175767.0
BG341,72925.0,68965.0,67264.0
BG342,45609.0,45297.0,42151.0
BG343,21103.0,20828.0,20466.0
BG344,47306.0,45905.0,45886.0
BG4,479250.0,464092.0,450062.0
BG41,195564.0,189487.0,185386.0
BG411,28939.0,26222.0,25310.0
BG412,55153.0,53538.0,50897.0
BG413,70195.0,69856.0,69301.0
BG414,18864.0,17785.0,17681.0
BG415,22413.0,22086.0,22197.0
BG42,283686.0,274605.0,264676.0
BG421,93860.0,87955.0,84742.0
BG422,42737.0,42302.0,41610.0
BG423,62236.0,62806.0,60760.0
BG424,35588.0,32277.0,31669.0
BG425,49265.0,49265.0,45895.0
CH,597974.0,562674.0,506720.0
CH0,597974.0,562674.0,506720.0
CH01,87624.0,83186.0,71947.0
