GEO,2023,2024,2025
AT,96.32,96.26,95.79
AT1,96.09,96.45,95.81
AT11,95.53,95.87,93.56
AT111,91.99,95.09,90.69
AT112,94.12,93.43,90.84
AT113,98.93,99.4,98.38
AT12,96.2,96.56,96.34
AT121,94.88,94.44,94.09
AT122,94.88,97.54,97.6
AT123,97.72,98.3,97.66
AT124,94.64,95.19,95.13
AT125,96.28,96.6,94.86
AT126,97.9,97.38,98.24
AT127,99.08,99.08,98.69
AT13,100.0,100.0,100.0
AT130,100.0,100.0,100.0
AT2,97.4,97.65,96.96
AT21,96.29,97.38,96.64
AT211,95.25,98.34,98.06
AT212,96.98,97.24,96.08
AT213,96.81,96.49,95.6
AT22,97.99,97.78,97.13
AT221,99.46,99.46,99.46
AT222,92.87,94.24,93.47
AT223,99.58,99.45,99.45
AT224,97.75,97.42,96.98
AT225,99.49,99.45,98.34
AT226,97.37,94.86,92.92
AT3,95.75,95.14,94.94
AT31,98.12,97.97,98.32
AT311,98.8,98.28,97.99
AT312,99.94,99.89,100.0
AT313,96.52,97.44,97.84
AT314,96.45,97.06,97.06
AT315,98.06,96.52,98.44
AT32,91.47,90.47,89.81
AT321,89.7,91.74,86.34
AT322,87.3,84.98,85.48
AT323,96.89,96.89,95.77
AT33,93.18,91.61,90.28
AT331,100.0,95.61,93.84
AT332,92.98,91.76,91.79
AT333,94.5,91.67,94.5
AT334,90.21,88.76,88.48
AT335,93.8,92.76,89.22
AT34,95.58,95.36,95.6
AT341,93.42,93.05,93.45
AT342,99.05,99.05,99.05
BE,98.09,95.57,94.32
BE1,82.18,35.84,35.84
BE10,82.18,35.84,35.84
BE100,82.18,35.84,35.84
BE2,96.54,91.68,89.51
BE21,97.7,92.17,91.47
BE211,96.7,92.06,92.5
BE212,97.3,96.44,91.42
BE213,98.25,90.92,91.05
BE22,99.03,96.45,93.58
BE223,99.58,93.56,90.79
BE224,99.66,98.14,95.93
BE225,98.1,97.11,93.63
BE23,96.47,91.55,89.46
BE231,99.21,99.21,98.42
BE232,96.42,95.38,96.42
BE233,99.85,86.9,86.23
BE234,95.49,91.47,87.07
BE235,96.5,94.45,94.02
BE236,93.06,84.24,80.95
BE24,98.55,96.13,95.16
BE241,99.3,98.28,97.0
BE242,98.14,94.99,94.18
BE25,93.21,86.0,82.59
BE251,90.66,86.22,86.96
BE252,93.21,86.93,82.37
BE253,95.5,90.67,83.43
BE254,93.13,93.05,85.98
BE255,89.26,86.49,82.62
BE256,89.8,75.95,75.13
BE257,100.0,82.47,79.04
BE258,86.66,83.16,82.56
BE3,99.57,99.29,98.89
BE31,99.87,99.81,99.67
BE310,99.87,99.81,99.67
BE32,99.1,99.1,98.91
BE323,100.0,100.0,99.54
BE328,99.82,99.82,99.81
BE329,100.0,100.0,97.21
BE32A,98.43,98.43,98.43
BE32B,99.98,100.0,99.27
BE32C,100.0,100.0,100.0
BE32D,96.79,96.79,97.01
BE33,99.8,99.51,99.23
BE331,100.0,100.0,99.73
BE332,99.57,99.57,99.57
BE334,100.0,100.0,100.0
BE335,99.7,98.69,98.8
BE336,99.75,99.75,98.07
BE34,99.73,98.87,97.5
BE341,100.0,100.0,100.0
BE342,99.3,99.3,94.7
BE343,100.0,97.33,95.09
BE344,99.49,99.2,98.79
BE345,100.0,99.12,100.0
BE35,99.64,99.43,99.31
BE351,99.35,99.75,99.69
BE352,99.73,99.12,98.93
BE353,99.87,99.63,99.57
BG,99.95,99.59,99.51
BG3,99.97,99.4,99.33
BG31,99.99,99.99,99.92
BG311,100.0,100.0,100.0
BG312,100.0,100.0,100.0
BG313,100.0,100.0,100.0
BG314,100.0,100.0,100.0
BG315,99.97,99.97,99.58
BG32,100.0,99.88,99.88
BG321,100.0,100.0,100.0
BG322,100.0,98.58,98.58
BG323,100.0,100.0,100.0
BG324,100.0,100.0,100.0
BG325,100.0,100.0,100.0
BG33,99.99,99.59,99.58
BG331,99.98,98.86,98.85
BG332,100.0,100.0,100.0
BG333,100.0,100.0,100.0
BG334,100.0,100.0,100.0
BG34,99.91,98.32,98.16
BG341,99.84,95.98,96.96
BG342,100.0,100.0,100.0
BG343,100.0,100.0,100.0
BG344,99.92,99.92,97.81
BG4,99.93,99.86,99.75
BG41,99.83,99.67,99.41
BG411,100.0,100.0,100.0
BG412,99.98,99.98,99.98
