GEO,2023,2024,2025
AT,2053962.0,2042238.0,2067816.0
AT1,676200.0,670764.0,674048.0
AT11,133005.0,135210.0,134751.0
AT111,21404.0,22374.0,22673.0
AT112,65557.0,67558.0,67349.0
AT113,46044.0,45278.0,44729.0
AT12,539165.0,531426.0,535169.0
AT121,111257.0,109633.0,110045.0
AT122,71299.0,69339.0,69348.0
AT123,50664.0,50369.0,50389.0
AT124,95291.0,91886.0,93513.0
AT125,58802.0,57639.0,57805.0
AT126,98296.0,98978.0,99037.0
AT127,53556.0,53582.0,55032.0
AT13,4030.0,4128.0,4128.0
AT130,4030.0,4128.0,4128.0
AT2,551895.0,543589.0,556692.0
AT21,183193.0,175496.0,180622.0
AT211,72110.0,69739.0,71055.0
AT212,51142.0,48907.0,52323.0
AT213,59941.0,56850.0,57244.0
AT22,368702.0,368093.0,376070.0
AT221,48239.0,49119.0,51653.0
AT222,41902.0,40161.0,42836.0
AT223,38824.0,36381.0,35825.0
AT224,127709.0,128983.0,130278.0
AT225,84043.0,84493.0,84998.0
AT226,27985.0,28956.0,30480.0
AT3,825867.0,827885.0,837076.0
AT31,448364.0,449071.0,458499.0
AT311,131965.0,135859.0,139546.0
AT312,89550.0,89312.0,91571.0
AT313,100998.0,97160.0,97219.0
AT314,48332.0,48357.0,50918.0
AT315,77519.0,78383.0,79245.0
AT32,150234.0,151489.0,151285.0
AT321,11446.0,12318.0,12350.0
AT322,77295.0,76421.0,76469.0
AT323,61493.0,62750.0,62466.0
AT33,178899.0,178955.0,178817.0
AT331,11968.0,11913.0,11705.0
AT332,29050.0,28431.0,29567.0
AT333,13990.0,14587.0,13779.0
AT334,46853.0,47307.0,46994.0
AT335,77038.0,76717.0,76772.0
AT34,48370.0,48370.0,48475.0
AT341,30267.0,30267.0,30145.0
AT342,18103.0,18103.0,18330.0
BE,1316309.0,1375516.0,1404003.0
BE1,943.0,943.0,943.0
BE10,943.0,943.0,943.0
BE100,943.0,943.0,943.0
BE2,710254.0,710842.0,711017.0
BE21,118829.0,118994.0,119028.0
BE211,29222.0,29222.0,29256.0
BE212,20990.0,20990.0,20990.0
BE213,68617.0,68782.0,68782.0
BE22,115387.0,115706.0,115706.0
BE223,32715.0,32715.0,32715.0
BE224,37760.0,37864.0,37864.0
BE225,44912.0,45127.0,45127.0
BE23,171731.0,171731.0,171789.0
BE231,20990.0,20990.0,20990.0
BE232,12979.0,12979.0,12979.0
BE233,24556.0,24556.0,24556.0
BE234,55360.0,55360.0,55360.0
BE235,32589.0,32589.0,32589.0
BE236,25257.0,25257.0,25315.0
BE24,112463.0,112463.0,112463.0
BE241,39226.0,39226.0,39226.0
BE242,73237.0,73237.0,73237.0
BE25,191844.0,191948.0,192031.0
BE251,39582.0,39543.0,39605.0
BE252,21130.0,21208.0,21208.0
BE253,35843.0,35843.0,35843.0
BE254,21682.0,21682.0,21682.0
BE255,12021.0,12051.0,12051.0
BE256,21999.0,21999.0,21999.0
BE257,30287.0,30287.0,30287.0
BE258,9300.0,9335.0,9356.0
BE3,605112.0,663731.0,692043.0
BE31,57428.0,58142.0,58527.0
BE310,57428.0,58142.0,58527.0
BE32,167180.0,183715.0,185449.0
BE323,26115.0,30039.0,31045.0
BE328,36477.0,42357.0,40149.0
BE329,5096.0,5102.0,5579.0
BE32A,37996.0,41864.0,40845.0
BE32B,17251.0,17852.0,17928.0
BE32C,19636.0,20630.0,20801.0
BE32D,24609.0,25871.0,29102.0
BE33,158551.0,173523.0,180749.0
BE331,28399.0,32588.0,33007.0
BE332,27646.0,30101.0,34056.0
BE334,31014.0,34351.0,34793.0
BE335,45529.0,48956.0,50953.0
BE336,25963.0,27527.0,27940.0
BE34,95422.0,101648.0,111610.0
BE341,11597.0,11787.0,10603.0
