GEO,2023,2024,2025
AT,2266399.0,2218443.0,2144093.0
AT1,748193.0,754222.0,706302.0
AT11,131165.0,130745.0,120670.0
AT111,19679.0,18507.0,17639.0
AT112,60641.0,63547.0,54118.0
AT113,50845.0,48691.0,48913.0
AT12,605440.0,611563.0,576703.0
AT121,102011.0,105655.0,101683.0
AT122,89628.0,94856.0,90710.0
AT123,55105.0,57753.0,52884.0
AT124,88916.0,89818.0,89159.0
AT125,62846.0,63422.0,62211.0
AT126,131239.0,132567.0,120939.0
AT127,75695.0,67492.0,59117.0
AT13,11588.0,11914.0,8929.0
AT130,11588.0,11914.0,8929.0
AT2,634837.0,625432.0,621177.0
AT21,201561.0,209228.0,206169.0
AT211,74970.0,83326.0,83305.0
AT212,57598.0,57117.0,56228.0
AT213,68993.0,68785.0,66636.0
AT22,433276.0,416204.0,415008.0
AT221,93745.0,87369.0,89313.0
AT222,31993.0,32748.0,31973.0
AT223,52474.0,49819.0,51837.0
AT224,128836.0,121324.0,123535.0
AT225,90203.0,87288.0,84222.0
AT226,36025.0,37656.0,34128.0
AT3,883369.0,838789.0,816614.0
AT31,513126.0,509552.0,501837.0
AT311,143150.0,140021.0,138695.0
AT312,125784.0,124033.0,126473.0
AT313,98820.0,104169.0,105700.0
AT314,57567.0,55497.0,54379.0
AT315,87805.0,85832.0,76590.0
AT32,127314.0,112325.0,105471.0
AT321,7849.0,6952.0,6461.0
AT322,42235.0,39500.0,40633.0
AT323,77230.0,65873.0,58377.0
AT33,185113.0,164606.0,157943.0
AT331,10002.0,9093.0,9166.0
AT332,53863.0,47848.0,40303.0
AT333,16417.0,16932.0,17048.0
AT334,39540.0,37378.0,39424.0
AT335,65291.0,53355.0,52002.0
AT34,57816.0,52306.0,51363.0
AT341,23100.0,21419.0,20912.0
AT342,34716.0,30887.0,30451.0
BE,2516296.0,1833795.0,1565369.0
BE1,114.0,72.0,72.0
BE10,114.0,72.0,72.0
BE100,114.0,72.0,72.0
BE2,886563.0,433616.0,314098.0
BE21,168859.0,64388.0,53608.0
BE211,37668.0,19888.0,13652.0
BE212,41137.0,7490.0,7418.0
BE213,90054.0,37010.0,32538.0
BE22,198476.0,100892.0,73044.0
BE223,52621.0,30486.0,23745.0
BE224,66918.0,27964.0,22833.0
BE225,78937.0,42442.0,26466.0
BE23,213230.0,98915.0,69254.0
BE231,44174.0,20021.0,12683.0
BE232,23490.0,8005.0,4667.0
BE233,18250.0,12843.0,10160.0
BE234,63437.0,26225.0,18332.0
BE235,32821.0,17400.0,12757.0
BE236,31058.0,14421.0,10655.0
BE24,171480.0,84414.0,58349.0
BE241,62225.0,30603.0,18268.0
BE242,109255.0,53811.0,40081.0
BE25,134518.0,85007.0,59843.0
BE251,26310.0,15900.0,11493.0
BE252,21605.0,13852.0,10074.0
BE253,26822.0,17783.0,13766.0
BE254,12005.0,6877.0,3548.0
BE255,10972.0,6556.0,4764.0
BE256,8293.0,4994.0,3519.0
BE257,21781.0,14118.0,8075.0
BE258,6730.0,4927.0,4604.0
BE3,1629619.0,1400107.0,1251199.0
BE31,156316.0,139664.0,117056.0
BE310,156316.0,139664.0,117056.0
BE32,619986.0,515343.0,451267.0
BE323,123836.0,102677.0,81676.0
BE328,83547.0,76554.0,70636.0
BE329,80946.0,61136.0,53319.0
BE32A,66316.0,63076.0,59372.0
BE32B,151520.0,115803.0,94726.0
BE32C,58242.0,47302.0,41847.0
BE32D,55579.0,48795.0,49691.0
BE33,442382.0,359191.0,314317.0
BE331,67746.0,57385.0,52073.0
BE332,198363.0,161544.0,131273.0
BE334,48356.0,41847.0,39978.0
BE335,86418.0,70251.0,64121.0
BE336,41499.0,28164.0,26872.0
BE34,151385.0,143972.0,138063.0
BE341,24815.0,25125.0,23500.0
BE342,24596.0,23944.0,23498.0
BE343,31953.0,28266.0,25497.0
BE344,35038.0,32093.0,31397.0
BE345,34983.0,34544.0,34171.0
BE35,259550.0,241937.0,230496.0
BE351,64193.0,60388.0,60266.0
BE352,155035.0,141989.0,130442.0
BE353,40322.0,39560.0,39788.0
BG,2395508.0,2095189.0,1958602.0
BG3,1293721.0,1146019.0,1079611.0
BG31,313715.0,277629.0,283693.0
BG311,26664.0,23262.0,30377.0
BG312,53866.0,51319.0,50450.0
BG313,70031.0,64933.0,62672.0
BG314,94645.0,87408.0,89660.0
BG315,68509.0,50707.0,50534.0
BG32,300510.0,257520.0,252605.0
BG321,87372.0,74894.0,74891.0
BG322,48215.0,47302.0,44313.0
BG323,61498.0,46197.0,45427.0
BG324,49134.0,46425.0,46425.0
BG325,54291.0,42702.0,41549.0
BG33,318249.0,277525.0,245235.0
BG331,112522.0,98497.0,82619.0
BG332,62613.0,60074.0,51508.0
BG333,82754.0,66396.0,62076.0
BG334,60360.0,52558.0,49032.0
BG34,361247.0,333345.0,298078.0
BG341,137523.0,130180.0,122636.0
BG342,66457.0,72504.0,57998.0
BG343,64174.0,37169.0,35991.0
BG344,93093.0,93492.0,81453.0
BG4,1101787.0,949170.0,878991.0
BG41,522027.0,450415.0,402739.0
BG411,124715.0,89509.0,85129.0
BG412,142820.0,142820.0,118849.0
BG413,131414.0,120059.0,111645.0
BG414,61672.0,51161.0,45009.0
BG415,61406.0,46866.0,42107.0
BG42,579760.0,498755.0,476252.0
BG421,237677.0,197485.0,184254.0
BG422,91059.0,69593.0,68397.0
BG423,112913.0,98586.0,98586.0
BG424,57387.0,52367.0,50121.0
BG425,80724.0,80724.0,74894.0
CH,2144436.0,1986809.0,1861241.0
CH0,2144436.0,1986809.0,1861241.0
CH01,350973.0,316183.0,292467.0
CH011,199852.0,188802.0,174540.0
CH012,114976.0,104879.0,98105.0
CH013,36145.0,22502.0,19822.0
CH02,587989.0,556096.0,531294.0
CH021,308531.0,286592.0,274825.0
CH022,129887.0,122940.0,121242.0
CH023,87373.0,82832.0,76755.0
CH024,30279.0,31338.0,28542.0
CH025,31919.0,32394.0,29930.0
CH03,235804.0,225134.0,213799.0
CH031,152.0,152.0,152.0
CH032,46267.0,41000.0,41783.0
CH033,189385.0,183982.0,171864.0
CH04,285759.0,255886.0,245537.0
CH040,285759.0,255886.0,245537.0
CH05,350687.0,335034.0,317919.0
CH051,12623.0,6935.0,6825.0
CH052,23699.0,22040.0,21112.0
CH053,25031.0,25031.0,27919.0
CH054,5574.0,5524.0,5441.0
CH055,115601.0,111196.0,102778.0
CH056,69289.0,68907.0,62158.0
CH057,98870.0,95401.0,91686.0
CH06,259797.0,233008.0,205299.0
CH061,134123.0,122247.0,110254.0
CH062,13800.0,12034.0,9556.0
CH063,60318.0,53433.0,44396.0
CH064,13248.0,14047.0,14047.0
CH065,13764.0,14073.0,11212.0
CH066,24544.0,17174.0,15834.0
CH07,73427.0,65468.0,54926.0
CH070,73427.0,65468.0,54926.0
CY,457330.0,391162.0,370625.0
CY0,457330.0,391162.0,370625.0
CY00,457330.0,391162.0,370625.0
