GEO,2023,2024,2025
AT,11.04,11.88,11.02
AT1,7.86,8.94,8.45
AT11,24.58,23.18,23.32
AT111,32.48,33.04,32.77
AT112,11.87,8.38,7.3
AT113,43.26,44.67,47.06
AT12,14.34,17.13,15.95
AT121,16.42,19.77,18.4
AT122,13.82,15.51,14.48
AT123,6.85,12.68,11.68
AT124,26.11,34.12,32.91
AT125,42.53,46.66,44.33
AT126,9.63,11.89,11.22
AT127,4.41,3.21,1.95
AT13,0.01,0.01,0.01
AT130,0.01,0.01,0.01
AT2,20.23,20.85,18.61
AT21,24.26,27.44,24.89
AT211,11.0,15.65,13.97
AT212,41.44,42.07,35.82
AT213,36.77,39.1,37.83
AT22,18.46,17.95,15.85
AT221,6.21,6.0,4.96
AT222,32.88,38.23,31.29
AT223,20.58,22.56,21.5
AT224,26.9,24.39,22.99
AT225,21.83,19.22,16.85
AT226,33.82,33.08,26.61
AT3,9.86,10.53,9.97
AT31,14.3,16.43,15.5
AT311,24.47,25.12,21.56
AT312,5.43,6.36,6.0
AT313,26.34,37.06,39.57
AT314,21.05,22.54,19.65
AT315,9.2,9.0,8.09
AT32,5.52,4.87,4.48
AT321,24.26,19.88,18.62
AT322,5.35,5.68,4.95
AT323,4.6,3.7,3.51
AT33,8.46,7.8,7.59
AT331,27.63,17.96,15.21
AT332,3.88,3.9,3.66
AT333,32.66,33.93,33.16
AT334,16.75,15.13,15.62
AT335,3.87,3.55,3.49
AT34,1.99,1.65,1.58
AT341,3.11,3.04,2.64
AT342,1.65,1.23,1.26
BE,5.96,4.2,3.18
BE1,0.0,0.0,0.0
BE10,0.0,0.0,0.0
BE100,0.0,0.0,0.0
BE2,0.16,0.03,0.01
BE21,0.06,0.02,0.0
BE211,0.01,0.01,0.01
BE212,0.0,0.0,0.0
BE213,0.24,0.08,0.0
BE22,0.26,0.01,0.0
BE223,0.01,0.01,0.0
BE224,0.12,0.0,0.0
BE225,0.69,0.03,0.01
BE23,0.13,0.02,0.02
BE231,0.36,0.0,0.0
BE232,0.0,0.0,0.0
BE233,0.91,0.07,0.14
BE234,0.0,0.0,0.0
BE235,0.0,0.0,0.0
BE236,0.09,0.08,0.08
BE24,0.11,0.0,0.0
BE241,0.19,0.0,0.0
BE242,0.0,0.0,0.0
BE25,0.33,0.08,0.02
BE251,0.2,0.15,0.04
BE252,2.71,0.61,0.17
BE253,0.0,0.0,0.0
BE254,0.0,0.0,0.0
BE255,0.36,0.02,0.0
BE256,0.0,0.0,0.0
BE257,0.0,0.0,0.0
BE258,2.77,0.28,0.0
BE3,18.43,13.14,9.97
BE31,7.34,3.97,1.1
BE310,7.34,3.97,1.1
BE32,13.56,9.05,6.96
BE323,11.86,5.82,4.62
BE328,16.88,12.05,11.68
BE329,3.77,4.64,1.39
BE32A,28.7,17.58,15.26
BE32B,2.34,1.79,1.37
BE32C,22.46,10.26,6.03
BE32D,42.91,36.24,24.56
BE33,12.44,7.86,5.25
BE331,42.0,20.54,13.7
BE332,5.28,3.47,2.2
BE334,23.79,11.31,8.42
BE335,11.22,9.43,6.01
BE336,17.39,16.32,11.7
BE34,50.57,43.79,34.05
BE341,13.51,15.13,14.74
BE342,50.55,44.09,41.01
BE343,44.83,31.52,22.63
BE344,55.32,46.17,41.99
BE345,95.97,88.52,53.69
BE35,34.7,25.07,21.45
BE351,61.1,49.57,41.69
BE352,19.57,11.02,8.22
BE353,63.6,51.94,51.42
BG,43.31,37.06,35.8
BG3,51.22,44.43,42.9
BG31,62.68,53.9,53.19
BG311,46.04,45.9,45.9
BG312,65.26,60.81,58.43
BG313,64.68,56.05,55.86
BG314,54.77,54.04,53.4
BG315,83.14,48.6,48.33
BG32,53.32,51.57,48.61
BG321,51.75,50.38,50.37
BG322,55.81,55.32,35.71
BG323,34.47,34.09,34.32
BG324,68.62,68.6,68.5
BG325,77.0,68.03,65.43
BG33,43.7,36.17,35.25
BG331,27.67,24.29,22.24
BG332,43.23,34.06,35.06
BG333,54.7,54.61,54.5
BG334,100.0,64.61,64.6
BG34,48.35,39.99,38.38
BG341,40.03,36.64,35.08
BG342,54.79,51.7,51.55
BG343,93.67,39.87,39.38
BG344,39.42,37.77,34.85
BG4,36.01,30.26,29.25
BG41,27.05,20.91,19.91
BG411,6.05,5.64,5.1
BG412,97.64,70.81,66.2
BG413,49.28,39.73,39.72
