GEO,2023,2024,2025
AT,46381.0,71657.0,69604.0
AT1,37533.0,64475.0,55783.0
AT12,1111.0,2903.0,5128.0
AT121,353.0,353.0,758.0
AT123,758.0,1261.0,1845.0
AT127,,1289.0,2525.0
AT13,36422.0,61572.0,50655.0
AT130,36422.0,61572.0,50655.0
AT2,2900.0,938.0,1929.0
AT21,2900.0,938.0,1588.0
AT211,2831.0,938.0,1588.0
AT212,69.0,,
AT22,,,341.0
AT222,,,341.0
AT3,5948.0,6244.0,11892.0
AT31,991.0,991.0,3348.0
AT311,,,298.0
AT312,991.0,991.0,2830.0
AT315,,,220.0
AT32,2037.0,2502.0,3919.0
AT322,601.0,99.0,99.0
AT323,1436.0,2403.0,3820.0
AT33,2206.0,2751.0,3282.0
AT332,1123.0,1213.0,1559.0
AT334,102.0,219.0,219.0
AT335,981.0,1319.0,1504.0
AT34,714.0,,1343.0
AT341,,,789.0
AT342,714.0,,554.0
BE,132167.0,262216.0,351092.0
BE1,72160.0,113011.0,126414.0
BE10,72160.0,113011.0,126414.0
BE100,72160.0,113011.0,126414.0
BE2,60007.0,149205.0,224670.0
BE21,27038.0,62654.0,86944.0
BE211,21284.0,49898.0,64006.0
BE212,4295.0,8102.0,15687.0
BE213,1459.0,4654.0,7251.0
BE22,1544.0,9152.0,13927.0
BE223,,1675.0,1675.0
BE224,1544.0,7477.0,12252.0
BE23,16618.0,33463.0,45509.0
BE231,,,1453.0
BE232,,942.0,743.0
BE234,15605.0,24270.0,30359.0
BE235,,1698.0,2498.0
BE236,1013.0,6553.0,10456.0
BE24,1094.0,11940.0,19869.0
BE241,1085.0,7579.0,13969.0
BE242,9.0,4361.0,5900.0
BE25,13713.0,31996.0,58421.0
BE251,8766.0,14743.0,21058.0
BE252,,628.0,1203.0
BE253,1046.0,2598.0,2598.0
BE254,1296.0,5502.0,12109.0
BE255,,,9333.0
BE256,1482.0,4881.0,5695.0
BE258,1123.0,3644.0,6425.0
BE3,,0.0,8.0
BE31,,0.0,
BE310,,0.0,
BE33,,,8.0
BE336,,,8.0
BG,2471.0,4181.0,4181.0
BG3,2471.0,4061.0,4061.0
BG32,,1590.0,1590.0
BG323,,1590.0,1590.0
BG33,2471.0,2471.0,2471.0
BG331,2471.0,2471.0,2471.0
BG4,,120.0,120.0
BG41,,120.0,120.0
BG413,,120.0,120.0
CH,10471.0,17378.0,24851.0
CH0,10471.0,17378.0,24851.0
CH01,2953.0,1405.0,2541.0
CH011,1405.0,1405.0,1405.0
CH012,,,1136.0
CH013,1548.0,,
CH02,919.0,,
CH021,919.0,,
CH03,4529.0,12686.0,15818.0
CH031,2078.0,11988.0,13367.0
CH032,1753.0,,1753.0
CH033,698.0,698.0,698.0
CH04,263.0,2192.0,1861.0
CH040,263.0,2192.0,1861.0
CH05,112.0,112.0,1284.0
CH056,112.0,112.0,1284.0
CH06,1695.0,983.0,2533.0
CH061,,,1550.0
CH066,1695.0,983.0,983.0
CH07,,,814.0
CH070,,,814.0
CZ,,6030.0,8069.0
CZ0,,6030.0,8069.0
CZ01,,6030.0,8069.0
CZ010,,6030.0,8069.0
DE,219051.0,380371.0,516316.0
DE1,24872.0,38192.0,45806.0
DE11,19953.0,25954.0,30526.0
DE111,16217.0,20092.0,22423.0
DE112,,241.0,241.0
DE113,1042.0,1042.0,1042.0
DE115,1995.0,4579.0,4579.0
DE117,,,929.0
DE118,,,613.0
DE11A,699.0,,699.0
DE12,,3086.0,5287.0
DE122,,978.0,978.0
DE125,,,561.0
DE126,,2108.0,3748.0
DE13,2571.0,5975.0,4751.0
DE131,2571.0,5150.0,2945.0
DE134,,825.0,1606.0
DE138,,,200.0
DE14,2348.0,3177.0,5242.0
DE141,,,773.0
DE142,938.0,938.0,1601.0
DE144,1410.0,1410.0,2039.0
DE148,,829.0,829.0
DE2,24958.0,24090.0,48034.0
DE21,18663.0,15354.0,29820.0
DE212,16089.0,13605.0,25314.0
DE217,,,994.0
DE219,,,36.0
DE21D,,,902.0
DE21H,408.0,408.0,408.0
DE21K,447.0,447.0,447.0
DE21L,825.0,,825.0
DE21N,894.0,894.0,894.0
DE22,,276.0,276.0
DE228,,276.0,276.0
DE23,1941.0,1550.0,4557.0
DE232,757.0,1550.0,2975.0
DE235,,,398.0
DE236,1184.0,,1184.0
DE25,,938.0,5259.0
DE253,,,3427.0
DE254,,938.0,938.0
DE256,,,894.0
DE26,1299.0,3322.0,3322.0
DE262,1299.0,1299.0,1299.0
DE263,,2023.0,2023.0
DE27,3055.0,2650.0,4800.0
DE271,1045.0,,1045.0
DE273,1426.0,1426.0,1426.0
DE278,,640.0,640.0
DE27D,,,70.0
DE27E,584.0,584.0,1619.0
DE3,64142.0,147730.0,201962.0
DE30,64142.0,147730.0,201962.0
DE300,64142.0,147730.0,201962.0
DE4,,1253.0,1253.0
DE40,,1253.0,1253.0
DE40D,,1253.0,1253.0
DE5,,1947.0,1447.0
DE50,,1947.0,1447.0
DE501,,1947.0,1447.0
DE6,37021.0,48296.0,64035.0
DE60,37021.0,48296.0,64035.0
DE600,37021.0,48296.0,64035.0
DE7,5024.0,7410.0,9463.0
DE71,5024.0,7410.0,9463.0
DE712,,781.0,781.0
DE714,,,2423.0
DE715,,1071.0,11.0
DE717,5024.0,5558.0,5024.0
DE718,,,1224.0
DE9,5750.0,23520.0,29506.0
DE91,1990.0,2730.0,8133.0
DE911,,1519.0,6922.0
DE912,0.0,0.0,0.0
