GEO,2023,2024,2025
AT,2.66,4.11,4.0
AT1,5.08,8.72,7.54
AT12,0.31,0.82,1.45
AT121,0.73,0.73,1.58
AT123,2.39,3.98,5.82
AT127,,1.79,3.51
AT13,11.44,19.33,15.91
AT130,11.44,19.33,15.91
AT2,0.74,0.24,0.49
AT21,2.26,0.73,1.24
AT211,4.37,1.45,2.45
AT212,0.23,,
AT22,,,0.13
AT222,,,1.82
AT3,0.97,1.02,1.94
AT31,0.34,0.34,1.17
AT311,,,0.54
AT312,0.88,0.88,2.52
AT315,,,0.45
AT32,1.86,2.28,3.58
AT322,1.83,0.3,0.3
AT323,1.98,3.32,5.28
AT33,1.54,1.92,2.3
AT332,1.92,2.08,2.67
AT334,0.56,1.21,1.21
AT335,1.99,2.67,3.05
AT34,0.99,,1.87
AT341,,,4.62
AT342,1.3,,1.01
BE,5.96,11.82,15.82
BE1,46.32,72.54,81.14
BE10,46.32,72.54,81.14
BE100,46.32,72.54,81.14
BE2,4.38,10.88,16.39
BE21,7.31,16.95,23.52
BE211,10.53,24.69,31.67
BE212,6.08,11.47,22.2
BE213,1.5,4.8,7.48
BE22,0.83,4.92,7.48
BE223,,3.73,3.73
BE224,1.75,8.45,13.85
BE23,5.4,10.87,14.78
BE231,,,2.39
BE232,,2.25,1.77
BE234,14.38,22.36,27.97
BE235,,6.63,9.75
BE236,1.96,12.66,20.21
BE24,0.47,5.15,8.57
BE241,0.86,5.99,11.04
BE242,0.01,4.14,5.6
BE25,4.98,11.62,21.22
BE251,12.51,21.04,30.05
BE252,,5.71,10.95
BE253,4.43,11.01,11.01
BE254,2.1,8.93,19.65
BE255,,,24.01
BE256,4.56,15.03,17.54
BE258,6.15,19.96,35.19
BE3,,0.0,0.0
BE31,,0.0,
BE310,,0.0,
BE33,,,0.0
BE336,,,0.05
BG,0.16,0.28,0.28
BG3,0.31,0.51,0.51
BG32,,0.85,0.85
BG323,,3.08,3.08
BG33,1.28,1.28,1.28
BG331,2.7,2.7,2.7
BG4,,0.02,0.02
BG41,,0.03,0.03
BG413,,0.19,0.19
CH,0.63,1.05,1.5
CH0,0.63,1.05,1.5
CH01,1.01,0.48,0.87
CH011,1.03,1.03,1.03
CH012,,,1.59
CH013,1.85,,
CH02,0.24,,
CH021,0.41,,
CH03,1.93,5.4,6.73
CH031,5.13,29.59,32.99
CH032,2.7,,2.7
CH033,0.54,0.54,0.54
CH04,0.1,0.81,0.69
CH040,0.1,0.81,0.69
CH05,0.05,0.05,0.54
CH056,0.25,0.25,2.84
CH06,1.09,0.63,1.63
CH061,,,2.01
CH066,7.33,4.25,4.25
CH07,,,0.98
CH070,,,0.98
CZ,,0.28,0.38
CZ0,,0.28,0.38
CZ01,,2.53,3.38
CZ010,,2.53,3.38
DE,1.2,2.08,2.83
DE1,1.08,1.66,1.99
DE11,2.37,3.08,3.63
DE111,14.62,18.11,20.21
DE112,,0.3,0.3
DE113,0.95,0.95,0.95
DE115,1.86,4.26,4.26
DE117,,,3.8
DE118,,,0.88
DE11A,1.78,,1.78
DE12,,0.52,0.9
DE122,,1.67,1.67
DE125,,,2.25
DE126,,3.59,6.38
DE13,0.53,1.23,0.98
DE131,6.47,12.96,7.41
DE134,,0.88,1.7
DE138,,,0.32
DE14,0.61,0.82,1.36
DE141,,,1.26
DE142,2.24,2.24,3.82
DE144,6.13,6.13,8.86
DE148,,1.42,1.42
DE2,0.92,0.89,1.77
DE21,2.04,1.68,3.26
DE212,6.32,5.35,9.95
DE217,,,3.46
DE219,,,0.15
DE21D,,,4.04
DE21H,0.57,0.57,0.57
DE21K,0.8,0.8,0.8
DE21L,2.56,,2.56
DE21N,2.95,2.95,2.95
DE22,,0.11,0.11
DE228,,0.62,0.62
DE23,0.84,0.67,1.97
DE232,2.97,6.08,11.67
DE235,,,1.4
DE236,4.4,,4.4
DE25,,0.25,1.41
DE253,,,13.93
DE254,,0.9,0.9
DE256,,,2.34
DE26,0.44,1.12,1.12
DE262,10.01,10.01,10.01
DE263,,7.52,7.52
DE27,0.77,0.66,1.2
DE271,1.87,,1.87
DE273,9.87,9.87,9.87
DE278,,2.52,2.52
DE27D,,,0.25
DE27E,1.64,1.64,4.55
DE3,9.24,21.29,29.1
DE30,9.24,21.29,29.1
DE300,9.24,21.29,29.1
DE4,,0.19,0.19
DE40,,0.19,0.19
DE40D,,4.67,4.67
DE5,,1.36,1.01
DE50,,1.36,1.01
DE501,,1.65,1.23
DE6,11.3,14.74,19.55
DE60,11.3,14.74,19.55
DE600,11.3,14.74,19.55
DE7,0.38,0.57,0.72
DE71,0.63,0.92,1.18
DE712,,0.66,0.66
DE714,,,4.35
DE715,,1.73,0.02
DE717,9.69,10.72,9.69
DE718,,,2.26
DE9,0.32,1.31,1.65
DE91,0.54,0.74,2.2
DE911,,2.84,12.96
DE912,0.0,0.0,0.0
DE913,3.01,0.25,0.25
DE91C,1.48,1.48,1.48
DE92,0.36,3.53,3.31
DE925,1.11,1.11,1.11
DE927,3.73,3.73,
DE929,,6.26,6.26
DE93,0.21,0.21,0.35
DE931,,,1.37
DE935,2.26,2.26,2.26
DE94,0.22,0.55,0.74
DE943,,,1.49
DE944,2.15,2.15,2.15
DE94B,,3.41,3.41
DE94E,,1.0,1.0
DE94F,2.15,2.15,4.32
DEA,1.39,2.1,2.59
DEA1,2.83,3.88,5.03
DEA11,16.21,20.44,23.75
DEA12,,,2.91
DEA13,9.15,9.15,10.27
DEA15,1.85,1.85,6.13
DEA17,,3.57,6.92
DEA1B,1.27,1.27,1.27
DEA1C,,2.63,
DEA1D,,2.2,3.68
DEA1E,,,1.99
DEA1F,,,1.03
DEA2,0.42,0.99,1.52
DEA22,3.15,3.15,6.48
DEA23,,1.02,0.82
DEA24,,,3.11
DEA26,3.19,3.19,4.79
DEA2D,0.06,2.91,3.91
DEA3,0.3,1.32,1.62
DEA31,,,5.89
DEA32,,6.86,6.86
DEA33,,3.55,3.55
DEA34,2.24,2.24,2.24
DEA4,,,0.5
DEA45,,,1.15
DEA47,,,2.11
DEA5,2.0,2.53,2.2
DEA51,,2.96,2.96
DEA52,11.26,11.26,10.38
DEA54,3.13,3.13,4.33
DEA56,,1.07,1.07
DEA58,,1.09,
DEA5B,1.5,1.5,
DEB,0.21,0.47,0.37
DEB3,0.42,0.96,0.76
DEB32,,7.18,7.18
DEB33,,9.52,
DEB35,4.87,4.87,4.87
DED,0.19,0.18,1.05
DED4,,0.31,0.0
DED45,,1.39,0.0
DED5,0.85,0.29,4.65
DED51,1.72,0.58,9.43
DEF,,0.2,0.11
DEF0,,0.2,0.11
DEF05,,0.97,
DEF0C,,2.11,
DEF0D,,,1.16
DK,4.51,6.44,8.91
DK0,4.51,6.44,8.91
DK01,14.07,17.17,21.39
DK011,41.74,54.45,62.16
DK012,4.09,1.65,6.41
DK013,,,0.97
DK02,0.67,1.03,2.25
DK021,,,1.8
DK022,0.91,1.41,2.41
DK03,0.65,3.46,5.41
DK031,,3.63,4.29
DK032,1.09,3.35,6.17
DK04,1.82,3.09,4.63
DK041,0.68,1.15,1.79
DK042,2.46,4.19,6.23
DK05,,0.92,3.94
DK050,,0.92,3.94
EL,,0.08,0.06
EL3,,,0.16
EL30,,,0.16
EL303,,,0.59
EL4,,,0.0
EL42,,,0.0
EL421,,,0.0
EL5,,0.27,
EL51,,1.39,
EL512,,9.11,
ES,0.56,0.89,0.83
ES1,,0.73,0.73
ES12,,2.89,2.89
ES120,,2.89,2.89
ES2,,1.01,
ES21,,1.09,
ES213,,2.06,
ES22,,3.44,
ES220,,3.44,
ES3,0.62,2.16,2.08
ES30,0.62,2.16,2.08
ES300,0.62,2.16,2.08
ES5,1.68,1.23,1.14
ES51,3.03,2.21,2.05
ES511,4.1,3.0,2.78
ES52,,0.0,0.0
ES523,,0.0,0.0
ES6,,0.33,0.8
ES61,,0.39,0.94
ES614,,,4.13
ES617,,1.25,
ES618,,0.63,2.07
FI,0.93,1.5,1.94
