GEO,2023,2024,2025
AT,8.65,13.89,12.72
AT1,11.44,19.75,16.71
AT12,,8.95,17.54
AT127,,9.45,18.52
AT13,11.99,20.26,16.67
AT130,11.99,20.26,16.67
AT2,4.32,1.58,2.68
AT21,16.38,6.01,10.17
AT211,16.38,6.01,10.17
AT3,3.1,3.95,6.8
AT31,1.95,1.95,5.58
AT312,1.95,1.95,5.58
AT32,4.87,8.15,12.95
AT323,4.87,8.15,12.95
AT33,4.68,4.68,4.68
AT332,4.68,4.68,4.68
BE,21.2,35.99,44.41
BE1,46.86,73.39,82.1
BE10,46.86,73.39,82.1
BE100,46.86,73.39,82.1
BE2,18.82,35.75,49.3
BE21,20.04,40.54,50.9
BE211,18.24,39.62,48.68
BE212,37.42,49.38,72.32
BE23,41.12,61.8,75.27
BE234,41.12,61.8,75.27
BE24,0.05,16.05,27.08
BE241,0.06,8.9,23.54
BE242,,37.86,37.86
BE25,16.07,21.16,46.65
BE251,30.33,39.92,54.56
BE255,,,37.74
BG,0.49,0.8,0.8
BG3,1.18,1.93,1.93
BG32,,4.03,4.03
BG323,,5.66,5.66
BG33,2.96,2.96,2.96
BG331,4.63,4.63,4.63
CH,1.87,3.42,4.14
CH0,1.87,3.42,4.14
CH01,2.42,1.15,1.15
CH011,2.46,2.46,2.46
CH013,2.38,,
CH03,4.99,13.97,17.42
CH031,5.27,30.4,33.9
CH032,5.85,,5.85
CH033,3.26,3.26,3.26
CH04,0.2,1.69,0.9
CH040,0.2,1.69,0.9
CH06,3.6,2.09,5.37
CH061,,,4.58
CH066,12.76,7.4,7.4
CZ,,1.25,1.67
CZ0,,1.25,1.67
CZ01,,2.81,3.76
CZ010,,2.81,3.76
DE,3.94,6.81,9.25
DE1,5.01,7.68,8.88
DE11,8.02,10.97,12.41
DE111,17.34,21.48,23.97
DE112,,1.2,1.2
DE115,6.58,15.09,15.09
DE117,,,5.39
DE12,,2.47,4.22
DE122,,2.2,2.2
DE125,,,2.92
DE126,,5.02,8.93
DE13,4.21,8.43,5.15
DE131,8.19,16.41,9.38
DE138,,,1.48
DE14,4.82,4.82,9.06
DE141,,,3.47
DE142,9.07,9.07,15.48
DE144,9.67,9.67,13.99
DE2,3.24,3.27,5.98
DE21,5.14,4.36,8.01
DE212,6.42,5.43,10.1
DE21H,1.22,1.22,1.22
DE23,3.1,6.35,12.18
DE232,3.37,6.89,13.23
DE25,,0.73,3.42
DE253,,,17.09
DE254,,1.17,1.17
DE26,2.81,7.18,7.18
