GEO,2023,2024,2025
AT,60.62,61.86,66.38
AT1,69.95,70.29,76.02
AT12,42.47,61.83,74.98
AT127,44.85,65.28,79.18
AT13,71.26,70.69,76.07
AT130,71.26,70.69,76.07
AT2,50.28,47.08,45.35
AT21,72.52,69.77,68.38
AT211,72.52,69.77,68.38
AT22,42.32,38.96,37.09
AT221,42.32,38.96,37.09
AT3,39.98,46.05,50.45
AT31,35.71,41.08,44.94
AT312,35.71,41.08,44.94
AT32,44.53,55.54,63.52
AT323,44.53,55.54,63.52
AT33,42.98,46.57,51.59
AT332,42.98,46.57,51.59
AT34,41.06,42.05,37.29
AT342,41.06,42.05,37.29
BE,58.83,68.22,70.1
BE1,92.74,97.73,98.87
BE10,92.74,97.73,98.87
BE100,92.74,97.73,98.87
BE2,72.34,89.42,91.64
BE21,72.06,91.48,92.1
BE211,71.18,91.5,92.18
BE212,80.59,91.29,91.29
BE22,69.0,69.0,69.0
BE223,69.0,69.0,69.0
BE23,84.37,97.99,98.41
BE234,84.37,97.99,98.41
BE24,58.33,75.62,84.77
BE241,48.28,67.63,79.78
BE242,89.0,100.0,100.0
BE25,77.35,91.12,92.19
BE251,82.75,93.44,90.56
BE255,71.27,88.5,94.03
BE3,4.44,5.9,7.98
BE32,1.1,1.98,3.73
BE328,9.63,9.63,18.54
BE32B,,1.74,3.18
BE33,7.36,9.59,12.37
BE332,8.34,10.87,13.1
BE335,,,6.92
BE35,5.65,5.65,5.43
BE352,5.65,5.65,5.43
BG,10.98,21.33,25.82
BG3,12.21,23.97,27.62
BG32,15.67,32.02,37.73
BG321,13.51,,6.64
BG323,16.55,44.9,50.24
BG33,16.59,32.93,34.08
BG331,25.96,51.53,53.33
BG34,8.48,15.47,22.17
BG341,20.57,37.5,50.87
BG344,,,3.36
BG4,10.11,19.47,24.56
BG41,11.59,23.42,30.14
BG411,11.59,23.42,30.14
BG42,6.53,9.9,11.04
BG421,9.29,12.25,13.87
BG423,,8.92,8.92
CH,27.18,29.7,33.85
CH0,27.18,29.7,33.85
CH01,29.81,33.09,43.22
CH011,27.87,37.9,45.52
CH013,31.51,28.87,41.2
CH02,17.9,22.6,26.65
CH021,16.65,22.16,25.94
CH022,27.78,27.78,33.93
CH03,44.18,51.95,57.83
CH031,74.85,89.26,92.3
CH032,24.95,28.03,35.98
CH033,14.63,16.72,24.94
CH04,17.27,16.48,15.79
CH040,17.27,16.48,15.79
CH05,35.13,35.13,37.92
CH055,33.92,33.92,33.92
CH057,38.8,38.8,50.08
CH06,23.03,19.9,19.9
CH061,18.32,16.06,16.06
CH066,35.04,29.69,29.69
CH07,36.31,38.97,41.53
CH070,36.31,38.97,41.53
CY,1.01,1.01,4.29
CY0,1.01,1.01,4.29
CY00,1.01,1.01,4.29
CY000,1.01,1.01,4.29
CZ,13.1,19.62,22.78
CZ0,13.1,19.62,22.78
CZ01,24.1,36.89,41.09
CZ010,24.1,36.89,41.09
CZ03,,1.64,
CZ031,,3.57,
CZ04,6.87,3.58,6.87
CZ042,6.87,3.58,6.87
CZ05,4.52,5.72,8.44
CZ051,8.13,8.13,9.23
CZ052,,3.54,3.54
CZ053,5.3,5.3,13.0
CZ06,12.36,18.56,26.39
CZ064,12.36,18.56,26.39
CZ07,,0.94,0.94
CZ071,,0.94,0.94
CZ08,,0.63,0.63
CZ080,,0.63,0.63
DE,28.97,38.17,46.27
DE1,38.66,45.41,53.89
DE11,46.12,52.84,59.95
DE111,73.21,79.22,79.8
DE112,44.73,53.35,55.71
DE113,20.61,20.61,20.61
DE114,30.4,35.9,52.07
DE115,33.36,43.8,57.55
DE116,13.74,26.02,43.22
DE117,21.57,27.98,53.58
DE12,23.74,29.79,45.7
DE122,13.89,23.71,20.76
DE125,4.7,5.34,65.57
DE126,28.12,32.01,56.3
DE129,56.8,64.44,61.54
DE13,44.49,55.15,58.28
DE131,58.24,70.35,76.71
DE138,49.34,49.34,49.34
DE139,18.52,40.97,40.26
DE14,34.91,38.71,41.17
DE141,14.88,23.19,23.19
DE142,65.25,65.25,65.25
DE144,47.66,47.66,55.86
DE2,37.91,40.62,47.78
DE21,46.88,48.98,48.94
DE211,35.74,36.96,29.54
DE212,52.47,53.14,52.59
DE213,12.88,23.78,30.36
DE21H,27.51,40.31,42.79
DE21K,,,52.39
DE21L,62.26,32.26,62.26
DE22,24.84,20.38,22.7
DE221,29.21,23.35,23.35
DE227,10.93,10.93,20.62
DE23,45.11,63.74,75.81
DE232,46.75,67.0,80.11
DE238,26.07,26.07,26.07
DE24,28.06,23.94,29.58
DE241,31.13,22.6,31.69
DE242,26.48,26.48,29.02
DE25,31.94,33.48,57.17
DE252,17.34,2.98,45.6
DE253,33.08,,59.14
DE254,36.55,51.49,61.9
DE258,18.58,7.58,38.38
DE26,30.86,38.04,43.95
DE261,27.5,27.5,50.05
DE262,29.78,35.63,25.83
DE263,37.52,50.05,57.3
DE27,20.89,24.08,34.15
DE271,16.12,15.51,27.69
DE273,30.09,43.39,57.84
DE276,20.59,28.34,28.34
DE279,39.82,39.82,47.48
DE27E,,25.4,25.4
DE3,46.45,63.53,69.84
DE30,46.45,63.53,69.84
DE300,46.45,63.53,69.84
DE4,15.29,17.14,22.51
DE40,15.29,17.14,22.51
DE402,19.58,16.8,19.58
DE403,10.3,30.07,47.04
DE404,19.15,19.15,18.15
DE409,,,34.87
DE40A,43.64,43.64,43.64
DE40E,9.34,3.42,7.55
DE40H,,10.32,32.64
DE5,10.69,20.45,13.86
DE50,10.69,20.45,13.86
DE501,8.28,19.47,10.93
DE502,21.06,24.67,26.46
DE6,41.45,49.02,61.41
DE60,41.45,49.02,61.41
DE600,41.45,49.02,61.41
DE7,22.75,29.1,36.46
DE71,25.81,31.63,38.88
DE711,41.0,41.0,41.0
DE712,25.28,27.89,28.33
DE713,,9.44,42.33
DE714,27.95,39.42,62.6
DE717,67.41,67.41,67.41
DE718,,5.57,25.19
DE719,11.97,28.7,28.7
DE71A,29.15,53.56,29.15
DE72,14.47,23.02,28.99
DE721,14.47,23.02,28.99
DE73,5.41,14.58,22.95
DE731,6.13,16.52,26.0
DE8,6.47,11.01,14.52
DE80,6.47,11.01,14.52
DE803,6.53,11.11,14.65
DE9,19.17,49.25,50.02
DE91,44.53,65.68,62.22
DE911,42.04,70.65,72.54
DE913,18.57,27.39,15.45
DE91C,70.47,86.64,79.3
DE92,5.0,60.06,62.66
DE925,37.36,50.94,50.94
DE929,1.33,61.09,63.98
DE93,28.86,31.37,26.74
DE935,49.07,53.34,45.47
DE94,14.15,19.42,22.85
DE941,6.57,10.53,16.57
DE943,9.47,12.93,16.32
DE944,28.61,38.29,40.4
DEA,22.85,33.77,44.78
DEA1,20.35,30.18,45.52
DEA11,45.0,53.1,60.86
DEA12,3.02,18.59,53.73
DEA13,32.57,36.62,49.21
DEA14,,2.62,20.24
DEA15,26.87,45.31,56.19
DEA16,12.1,19.29,29.63
DEA17,14.47,43.46,72.04
DEA18,,12.87,12.87
DEA19,,2.68,35.73
DEA1A,6.38,14.54,13.93
DEA1C,21.16,32.31,52.13
DEA1D,33.46,36.58,38.14
DEA1E,61.38,61.38,61.38
DEA1F,16.99,20.1,28.14
DEA2,30.87,45.82,57.06
DEA22,38.28,59.69,74.73
DEA23,32.45,53.83,66.73
DEA24,21.73,27.69,41.22
DEA26,62.71,76.24,84.68
DEA2B,5.86,11.98,31.29
DEA2C,24.48,25.88,23.68
DEA2D,35.16,44.49,53.19
DEA3,20.37,33.89,39.8
DEA31,17.92,26.96,50.41
DEA32,23.75,42.38,50.23
DEA33,6.87,32.01,42.2
DEA34,74.29,84.59,80.01
DEA36,15.5,22.47,21.69
DEA4,17.43,30.63,37.02
DEA41,13.86,16.84,20.28
DEA42,10.48,24.17,38.93
DEA47,31.6,67.28,72.83
DEA5,21.23,27.95,33.82
DEA51,6.82,26.19,33.13
DEA52,32.55,33.83,36.44
DEA53,7.73,15.26,19.81
DEA54,25.45,29.0,41.97
DEA55,13.98,13.98,21.7
DEA56,17.36,26.61,36.82
DEA58,48.03,51.82,55.95
DEA5C,16.13,19.05,24.35
DEB,16.35,21.89,26.56
DEB1,4.19,17.41,12.44
DEB11,5.05,20.95,14.97
DEB2,26.65,26.65,32.52
DEB21,26.65,26.65,32.52
DEB3,18.55,22.58,29.85
DEB32,36.48,36.48,56.57
DEB34,14.53,9.76,16.76
DEB35,20.17,36.5,40.37
DEC,15.65,15.65,15.65
DEC0,15.65,15.65,15.65
DEC01,15.65,15.65,15.65
DED,28.92,20.28,38.68
DED2,27.86,30.74,34.65
DED21,31.68,33.97,39.71
DED2D,9.89,18.85,9.89
DED4,19.52,20.21,22.67
DED41,24.21,25.13,28.4
DED44,5.42,5.42,5.42
DED5,35.32,8.68,52.04
DED51,36.03,7.94,53.66
DED52,22.23,22.23,22.23
DEE,2.02,9.11,10.47
DEE0,2.02,9.11,10.47
DEE02,4.3,13.6,12.65
DEE03,,5.13,8.54
DEF,20.38,25.92,26.17
DEF0,20.38,25.92,26.17
DEF01,11.74,17.91,3.91
DEF02,25.88,20.37,26.59
DEF03,19.52,33.71,50.58
DEF04,34.37,45.06,45.06
DEF06,12.08,30.09,12.08
DEF08,13.41,13.41,13.41
DEF09,,,4.87
DEF0A,,26.82,
DEF0B,34.26,34.26,34.26
DEF0D,21.88,26.82,26.82
DEF0F,55.35,74.41,22.32
DEG,16.47,27.34,30.01
DEG0,16.47,27.34,30.01
DEG01,15.0,27.39,28.36
DEG02,26.58,29.4,33.85
DEG03,4.89,24.04,28.57
DK,48.99,55.72,69.03
DK0,48.99,55.72,69.03
DK01,58.42,63.87,76.34
DK011,76.71,81.42,88.83
DK012,38.16,44.5,62.85
DK02,,24.54,35.46
DK021,,24.54,35.46
DK03,19.01,21.2,43.05
