GEO,2023,2024,2025
AT,192742.0,189090.0,167435.0
AT1,95620.0,95578.0,78414.0
AT11,0.0,0.0,0.0
AT111,0.0,0.0,0.0
AT112,0.0,0.0,0.0
AT113,0.0,0.0,0.0
AT12,8281.0,5495.0,4230.0
AT121,0.0,0.0,0.0
AT122,0.0,0.0,0.0
AT123,0.0,0.0,0.0
AT124,0.0,0.0,0.0
AT125,0.0,0.0,0.0
AT126,762.0,762.0,762.0
AT127,7519.0,4733.0,3468.0
AT13,87339.0,90083.0,74184.0
AT130,87339.0,90083.0,74184.0
AT2,30203.0,31806.0,32348.0
AT21,4290.0,4718.0,4935.0
AT211,4290.0,4718.0,4935.0
AT212,0.0,0.0,0.0
AT213,0.0,0.0,0.0
AT22,25913.0,27088.0,27413.0
AT221,25913.0,27088.0,27413.0
AT222,0.0,0.0,0.0
AT223,0.0,0.0,0.0
AT224,0.0,0.0,0.0
AT225,0.0,0.0,0.0
AT226,0.0,0.0,0.0
AT3,66919.0,61706.0,56673.0
AT31,30886.0,29882.0,27922.0
AT311,0.0,0.0,0.0
AT312,30886.0,29882.0,27922.0
AT313,0.0,0.0,0.0
AT314,0.0,0.0,0.0
AT315,0.0,0.0,0.0
AT32,16359.0,13111.0,10758.0
AT321,0.0,0.0,0.0
AT322,0.0,0.0,0.0
AT323,16359.0,13111.0,10758.0
AT33,13676.0,12815.0,11611.0
AT331,0.0,0.0,0.0
AT332,13676.0,12815.0,11611.0
AT333,0.0,0.0,0.0
AT334,0.0,0.0,0.0
AT335,0.0,0.0,0.0
AT34,5998.0,5898.0,6382.0
AT341,0.0,0.0,0.0
AT342,5998.0,5898.0,6382.0
BE,232799.0,179367.0,169204.0
BE1,11723.0,3500.0,1747.0
BE10,11723.0,3500.0,1747.0
BE100,11723.0,3500.0,1747.0
BE2,69834.0,26930.0,21809.0
BE21,34527.0,10432.0,9675.0
BE211,32299.0,9432.0,8675.0
BE212,2228.0,1000.0,1000.0
BE213,0.0,0.0,0.0
BE22,319.0,319.0,319.0
BE223,319.0,319.0,319.0
BE224,0.0,0.0,0.0
BE225,0.0,0.0,0.0
BE23,6053.0,763.0,604.0
BE231,0.0,0.0,0.0
BE232,0.0,0.0,0.0
BE233,0.0,0.0,0.0
BE234,6053.0,763.0,604.0
BE235,0.0,0.0,0.0
BE236,0.0,0.0,0.0
BE24,19023.0,11130.0,6954.0
BE241,17783.0,11130.0,6954.0
BE242,1240.0,0.0,0.0
BE25,9912.0,4286.0,4257.0
BE251,4001.0,1522.0,2630.0
BE252,0.0,0.0,0.0
BE253,0.0,0.0,0.0
BE254,0.0,0.0,0.0
BE255,5911.0,2764.0,1627.0
BE256,0.0,0.0,0.0
BE257,0.0,0.0,0.0
BE258,0.0,0.0,0.0
BE3,151242.0,148937.0,145648.0
BE31,0.0,0.0,0.0
BE310,0.0,0.0,0.0
BE32,69343.0,68720.0,67497.0
BE323,13625.0,13625.0,13625.0
BE328,7204.0,7204.0,6494.0
BE329,9549.0,9549.0,9549.0
BE32A,0.0,0.0,0.0
BE32B,35744.0,35121.0,34608.0
BE32C,3221.0,3221.0,3221.0
BE32D,0.0,0.0,0.0
BE33,69772.0,68090.0,65996.0
BE331,0.0,0.0,0.0
BE332,60897.0,59215.0,57735.0
BE334,0.0,0.0,0.0
BE335,8875.0,8875.0,8261.0
BE336,0.0,0.0,0.0
BE34,0.0,0.0,0.0
BE341,0.0,0.0,0.0
BE342,0.0,0.0,0.0
BE343,0.0,0.0,0.0
BE344,0.0,0.0,0.0
BE345,0.0,0.0,0.0
BE35,12127.0,12127.0,12155.0
BE351,0.0,0.0,0.0
BE352,12127.0,12127.0,12155.0
BE353,0.0,0.0,0.0
BG,453034.0,401816.0,379077.0
BG3,184496.0,159779.0,152116.0
BG31,20876.0,20876.0,20876.0
BG311,0.0,0.0,0.0
BG312,0.0,0.0,0.0
BG313,0.0,0.0,0.0
BG314,20876.0,20876.0,20876.0
BG315,0.0,0.0,0.0
BG32,33241.0,26798.0,24548.0
BG321,9783.0,11311.0,10560.0
BG322,0.0,0.0,0.0
BG323,23458.0,15487.0,13988.0
BG324,0.0,0.0,0.0
BG325,0.0,0.0,0.0
BG33,69613.0,55976.0,55014.0
BG331,39492.0,25855.0,24893.0
BG332,16796.0,16796.0,16796.0
BG333,13325.0,13325.0,13325.0
BG334,0.0,0.0,0.0
BG34,60766.0,56129.0,51678.0
BG341,21749.0,17112.0,13453.0
BG342,15425.0,15425.0,15425.0
BG343,0.0,0.0,0.0
BG344,23592.0,23592.0,22800.0
BG4,268538.0,242037.0,226961.0
BG41,186974.0,163411.0,149330.0
BG411,186974.0,163411.0,149330.0
BG412,0.0,0.0,0.0
BG413,0.0,0.0,0.0
BG414,0.0,0.0,0.0
BG415,0.0,0.0,0.0
BG42,81564.0,78626.0,77631.0
BG421,55650.0,53837.0,52842.0
BG422,13308.0,13308.0,13308.0
BG423,12606.0,11481.0,11481.0
BG424,0.0,0.0,0.0
BG425,0.0,0.0,0.0
CH,368026.0,355276.0,334307.0
CH0,368026.0,355276.0,334307.0
CH01,85782.0,81767.0,69392.0
CH011,41236.0,35504.0,31145.0
CH012,0.0,0.0,0.0
CH013,44546.0,46263.0,38247.0
CH02,63360.0,59727.0,56606.0
CH021,54984.0,51351.0,48855.0
CH022,7342.0,7342.0,6717.0
CH023,1034.0,1034.0,1034.0
CH024,0.0,0.0,0.0
CH025,0.0,0.0,0.0
CH03,50697.0,43644.0,38301.0
CH031,9916.0,4235.0,3035.0
CH032,22487.0,21564.0,19182.0
CH033,18294.0,17845.0,16084.0
CH04,107160.0,108185.0,109084.0
CH040,107160.0,108185.0,109084.0
CH05,11543.0,11543.0,11046.0
CH051,0.0,0.0,0.0
CH052,0.0,0.0,0.0
CH053,0.0,0.0,0.0
CH054,0.0,0.0,0.0
CH055,8846.0,8846.0,8846.0
CH056,0.0,0.0,0.0
CH057,2697.0,2697.0,2200.0
CH06,36285.0,37762.0,37762.0
CH061,27655.0,28420.0,28420.0
CH062,0.0,0.0,0.0
CH063,0.0,0.0,0.0
CH064,0.0,0.0,0.0
CH065,0.0,0.0,0.0
CH066,8630.0,9342.0,9342.0
CH07,13199.0,12648.0,12116.0
CH070,13199.0,12648.0,12116.0
CY,79889.0,79889.0,77244.0
CY0,79889.0,79889.0,77244.0
CY00,79889.0,79889.0,77244.0
CY000,79889.0,79889.0,77244.0
CZ,420373.0,388826.0,373515.0
CZ0,420373.0,388826.0,373515.0
CZ01,162857.0,135409.0,126408.0
CZ010,162857.0,135409.0,126408.0
CZ02,11221.0,11221.0,11221.0
CZ020,11221.0,11221.0,11221.0
CZ03,37722.0,37103.0,37722.0
CZ031,17318.0,16699.0,17318.0
CZ032,20404.0,20404.0,20404.0
CZ04,32272.0,33412.0,32272.0
CZ041,0.0,0.0,0.0
CZ042,32272.0,33412.0,32272.0
CZ05,50037.0,49408.0,47987.0
CZ051,17352.0,17352.0,17145.0
CZ052,17756.0,17127.0,17127.0
CZ053,14929.0,14929.0,13715.0
CZ06,48888.0,45432.0,41064.0
CZ063,0.0,0.0,0.0
CZ064,48888.0,45432.0,41064.0
CZ07,15994.0,15843.0,15843.0
CZ071,15994.0,15843.0,15843.0
CZ072,0.0,0.0,0.0
CZ08,61382.0,60998.0,60998.0
CZ080,61382.0,60998.0,60998.0
DE,3754194.0,3264226.0,2834560.0
DE1,283421.0,252214.0,213044.0
DE11,122334.0,107066.0,90919.0
DE111,25057.0,19433.0,18890.0
DE112,11092.0,9362.0,8890.0
DE113,20011.0,20011.0,20011.0
DE114,11885.0,10946.0,8185.0
DE115,20218.0,17052.0,12880.0
DE116,18990.0,16286.0,12500.0
DE117,13523.0,12418.0,8005.0
DE118,1558.0,1558.0,1558.0
DE119,0.0,0.0,0.0
DE11A,0.0,0.0,0.0
DE11B,0.0,0.0,0.0
DE11C,0.0,0.0,0.0
DE11D,0.0,0.0,0.0
DE12,95454.0,87880.0,67964.0
DE121,0.0,0.0,0.0
DE122,38203.0,33846.0,35156.0
DE123,494.0,494.0,494.0
DE124,0.0,0.0,0.0
DE125,18324.0,18201.0,6621.0
DE126,30182.0,28547.0,18348.0
DE127,0.0,0.0,0.0
DE128,0.0,0.0,0.0
DE129,8251.0,6792.0,7345.0
DE12A,0.0,0.0,0.0
DE12B,0.0,0.0,0.0
DE12C,0.0,0.0,0.0
DE13,33912.0,27401.0,25489.0
DE131,13109.0,9309.0,7312.0
DE132,4127.0,4127.0,4127.0
DE133,0.0,0.0,0.0
DE134,0.0,0.0,0.0
DE135,0.0,0.0,0.0
DE136,0.0,0.0,0.0
DE137,0.0,0.0,0.0
DE138,6835.0,6835.0,6835.0
DE139,9841.0,7130.0,7215.0
DE13A,0.0,0.0,0.0
DE14,31721.0,29867.0,28672.0
DE141,18980.0,17126.0,17126.0
DE142,3595.0,3595.0,3595.0
DE143,0.0,0.0,0.0
DE144,7628.0,7628.0,6433.0
DE145,1189.0,1189.0,1189.0
DE146,0.0,0.0,0.0
DE147,329.0,329.0,329.0
DE148,0.0,0.0,0.0
DE149,0.0,0.0,0.0
DE2,405131.0,387509.0,339204.0
DE21,172308.0,165580.0,163932.0
DE211,12512.0,12274.0,13720.0
DE212,120956.0,119280.0,118879.0
DE213,9672.0,8462.0,7731.0
DE214,0.0,0.0,0.0
DE215,0.0,0.0,0.0
DE216,0.0,0.0,0.0
DE217,3261.0,3261.0,3261.0
DE218,0.0,0.0,0.0
DE219,0.0,0.0,0.0
DE21A,0.0,0.0,0.0
DE21B,0.0,0.0,0.0
DE21C,0.0,0.0,0.0
DE21D,0.0,0.0,0.0
DE21E,0.0,0.0,0.0
DE21F,0.0,0.0,0.0
DE21G,0.0,0.0,0.0
DE21H,24172.0,19905.0,19078.0
DE21I,0.0,0.0,0.0
DE21J,0.0,0.0,0.0
DE21K,901.0,901.0,429.0
DE21L,834.0,1497.0,834.0
DE21M,0.0,0.0,0.0
DE21N,0.0,0.0,0.0
DE22,11864.0,12567.0,12201.0
DE221,8500.0,9203.0,9203.0
DE222,0.0,0.0,0.0
DE223,0.0,0.0,0.0
DE224,0.0,0.0,0.0
DE225,0.0,0.0,0.0
DE226,0.0,0.0,0.0
DE227,3364.0,3364.0,2998.0
DE228,0.0,0.0,0.0
DE229,0.0,0.0,0.0
DE22A,0.0,0.0,0.0
DE22B,0.0,0.0,0.0
DE22C,0.0,0.0,0.0
DE23,13409.0,8857.0,5909.0
DE231,0.0,0.0,0.0
DE232,11971.0,7419.0,4471.0
DE233,0.0,0.0,0.0
DE234,0.0,0.0,0.0
DE235,0.0,0.0,0.0
DE236,0.0,0.0,0.0
DE237,0.0,0.0,0.0
DE238,1438.0,1438.0,1438.0
DE239,0.0,0.0,0.0
DE23A,0.0,0.0,0.0
DE24,18678.0,19747.0,18284.0
DE241,8628.0,9697.0,8558.0
DE242,9400.0,9400.0,9076.0
DE243,0.0,0.0,0.0
DE244,0.0,0.0,0.0
DE245,650.0,650.0,650.0
DE246,0.0,0.0,0.0
DE247,0.0,0.0,0.0
DE248,0.0,0.0,0.0
DE249,0.0,0.0,0.0
DE24A,0.0,0.0,0.0
DE24B,0.0,0.0,0.0
DE24C,0.0,0.0,0.0
DE24D,0.0,0.0,0.0
DE25,86867.0,84902.0,54668.0
DE251,0.0,0.0,0.0
DE252,13042.0,15307.0,8582.0
DE253,13418.0,20051.0,8192.0
DE254,51087.0,39055.0,30678.0
DE255,364.0,364.0,364.0
DE256,0.0,0.0,0.0
DE257,304.0,304.0,304.0
DE258,8652.0,9821.0,6548.0
DE259,0.0,0.0,0.0
DE25A,0.0,0.0,0.0
DE25B,0.0,0.0,0.0
DE25C,0.0,0.0,0.0
DE26,31968.0,28649.0,25918.0
DE261,7604.0,7604.0,5239.0
DE262,8283.0,7593.0,8748.0
DE263,13112.0,10483.0,8962.0
DE264,0.0,0.0,0.0
DE265,0.0,0.0,0.0
DE266,0.0,0.0,0.0
DE267,0.0,0.0,0.0
DE268,0.0,0.0,0.0
DE269,0.0,0.0,0.0
DE26A,0.0,0.0,0.0
DE26B,745.0,745.0,745.0
DE26C,2224.0,2224.0,2224.0
DE27,70037.0,67207.0,58292.0
DE271,43732.0,44052.0,37701.0
DE272,0.0,0.0,0.0
DE273,9301.0,7532.0,5609.0
DE274,0.0,0.0,0.0
DE275,0.0,0.0,0.0
DE276,10610.0,9575.0,9575.0
DE277,0.0,0.0,0.0
DE278,0.0,0.0,0.0
DE279,5032.0,5032.0,4391.0
DE27A,0.0,0.0,0.0
DE27B,0.0,0.0,0.0
DE27C,0.0,0.0,0.0
DE27D,0.0,0.0,0.0
DE27E,1362.0,1016.0,1016.0
DE3,353115.0,244478.0,198881.0
DE30,353115.0,244478.0,198881.0
DE300,353115.0,244478.0,198881.0
DE4,70226.0,68693.0,64241.0
DE40,70226.0,68693.0,64241.0
DE401,0.0,0.0,0.0
DE402,15017.0,15536.0,15017.0
DE403,10271.0,8008.0,6065.0
DE404,24461.0,24461.0,24765.0
DE405,872.0,872.0,872.0
DE406,1141.0,1141.0,1141.0
DE407,0.0,0.0,0.0
DE408,1948.0,1948.0,1948.0
DE409,3424.0,3424.0,2230.0
DE40A,1538.0,1538.0,1538.0
DE40B,0.0,0.0,0.0
DE40C,0.0,0.0,0.0
DE40D,0.0,0.0,0.0
DE40E,8328.0,8872.0,8492.0
DE40F,0.0,0.0,0.0
DE40G,0.0,0.0,0.0
DE40H,3226.0,2893.0,2173.0
DE40I,0.0,0.0,0.0
DE5,112825.0,99435.0,107674.0
DE50,112825.0,99435.0,107674.0
DE501,92976.0,81629.0,90290.0
DE502,19849.0,17806.0,17384.0
DE6,173263.0,150512.0,113429.0
DE60,173263.0,150512.0,113429.0
DE600,173263.0,150512.0,113429.0
DE7,221377.0,202147.0,181181.0
DE71,177655.0,162691.0,145433.0
DE711,12014.0,12014.0,12014.0
DE712,83425.0,80518.0,80019.0
