GEO,2023,2024,2025
AT,0.36,0.25,0.22
AT1,0.51,0.38,0.23
AT11,0.0,0.0,0.0
AT112,0.0,0.0,0.0
AT113,0.0,0.0,0.0
AT12,0.61,0.45,0.27
AT121,0.0,0.0,0.0
AT122,0.77,0.74,0.29
AT123,0.25,1.64,0.25
AT124,0.0,1.78,2.55
AT125,0.0,0.0,0.0
AT126,1.28,0.0,0.0
AT127,0.47,0.0,0.0
AT13,0.0,0.0,0.0
AT130,0.0,0.0,0.0
AT2,0.37,0.24,0.37
AT21,0.0,0.0,0.0
AT211,0.0,0.0,0.0
AT212,0.0,0.0,0.0
AT213,0.0,0.0,0.0
AT22,0.53,0.34,0.53
AT221,1.05,1.27,1.98
AT222,0.0,0.0,0.0
AT223,0.85,0.0,0.0
AT224,0.0,0.0,0.0
AT225,0.0,0.0,0.0
AT226,0.0,0.0,0.0
AT3,0.24,0.16,0.14
AT31,0.25,0.0,0.0
AT311,0.0,0.0,0.0
AT312,0.68,0.0,0.0
AT313,0.0,0.0,0.0
AT314,0.0,0.0,0.0
AT315,0.0,0.0,0.0
AT32,0.0,0.0,0.0
AT322,0.0,0.0,0.0
AT323,0.0,0.0,0.0
AT33,0.54,0.62,0.52
AT331,0.0,0.0,0.0
AT332,1.36,1.56,1.11
AT333,0.0,0.0,0.0
AT334,0.0,0.0,0.98
AT335,0.0,0.0,0.0
AT34,0.0,0.0,0.0
AT341,0.0,0.0,0.0
AT342,0.0,0.0,0.0
BE,1.4,0.8,0.33
BE1,0.0,0.0,0.0
BE10,0.0,0.0,0.0
BE100,0.0,0.0,0.0
BE2,0.0,0.0,0.0
BE21,0.0,0.0,0.0
BE211,0.0,0.0,0.0
BE212,0.0,0.0,0.0
BE213,0.0,0.0,0.0
BE22,0.0,0.0,0.0
BE223,0.0,0.0,0.0
BE224,0.0,0.0,0.0
BE225,0.0,0.0,0.0
BE23,0.0,0.0,0.0
BE231,0.0,0.0,0.0
BE232,0.0,0.0,0.0
BE233,0.0,0.0,0.0
BE234,0.0,0.0,0.0
BE235,0.0,0.0,0.0
BE236,0.0,0.0,0.0
BE24,0.0,0.0,0.0
BE241,0.0,0.0,0.0
BE242,0.0,0.0,0.0
BE25,0.0,0.0,0.0
BE251,0.0,0.0,0.0
BE252,0.0,0.0,0.0
BE253,0.0,0.0,0.0
BE254,0.0,0.0,0.0
BE255,0.0,0.0,0.0
BE256,0.0,0.0,0.0
BE257,0.0,0.0,0.0
BE258,0.0,0.0,0.0
BE3,5.28,3.04,1.23
BE31,2.33,2.28,0.09
BE310,2.33,2.28,0.09
BE32,5.3,2.41,1.14
BE323,4.08,1.24,0.68
BE328,0.77,0.0,0.6
BE329,3.27,3.7,0.0
BE32A,7.44,3.16,3.16
BE32B,2.55,2.29,1.68
BE32C,21.54,0.0,0.0
BE32D,13.81,11.89,2.6
BE33,6.0,2.7,1.28
BE331,16.85,2.1,0.0
BE332,6.11,4.17,2.16
BE334,4.24,0.0,0.0
BE335,1.39,1.36,0.85
BE336,0.0,0.0,0.0
BE34,13.05,14.96,4.8
BE341,0.76,1.72,0.76
BE342,0.0,0.0,0.0
BE343,11.59,8.68,8.68
BE344,0.0,0.0,0.0
BE345,81.36,95.58,23.36
BE35,5.58,2.43,2.09
BE351,9.34,0.0,0.0
BE352,3.59,2.6,2.15
BE353,19.51,6.61,6.61
BG,48.43,30.34,28.45
BG3,51.85,34.37,30.91
BG31,49.84,33.96,33.61
BG311,0.0,0.0,0.0
BG312,47.61,47.61,46.1
BG313,34.3,25.74,25.74
BG314,89.65,89.65,89.65
BG315,72.35,11.88,11.88
BG32,41.26,37.59,30.59
BG321,45.47,44.43,44.43
BG322,41.76,41.19,20.23
BG323,63.64,57.07,63.64
BG324,31.39,31.39,31.39
BG325,35.46,18.59,16.78
BG33,72.85,39.71,36.24
BG331,53.91,39.1,31.03
BG332,42.99,2.6,0.0
BG333,95.96,95.96,95.96
BG334,100.0,38.07,38.07
BG34,52.79,28.93,25.69
BG341,30.71,29.5,28.1
BG342,85.87,62.45,62.45
BG343,87.36,13.96,13.96
BG344,41.26,33.12,24.62
BG4,44.55,25.77,25.65
BG41,42.18,20.32,20.2
BG411,38.68,35.05,36.8
BG412,96.08,50.62,49.36
BG413,19.94,4.41,4.41
BG414,14.99,13.03,13.03
BG415,39.75,0.67,0.0
BG42,47.53,32.63,32.51
BG421,52.34,30.76,25.67
BG422,36.3,36.3,36.3
BG423,66.34,43.56,63.33
BG424,72.67,23.72,23.72
BG425,10.83,22.81,10.25
CH,1.79,1.45,0.68
CH0,1.79,1.45,0.68
CH01,1.59,1.34,1.04
CH011,0.66,0.48,0.28
CH012,3.03,2.64,2.15
CH013,0.0,0.0,0.0
CH02,2.76,2.19,1.19
CH021,3.43,3.38,1.99
CH022,4.61,2.23,0.77
CH023,2.28,1.06,0.64
CH024,0.0,0.0,0.0
CH025,2.67,2.67,0.0
CH03,1.9,1.8,0.92
CH031,0.0,0.0,0.0
CH032,0.0,0.0,0.0
CH033,2.51,2.37,1.21
CH04,0.12,0.35,0.07
CH040,0.12,0.35,0.07
CH05,2.82,1.88,0.41
CH051,0.0,0.0,0.0
CH052,0.41,0.41,0.41
CH053,0.0,0.0,0.0
CH054,0.0,0.0,0.0
CH055,0.68,0.68,0.4
CH056,8.37,8.37,1.45
CH057,6.01,1.83,0.0
CH06,0.54,0.46,0.1
CH061,0.25,0.0,0.0
CH062,0.0,0.0,0.0
CH063,0.0,0.0,0.0
CH064,1.43,1.43,1.43
CH065,3.21,3.21,0.0
CH066,0.0,0.0,0.0
CH07,0.73,0.54,0.42
CH070,0.73,0.54,0.42
CY,49.73,41.18,27.7
CY0,49.73,41.18,27.7
CY00,49.73,41.18,27.7
CY000,49.73,41.18,27.7
CZ,37.98,31.84,26.78
CZ0,37.98,31.84,26.78
CZ01,0.0,0.0,0.0
CZ010,0.0,0.0,0.0
CZ02,53.24,43.28,32.5
CZ020,53.24,43.28,32.5
CZ03,37.62,34.04,30.73
CZ031,28.64,24.09,18.36
CZ032,49.9,47.66,47.66
CZ04,43.15,32.12,31.02
CZ041,40.63,26.05,24.36
CZ042,44.29,34.88,34.05
CZ05,44.83,39.64,32.55
CZ051,41.98,34.19,29.63
CZ052,49.04,46.94,34.2
CZ053,42.52,36.1,33.19
CZ06,33.93,28.82,24.14
CZ063,20.38,18.51,18.51
CZ064,40.23,33.61,26.76
CZ07,31.36,28.44,20.92
CZ071,29.15,29.27,22.39
CZ072,33.19,27.76,19.7
CZ08,27.15,21.77,21.01
CZ080,27.15,21.77,21.01
DE,4.96,2.63,1.69
DE1,3.48,0.79,0.64
DE11,3.69,0.64,0.33
DE111,0.0,0.0,0.0
DE112,4.28,0.0,0.0
DE113,0.88,0.42,0.17
DE114,0.47,0.47,0.47
DE115,2.03,0.0,0.0
DE116,3.54,1.26,1.48
DE117,0.0,0.0,0.0
DE118,8.17,2.68,0.0
DE119,0.61,0.0,0.0
DE11A,5.8,0.0,0.0
DE11B,1.94,2.34,1.94
DE11C,12.03,0.0,0.0
DE11D,6.76,0.28,0.28
DE12,5.44,0.89,0.39
DE121,0.0,0.0,0.0
DE122,0.61,0.0,0.0
DE123,5.1,0.0,0.0
DE124,2.02,0.56,0.36
DE125,40.14,9.01,0.0
DE126,0.0,0.0,0.0
DE127,9.0,2.55,3.49
DE128,1.37,1.03,0.32
DE129,0.0,0.0,0.0
DE12A,37.57,4.55,1.25
DE12B,6.98,0.0,0.0
DE12C,1.89,1.89,1.89
DE13,1.94,0.73,0.58
DE131,2.2,2.2,0.0
DE132,0.0,0.0,0.0
DE133,2.26,1.17,1.17
DE134,3.38,0.7,0.53
DE135,9.91,3.33,1.08
DE136,0.0,0.0,0.0
DE137,0.0,0.0,0.0
DE138,1.19,0.43,2.2
