GEO,2023,2024,2025
AT,92829.0,106279.0,112777.0
AT1,37724.0,38563.0,39859.0
AT11,2989.0,2967.0,3523.0
AT111,0.0,0.0,0.0
AT112,2007.0,2305.0,2541.0
AT113,982.0,662.0,982.0
AT12,31019.0,31880.0,34037.0
AT121,2467.0,2750.0,2467.0
AT122,3551.0,3505.0,3700.0
AT123,5200.0,5115.0,5788.0
AT124,4647.0,4686.0,5131.0
AT125,781.0,781.0,781.0
AT126,7610.0,5084.0,5813.0
AT127,6763.0,9959.0,10357.0
AT13,3716.0,3716.0,2299.0
AT130,3716.0,3716.0,2299.0
AT2,17730.0,24312.0,24765.0
AT21,8157.0,11513.0,11297.0
AT211,5351.0,7894.0,7936.0
AT212,1111.0,1077.0,1666.0
AT213,1695.0,2542.0,1695.0
AT22,9573.0,12799.0,13468.0
AT221,1344.0,831.0,773.0
AT222,0.0,0.0,0.0
AT223,2921.0,3400.0,4192.0
AT224,2216.0,3383.0,3997.0
AT225,2042.0,2785.0,2106.0
AT226,1050.0,2400.0,2400.0
AT3,37375.0,43404.0,48153.0
AT31,10311.0,12929.0,14154.0
AT311,3568.0,4344.0,3787.0
AT312,1800.0,2245.0,2296.0
AT313,584.0,1610.0,1521.0
AT314,1721.0,1501.0,2165.0
AT315,2638.0,3229.0,4385.0
AT32,3174.0,4755.0,6442.0
AT321,0.0,0.0,0.0
AT322,2186.0,2186.0,2423.0
AT323,988.0,2569.0,4019.0
AT33,13131.0,14068.0,15911.0
AT331,740.0,740.0,1004.0
AT332,4393.0,4903.0,5222.0
AT333,2037.0,1746.0,1746.0
AT334,0.0,0.0,96.0
AT335,5961.0,6679.0,7843.0
AT34,10759.0,11652.0,11646.0
AT341,2346.0,2346.0,2473.0
AT342,8413.0,9306.0,9173.0
BE,255060.0,405821.0,472360.0
BE1,120.0,0.0,0.0
BE10,120.0,0.0,0.0
BE100,120.0,0.0,0.0
BE2,250825.0,393090.0,451549.0
BE21,61930.0,96363.0,105081.0
BE211,27895.0,40902.0,44590.0
BE212,14384.0,22922.0,24840.0
BE213,19651.0,32539.0,35651.0
BE22,28447.0,45634.0,54432.0
BE223,4486.0,8766.0,11373.0
BE224,19902.0,30069.0,32583.0
BE225,4059.0,6799.0,10476.0
BE23,59302.0,99204.0,115305.0
BE231,14623.0,24354.0,31162.0
BE232,8122.0,16724.0,21488.0
BE233,2929.0,6397.0,6219.0
BE234,10276.0,18479.0,23136.0
BE235,4475.0,8210.0,9361.0
BE236,18877.0,25040.0,23939.0
BE24,28181.0,47288.0,60963.0
BE241,17112.0,26628.0,35169.0
BE242,11069.0,20660.0,25794.0
BE25,72965.0,104601.0,115768.0
BE251,15889.0,20700.0,20371.0
BE252,628.0,736.0,1762.0
BE253,3991.0,7265.0,8798.0
BE254,27025.0,35310.0,38635.0
BE255,3336.0,5471.0,7723.0
BE256,12622.0,19346.0,19973.0
BE257,3292.0,4915.0,5800.0
BE258,6182.0,10858.0,12706.0
BE3,4115.0,12731.0,20811.0
BE31,397.0,4318.0,4318.0
BE310,397.0,4318.0,4318.0
BE32,1489.0,3355.0,7085.0
BE323,0.0,0.0,1760.0
BE328,526.0,1594.0,3235.0
BE329,0.0,0.0,0.0
BE32A,0.0,0.0,0.0
BE32B,963.0,963.0,963.0
BE32C,0.0,798.0,1127.0
BE32D,0.0,0.0,0.0
BE33,1465.0,2801.0,5719.0
BE331,0.0,0.0,458.0
BE332,425.0,1479.0,2327.0
BE334,0.0,0.0,54.0
BE335,877.0,1159.0,1159.0
BE336,163.0,163.0,1721.0
BE34,246.0,959.0,959.0
BE341,0.0,0.0,0.0
BE342,0.0,0.0,0.0
