GEO,2023,2024,2025
AT,509085.0,492062.0,508560.0
AT1,172199.0,163093.0,167133.0
AT11,35905.0,37047.0,36723.0
AT111,6191.0,6217.0,6214.0
AT112,20002.0,21503.0,21773.0
AT113,9712.0,9327.0,8736.0
AT12,134891.0,124642.0,129006.0
AT121,26368.0,24359.0,25139.0
AT122,18555.0,17744.0,18245.0
AT123,13415.0,11830.0,12081.0
AT124,25456.0,21927.0,22842.0
AT125,12847.0,11675.0,12361.0
AT126,24925.0,23104.0,23450.0
AT127,13325.0,14003.0,14888.0
AT13,1403.0,1404.0,1404.0
AT130,1403.0,1404.0,1404.0
AT2,139953.0,136174.0,145153.0
AT21,48247.0,44162.0,47309.0
AT211,21770.0,18626.0,19560.0
AT212,12015.0,11846.0,13637.0
AT213,14462.0,13690.0,14112.0
AT22,91706.0,92012.0,97844.0
AT221,11673.0,12001.0,13029.0
AT222,11111.0,9966.0,11211.0
AT223,10774.0,9163.0,9662.0
AT224,30518.0,31830.0,32593.0
AT225,21440.0,22550.0,23448.0
AT226,6190.0,6502.0,7901.0
AT3,196933.0,192795.0,196274.0
AT31,102376.0,96331.0,98975.0
AT311,28650.0,28405.0,30406.0
AT312,21757.0,20343.0,20730.0
AT313,21375.0,17463.0,16319.0
AT314,10708.0,10029.0,11138.0
AT315,19886.0,20091.0,20382.0
AT32,39531.0,40184.0,40567.0
AT321,3369.0,3522.0,3594.0
AT322,20879.0,20849.0,21018.0
AT323,15283.0,15813.0,15955.0
AT33,43179.0,44248.0,44587.0
AT331,2169.0,2765.0,2994.0
AT332,7247.0,7312.0,7323.0
AT333,2773.0,2665.0,2724.0
AT334,9707.0,10012.0,10018.0
AT335,21283.0,21494.0,21528.0
AT34,11847.0,12032.0,12145.0
AT341,7960.0,7975.0,8083.0
AT342,3887.0,4057.0,4062.0
BE,343726.0,372468.0,386859.0
BE1,173.0,173.0,173.0
BE10,173.0,173.0,173.0
BE100,173.0,173.0,173.0
BE2,230190.0,231711.0,231866.0
BE21,38858.0,38980.0,39039.0
BE211,9402.0,9402.0,9402.0
BE212,7105.0,7105.0,7105.0
BE213,22351.0,22473.0,22532.0
BE22,37400.0,37820.0,37844.0
BE223,11181.0,11182.0,11188.0
BE224,12390.0,12458.0,12458.0
BE225,13829.0,14180.0,14198.0
BE23,56155.0,56531.0,56513.0
BE231,6552.0,6765.0,6765.0
BE232,4413.0,4413.0,4413.0
BE233,8394.0,8554.0,8536.0
BE234,18076.0,18076.0,18076.0
BE235,10764.0,10764.0,10764.0
BE236,7956.0,7959.0,7959.0
BE24,36234.0,36429.0,36429.0
BE241,12125.0,12320.0,12320.0
BE242,24109.0,24109.0,24109.0
BE25,61543.0,61951.0,62041.0
BE251,13537.0,13545.0,13594.0
BE252,6501.0,6635.0,6659.0
BE253,11546.0,11546.0,11546.0
BE254,6509.0,6509.0,6509.0
BE255,4285.0,4346.0,4349.0
BE256,6595.0,6595.0,6595.0
BE257,9762.0,9762.0,9762.0
BE258,2808.0,3013.0,3027.0
BE3,113363.0,140584.0,154820.0
BE31,12613.0,14768.0,15514.0
BE310,12613.0,14768.0,15514.0
BE32,33452.0,41358.0,44890.0
BE323,5040.0,7272.0,7661.0
BE328,6936.0,9004.0,9093.0
BE329,1139.0,990.0,1394.0
BE32A,7357.0,9484.0,10042.0
BE32B,5059.0,5444.0,5569.0
BE32C,4206.0,4464.0,5121.0
BE32D,3715.0,4700.0,6010.0
BE33,34052.0,39581.0,43413.0
BE331,2979.0,5563.0,6761.0
BE332,7217.0,8099.0,8570.0
BE334,6221.0,7430.0,7772.0
BE335,11231.0,11829.0,13011.0
BE336,6404.0,6660.0,7299.0
BE34,12798.0,17197.0,20790.0
BE341,2168.0,2047.0,2070.0
BE342,2801.0,3333.0,3565.0
BE343,4444.0,5946.0,6723.0
BE344,3384.0,4595.0,5135.0
BE345,1.0,1276.0,3297.0
BE35,20448.0,27680.0,30213.0
BE351,4249.0,6138.0,7561.0
BE352,12747.0,16490.0,17765.0
BE353,3452.0,5052.0,4887.0
BG,28668.0,44401.0,54522.0
BG3,16080.0,26303.0,28989.0
BG31,2037.0,4702.0,5679.0
BG311,295.0,332.0,332.0
BG312,118.0,1326.0,1749.0
BG313,246.0,563.0,625.0
BG314,626.0,1073.0,1436.0
BG315,752.0,1408.0,1537.0
BG32,2637.0,3933.0,4620.0
BG321,945.0,1615.0,1615.0
BG322,472.0,474.0,696.0
BG323,371.0,383.0,383.0
BG324,849.0,850.0,868.0
BG325,0.0,611.0,1058.0
BG33,3983.0,6857.0,6982.0
BG331,2349.0,3527.0,4337.0
BG332,737.0,2027.0,1296.0
BG333,897.0,908.0,952.0
BG334,0.0,395.0,397.0
BG34,7423.0,10811.0,11708.0
BG341,4748.0,7315.0,7949.0
BG342,238.0,572.0,636.0
BG343,0.0,605.0,723.0
BG344,2437.0,2319.0,2400.0
BG4,12588.0,18098.0,25533.0
BG41,7052.0,10138.0,14758.0
BG411,1101.0,1576.0,3290.0
BG412,30.0,1729.0,3842.0
BG413,3401.0,3526.0,3528.0
BG414,694.0,921.0,1468.0
BG415,1826.0,2386.0,2630.0
BG42,5536.0,7960.0,10775.0
BG421,2445.0,3451.0,5349.0
BG422,804.0,878.0,974.0
BG423,621.0,1604.0,1260.0
BG424,1194.0,1531.0,1589.0
BG425,472.0,496.0,1603.0
CH,226059.0,235454.0,254961.0
CH0,226059.0,235454.0,254961.0
CH01,39496.0,40971.0,44540.0
CH011,21520.0,22783.0,24664.0
CH012,15077.0,15267.0,16955.0
CH013,2899.0,2921.0,2921.0
CH02,65840.0,70111.0,75632.0
CH021,39258.0,40764.0,43287.0
CH022,13258.0,15424.0,16162.0
CH023,5339.0,5701.0,6545.0
CH024,3246.0,3324.0,3711.0
CH025,4739.0,4898.0,5927.0
CH03,17582.0,17483.0,19510.0
CH031,44.0,44.0,44.0
CH032,4363.0,4112.0,4849.0
CH033,13175.0,13327.0,14617.0
CH04,20173.0,20923.0,21190.0
CH040,20173.0,20923.0,21190.0
CH05,49851.0,52288.0,55739.0
CH051,2728.0,2722.0,2715.0
CH052,2452.0,3341.0,3802.0
CH053,3405.0,3413.0,3290.0
CH054,922.0,874.0,863.0
