GEO,2023,2024,2025
AT,10.0,10.58,9.48
AT1,8.23,8.84,8.43
AT11,9.51,7.92,8.33
AT111,8.98,5.04,3.92
AT112,5.67,2.21,2.75
AT113,14.33,16.04,16.98
AT12,7.89,9.16,8.51
AT121,5.53,7.07,6.68
AT122,6.76,9.25,9.24
AT123,3.92,4.3,4.13
AT124,9.67,12.24,10.81
AT125,17.62,19.05,18.61
AT126,5.58,4.83,4.77
AT127,3.59,3.54,1.27
AT13,3.17,1.45,1.45
AT130,3.17,1.45,1.45
AT2,14.27,15.45,13.5
AT21,17.02,20.06,17.79
AT211,11.94,14.16,12.51
AT212,18.05,20.72,15.61
AT213,21.72,25.99,25.5
AT22,12.75,12.9,11.13
AT221,11.9,10.68,5.68
AT222,10.4,13.5,8.12
AT223,14.1,19.32,20.93
AT224,10.8,9.78,8.8
AT225,11.32,10.6,10.41
AT226,24.29,21.3,17.43
AT3,7.93,7.94,6.92
AT31,9.43,9.71,7.83
AT311,11.53,9.35,6.99
AT312,6.28,7.41,5.26
AT313,9.47,13.18,13.14
AT314,13.8,14.41,9.96
AT315,6.08,4.88,3.62
AT32,3.91,3.1,3.21
AT321,11.5,4.8,4.66
AT322,1.53,2.7,2.6
AT323,5.04,3.2,3.63
AT33,8.84,8.83,8.92
AT331,4.9,5.59,7.06
AT332,11.65,13.46,9.82
AT333,29.04,25.58,29.72
AT334,9.99,9.26,9.92
AT335,2.66,3.1,3.06
AT34,1.79,1.79,1.57
AT341,0.07,0.07,0.6
AT342,4.85,4.85,3.3
BE,9.37,5.81,4.11
BE1,0.0,0.0,0.0
BE10,0.0,0.0,0.0
BE100,0.0,0.0,0.0
BE2,0.11,0.04,0.01
BE21,0.13,0.01,0.0
BE211,0.05,0.05,0.0
BE212,0.0,0.0,0.0
BE213,0.2,0.0,0.0
BE22,0.26,0.01,0.01
BE223,0.0,0.0,0.0
BE224,0.14,0.0,0.0
BE225,0.58,0.03,0.03
BE23,0.08,0.08,0.04
BE231,0.0,0.0,0.0
BE232,0.0,0.0,0.0
BE233,0.0,0.0,0.0
BE234,0.0,0.0,0.0
BE235,0.0,0.0,0.0
BE236,0.6,0.6,0.29
BE24,0.0,0.0,0.0
BE241,0.0,0.0,0.0
BE242,0.0,0.0,0.0
BE25,0.09,0.05,0.0
BE251,0.11,0.23,0.0
BE252,0.19,0.0,0.0
BE253,0.0,0.0,0.0
BE254,0.0,0.0,0.0
BE255,0.18,0.0,0.0
BE256,0.0,0.0,0.0
BE257,0.0,0.0,0.0
BE258,0.59,0.07,0.0
BE3,19.43,12.08,8.57
BE31,2.82,1.64,1.14
BE310,2.82,1.64,1.14
BE32,16.76,9.06,8.18
BE323,18.11,7.53,4.13
BE328,21.71,9.5,13.55
BE329,12.86,12.86,3.36
BE32A,15.42,7.38,9.52
BE32B,7.22,2.97,2.76
BE32C,7.8,4.09,3.48
BE32D,22.55,18.29,10.01
BE33,15.12,8.06,4.3
BE331,22.01,9.93,8.99
BE332,17.44,12.43,1.27
BE334,10.55,1.83,0.79
BE335,14.96,9.08,5.65
BE336,9.95,5.51,3.95
BE34,27.17,22.6,15.31
BE341,18.43,17.34,24.95
BE342,19.5,17.82,8.07
BE343,19.55,12.24,2.32
BE344,22.72,19.64,14.65
BE345,51.81,44.64,33.38
BE35,27.16,15.89,11.17
BE351,38.5,25.88,15.69
BE352,15.42,3.65,1.82
BE353,32.58,24.2,22.01
BG,82.09,77.06,73.32
BG3,85.21,79.88,76.35
BG31,88.51,83.59,82.51
BG311,85.6,83.82,83.65
BG312,90.34,88.05,86.97
BG313,93.62,87.99,87.43
BG314,91.07,86.2,83.83
BG315,78.35,68.7,68.54
BG32,84.12,78.67,72.8
BG321,85.61,82.52,80.39
BG322,80.04,73.23,68.79
BG323,83.8,75.4,57.03
BG324,91.01,84.31,81.37
BG325,77.3,73.62,73.62
BG33,87.98,80.35,75.98
BG331,85.52,68.65,66.12
BG332,82.72,75.23,64.38
BG333,91.5,90.64,86.48
BG334,94.17,94.09,94.09
BG34,80.1,76.35,72.95
BG341,75.83,70.59,68.48
BG342,92.42,88.71,81.33
BG343,89.8,90.19,85.44
BG344,72.5,68.56,66.91
BG4,77.27,72.71,68.63
BG41,69.49,64.64,61.55
BG411,63.77,50.5,40.83
BG412,59.85,57.95,52.99
BG413,77.11,72.33,70.63
BG414,80.58,74.79,74.62
BG415,69.44,65.0,65.17
BG42,82.75,78.39,73.62
BG421,77.36,66.72,61.28
BG422,92.02,90.88,88.78
BG423,83.71,85.39,80.2
BG424,73.25,66.29,63.27
BG425,90.55,90.56,83.47
CH,13.18,11.66,8.7
CH0,13.18,11.66,8.7
CH01,9.55,8.86,6.97
CH011,9.5,8.62,6.75
CH012,10.77,10.26,8.11
CH013,0.0,0.0,0.0
CH02,21.82,18.87,14.31
CH021,23.09,19.46,15.06
CH022,16.01,14.0,8.63
CH023,18.94,12.03,11.82
CH024,18.68,17.7,17.44
CH025,32.46,34.66,23.53
CH03,7.24,6.49,3.73
CH031,0.0,0.0,0.0
CH032,8.63,7.94,5.78
CH033,6.71,5.93,2.92
CH04,2.22,2.76,1.99
CH040,2.22,2.76,1.99
CH05,9.23,7.94,5.24
CH051,1.68,1.59,1.59
CH052,7.34,9.67,2.23
CH053,5.03,4.93,1.21
CH054,2.6,2.6,2.5
CH055,4.54,4.33,4.05
CH056,16.59,14.43,10.45
CH057,6.06,2.98,0.65
CH06,8.07,8.17,6.24
CH061,6.06,5.96,5.05
CH062,27.04,26.58,12.84
CH063,6.47,7.56,7.52
CH064,9.8,9.69,5.79
CH065,14.04,14.04,14.04
CH066,0.59,0.77,0.77
CH07,17.34,14.17,12.21
CH070,17.34,14.17,12.21
CY,83.81,70.02,63.81
CY0,83.81,70.02,63.81
CY00,83.81,70.02,63.81
CY000,83.81,70.02,63.81
CZ,65.99,61.64,58.14
CZ0,65.99,61.64,58.14
CZ01,0.09,0.09,0.0
CZ010,0.09,0.09,0.0
CZ02,68.87,64.77,57.64
CZ020,68.87,64.77,57.64
CZ03,73.16,66.4,65.14
CZ031,69.56,67.11,64.73
CZ032,76.95,65.65,65.57
CZ04,59.56,54.41,51.61
CZ041,57.64,52.09,51.53
CZ042,60.47,55.51,51.64
CZ05,57.94,53.78,49.38
CZ051,53.06,47.21,39.32
CZ052,50.13,46.17,43.43
CZ053,70.28,67.14,63.47
CZ06,69.42,64.09,60.77
CZ063,71.7,69.25,65.96
CZ064,67.89,60.62,57.28
CZ07,69.28,67.65,65.44
CZ071,70.0,69.72,68.12
CZ072,68.51,65.39,62.52
CZ08,58.56,56.23,53.6
CZ080,58.56,56.23,53.6
DE,25.74,21.87,18.79
DE1,14.11,8.65,7.42
DE11,18.62,9.24,6.76
DE111,0.0,0.0,0.0
DE112,0.89,0.0,0.0
DE113,3.19,2.58,0.29
DE114,5.9,5.06,3.83
DE115,11.0,7.36,4.33
DE116,11.34,10.19,10.28
DE117,0.0,0.0,0.0
DE118,15.29,7.74,1.76
DE119,21.54,15.38,11.16
DE11A,27.78,8.83,8.76
DE11B,30.3,26.75,16.21
DE11C,21.97,2.4,2.04
DE11D,21.98,4.74,5.96
DE12,18.67,8.28,6.37
DE121,0.31,0.0,0.0
DE122,0.0,0.0,0.0
DE123,25.66,3.63,0.0
DE124,4.82,2.87,2.12
DE125,9.81,3.4,0.0
DE126,0.0,0.0,0.0
DE127,23.68,19.37,16.76
DE128,14.07,9.71,6.51
DE129,0.0,0.0,0.0
DE12A,29.88,5.53,4.16
DE12B,5.16,0.0,0.0
DE12C,20.19,11.77,11.15
DE13,8.62,7.38,6.7
DE131,0.0,0.0,0.0
DE132,2.9,2.68,2.45
DE133,3.15,2.69,2.49
DE134,5.58,4.49,3.88
DE135,21.71,13.73,12.17
DE136,10.71,10.43,8.23
DE137,8.32,8.42,7.32
DE138,3.5,2.87,3.1
DE139,15.18,15.29,15.29
DE13A,12.64,11.2,10.77
DE14,11.66,9.69,9.69
DE141,16.82,13.39,10.41
DE142,1.19,0.52,0.52
DE143,9.23,8.81,14.32
DE144,0.0,0.0,0.0
DE145,3.22,3.02,2.28
DE146,19.78,16.69,14.44
DE147,4.4,3.81,1.3
DE148,10.3,7.01,5.83
DE149,25.08,21.7,25.59
DE2,18.37,16.79,12.61
DE21,16.29,14.89,9.01
DE211,19.25,0.0,0.0
DE212,0.0,0.0,0.0
DE213,0.0,0.0,0.0
DE214,15.68,14.8,9.37
DE215,13.76,12.1,4.0
DE216,9.08,8.98,3.53
DE217,16.06,15.51,7.37
DE218,1.4,1.4,0.3
DE219,18.97,16.67,14.17
DE21A,17.5,16.42,5.58
DE21B,35.8,25.78,3.39
DE21C,17.86,17.69,4.6
DE21D,2.26,1.65,1.61
DE21E,14.26,13.95,6.79
DE21F,3.66,3.25,3.02
DE21G,28.22,36.03,17.37
DE21H,1.67,1.67,1.59
DE21I,34.58,36.68,33.29
DE21J,31.59,20.98,20.52
DE21K,10.89,7.7,5.38
DE21L,0.22,0.12,0.12
DE21M,15.53,15.57,14.16
DE21N,11.95,12.54,8.97
DE22,16.63,15.13,12.42
DE221,3.16,3.16,3.16
DE222,1.71,1.71,1.71
DE223,1.23,1.23,1.23
DE224,14.07,14.73,9.24
DE225,13.96,13.2,11.7
DE226,10.34,5.6,6.29
DE227,18.84,23.81,17.06
DE228,11.65,9.91,8.7
DE229,15.76,5.46,5.46
DE22A,31.97,31.95,27.04
DE22B,13.55,11.58,9.24
DE22C,23.36,18.52,15.76
DE23,22.01,18.05,15.15
DE231,0.0,0.0,0.0
DE232,0.0,0.0,0.0
DE233,7.83,3.19,0.0
DE234,12.98,11.2,10.4
DE235,30.06,30.15,26.22
DE236,10.96,17.85,9.43
DE237,32.69,9.94,9.31
DE238,13.82,10.88,10.4
DE239,24.89,25.86,19.66
DE23A,28.27,18.65,19.39
DE24,19.31,19.94,13.64
DE241,0.0,6.92,0.0
DE242,0.0,0.0,0.0
DE243,0.0,0.0,0.0
DE244,0.0,0.0,0.0
DE245,17.88,13.31,11.59
DE246,23.37,21.91,17.74
DE247,16.82,15.37,14.01
DE248,5.54,22.04,4.84
DE249,16.12,16.24,6.92
DE24A,30.1,22.0,20.92
DE24B,22.9,17.38,13.22
DE24C,49.14,48.35,43.42
DE24D,1.55,15.34,1.55
DE25,12.35,10.9,8.05
DE251,3.91,3.91,3.91
DE252,0.0,0.0,0.0
DE253,0.0,0.0,0.0
DE254,0.0,0.0,0.0
DE255,0.0,0.0,0.0
DE256,10.36,4.69,4.22
DE257,4.1,4.62,4.47
DE258,0.13,0.0,0.0
DE259,4.9,7.47,3.3
DE25A,8.11,6.71,6.08
DE25B,14.28,14.91,5.83
DE25C,38.99,39.27,32.3
DE26,21.22,19.06,14.44
DE261,0.0,0.0,0.0
DE262,0.0,0.0,0.0
DE263,0.0,0.0,0.0
DE264,3.83,3.77,1.24
DE265,14.65,11.46,9.26
DE266,24.64,23.04,21.18
DE267,24.53,22.52,17.53
DE268,2.4,1.74,1.56
DE269,49.26,35.33,24.37
DE26A,43.31,47.58,33.47
DE26B,7.01,6.27,6.07
DE26C,18.4,14.04,10.53
DE27,21.39,20.16,17.1
DE271,3.89,3.89,0.0
DE272,0.0,0.0,0.0
DE273,0.0,0.0,0.0
DE274,0.5,0.0,0.0
DE275,34.28,29.89,17.2
DE276,26.44,36.6,32.02
DE277,41.11,19.05,18.13
DE278,33.25,34.46,29.35
DE279,2.17,7.71,6.66
DE27A,0.58,0.67,0.58
DE27B,19.13,13.96,12.36
DE27C,24.94,26.09,20.56
DE27D,25.18,24.51,24.82
DE27E,4.34,2.75,2.91
DE3,1.54,0.9,0.0
DE30,1.54,0.9,0.0
DE300,1.54,0.9,0.0
DE4,47.11,42.45,40.55
DE40,47.11,42.45,40.55
DE401,23.88,21.6,16.64
DE402,22.76,21.21,14.09
DE403,8.19,8.19,10.69
DE404,0.97,0.97,0.97
DE405,23.88,19.34,18.41
DE406,57.61,44.58,42.84
DE407,52.65,52.58,50.65
DE408,54.57,54.38,52.73
DE409,61.88,42.66,42.09
DE40A,28.83,30.37,29.73
DE40B,32.73,31.7,31.81
DE40C,53.3,51.8,51.66
DE40D,49.88,49.64,48.6
DE40E,41.8,36.94,31.51
DE40F,65.46,63.99,64.2
DE40G,42.91,42.26,37.62
DE40H,42.29,33.88,34.5
DE40I,73.79,65.01,58.03
DE5,9.35,6.52,15.22
DE50,9.35,6.52,15.22
DE501,11.56,8.06,18.82
DE502,0.0,0.0,0.0
DE6,6.61,6.61,6.61
DE60,6.61,6.61,6.61
DE600,6.61,6.61,6.61
DE7,20.85,17.63,15.54
DE71,11.0,10.43,8.29
DE711,0.0,0.0,0.0
DE712,0.0,0.0,0.0
DE713,0.0,0.0,0.0
DE714,3.21,0.0,0.0
DE715,3.07,2.92,2.92
DE716,0.03,0.0,0.0
DE717,17.47,17.47,6.13
DE718,12.43,11.49,10.0
DE719,25.92,24.9,18.9
DE71A,20.11,20.11,2.22
DE71B,10.01,10.01,10.01
DE71C,0.0,0.0,0.0
DE71D,11.54,11.26,11.26
DE71E,7.26,6.18,5.96
DE72,25.11,19.9,17.1
DE721,27.25,21.13,9.32
DE722,38.46,29.11,27.55
DE723,16.02,16.0,15.1
DE724,19.76,12.53,11.56
DE725,24.66,21.86,21.48
DE73,25.91,21.94,20.42
DE731,0.0,0.0,0.0
DE732,19.7,11.52,8.93
DE733,38.1,30.99,22.06
DE734,15.62,13.6,20.03
DE735,14.67,13.57,11.76
DE736,34.16,26.77,31.41
DE737,47.08,49.02,36.36
DE8,48.24,43.99,36.09
DE80,48.24,43.99,36.09
DE803,9.04,1.87,1.87
DE804,10.23,10.23,5.67
DE80J,52.98,52.95,43.19
DE80K,43.58,36.42,32.07
DE80L,45.81,39.67,34.47
DE80M,29.14,27.48,28.02
DE80N,63.63,57.91,35.46
DE80O,49.31,44.68,40.94
DE9,30.15,23.49,19.97
DE91,31.42,23.07,17.29
DE911,0.32,0.0,0.0
DE912,3.83,0.0,0.0
