GEO,2023,2024,2025
AT,3.97,3.93,4.47
AT1,4.33,3.81,4.52
AT11,4.37,3.94,6.42
AT111,6.5,4.28,7.38
AT112,6.09,6.71,9.91
AT113,1.35,0.5,1.83
AT12,4.35,3.8,4.01
AT121,5.63,5.86,6.39
AT122,5.98,2.85,2.52
AT123,1.39,1.06,1.43
AT124,6.84,6.17,6.21
AT125,4.09,3.8,4.87
AT126,1.82,2.16,1.82
AT127,1.07,1.07,1.5
AT13,0.0,0.0,0.0
AT130,0.0,0.0,0.0
AT2,2.86,2.56,3.42
AT21,3.94,2.82,3.65
AT211,4.91,1.77,2.05
AT212,3.16,2.9,3.99
AT213,3.56,3.9,5.11
AT22,2.26,2.42,3.3
AT221,0.75,0.75,0.75
AT222,7.45,5.66,6.95
AT223,0.52,0.66,0.66
AT224,2.25,2.77,3.25
AT225,0.8,0.51,2.03
AT226,3.35,5.97,8.5
AT3,4.61,5.25,5.34
AT31,2.22,2.43,1.94
AT311,1.29,1.98,2.47
AT312,0.01,0.08,0.0
AT313,3.76,2.86,1.91
AT314,4.85,3.99,3.99
AT315,2.39,4.14,1.73
AT32,9.08,9.9,10.44
AT321,11.98,8.29,13.22
AT322,13.04,15.4,14.85
AT323,3.5,3.5,4.32
AT33,6.99,8.65,10.04
AT331,0.0,5.76,7.26
AT332,8.22,9.59,9.56
AT333,6.97,9.53,6.97
AT334,9.27,10.67,10.66
AT335,6.45,7.43,11.14
AT34,5.19,5.5,5.04
AT341,7.69,8.19,7.47
AT342,0.71,0.71,0.71
BE,2.3,5.18,6.52
BE1,16.76,38.73,38.73
BE10,16.76,38.73,38.73
BE100,16.76,38.73,38.73
BE2,3.95,9.17,11.21
BE21,2.44,7.61,8.14
BE211,3.52,6.59,6.21
BE212,2.46,2.93,7.35
BE213,1.99,9.52,9.2
BE22,0.74,3.78,6.72
BE223,0.34,8.35,11.03
BE224,0.31,1.66,3.86
BE225,1.44,2.05,5.84
BE23,3.87,8.58,10.81
BE231,0.75,0.75,1.77
BE232,3.01,3.81,3.01
BE233,0.09,15.7,16.25
BE234,5.45,8.82,13.49
BE235,3.82,5.46,5.64
BE236,7.48,13.85,17.81
BE24,1.55,4.07,5.42
BE241,0.98,2.01,3.38
BE242,1.84,5.11,6.45
BE25,8.33,16.96,19.63
BE251,10.03,15.41,13.02
BE252,8.62,17.67,20.51
BE253,6.32,11.72,19.49
BE254,5.44,9.16,16.45
BE255,18.92,20.4,22.53
BE256,12.36,24.66,25.7
BE257,0.0,22.24,24.74
BE258,16.68,20.38,21.04
BE3,0.49,0.82,1.41
BE31,0.04,0.1,0.24
BE310,0.04,0.1,0.24
BE32,1.21,1.21,1.44
BE323,0.0,0.0,1.1
BE328,0.1,0.1,0.1
BE329,0.0,0.0,1.51
BE32A,2.29,2.29,2.29
BE32B,0.0,0.0,0.51
BE32C,0.0,0.0,0.0
BE32D,4.17,4.17,3.96
BE33,0.22,0.53,0.85
BE331,0.0,0.0,0.24
BE332,0.53,0.53,0.53
BE334,0.0,0.0,0.0
BE335,0.28,1.34,1.51
BE336,0.23,0.23,1.58
