GEO,2023,2024,2025
AT,95.8,95.57,96.04
AT1,97.25,97.08,97.21
AT11,92.4,93.67,93.36
AT111,91.02,94.96,96.08
AT112,96.06,98.46,98.1
AT113,87.46,85.98,85.15
AT12,95.72,95.1,95.44
AT121,96.02,94.91,95.19
AT122,96.69,95.47,95.48
AT123,98.06,97.87,97.95
AT124,92.53,90.54,91.64
AT125,84.38,83.11,83.5
AT126,97.1,97.75,97.78
AT127,99.2,99.21,99.72
AT13,99.99,99.99,99.99
AT130,99.99,99.99,99.99
AT2,91.73,91.05,92.18
AT21,89.3,87.38,88.81
AT211,94.51,93.49,94.25
AT212,85.6,83.48,87.55
AT213,82.51,79.06,79.45
AT22,92.92,92.84,93.82
AT221,97.4,97.67,98.76
AT222,90.31,87.42,92.47
AT223,93.19,90.67,89.9
AT224,91.14,91.99,92.79
AT225,91.76,92.31,92.45
AT226,85.5,87.28,89.59
AT3,96.64,96.64,97.09
AT31,95.31,95.19,96.11
AT311,91.21,92.87,94.67
AT312,98.48,98.2,98.73
AT313,92.26,89.23,89.29
AT314,92.48,92.15,94.57
AT315,96.99,97.64,98.2
AT32,98.38,98.72,98.67
AT321,88.5,95.2,95.34
AT322,98.94,98.14,98.21
AT323,98.72,99.19,99.08
AT33,96.46,96.46,96.55
AT331,97.06,96.64,95.75
AT332,97.88,97.59,98.46
AT333,83.33,85.32,82.94
AT334,92.88,93.4,92.93
AT335,98.74,98.54,98.56
AT34,99.67,99.67,99.71
AT341,99.96,99.96,99.7
AT342,99.58,99.58,99.71
BA,38.66,41.3,41.3
BA0,38.66,41.3,41.3
BA01,55.37,55.37,55.37
BA02,22.46,27.66,27.66
BE,97.92,98.78,99.15
BE1,100.0,100.0,100.0
BE10,100.0,100.0,100.0
BE100,100.0,100.0,100.0
BE2,99.98,99.99,100.0
BE21,99.99,100.0,100.0
BE211,100.0,100.0,100.0
BE212,100.0,100.0,100.0
BE213,99.95,100.0,100.0
BE22,99.95,100.0,100.0
BE223,100.0,100.0,100.0
BE224,99.98,100.0,100.0
BE225,99.84,99.99,99.99
BE23,99.98,99.98,99.99
BE231,100.0,100.0,100.0
BE232,100.0,100.0,100.0
BE233,100.0,100.0,100.0
BE234,100.0,100.0,100.0
BE235,100.0,100.0,100.0
BE236,99.91,99.91,99.96
BE24,100.0,100.0,100.0
BE241,100.0,100.0,100.0
BE242,100.0,100.0,100.0
BE25,99.98,99.99,100.0
BE251,99.98,99.96,100.0
BE252,99.88,100.0,100.0
BE253,100.0,100.0,100.0
BE254,100.0,100.0,100.0
BE255,99.98,100.0,100.0
BE256,100.0,100.0,100.0
BE257,100.0,100.0,100.0
BE258,99.9,99.99,100.0
BE3,93.37,96.1,97.29
BE31,99.31,99.67,99.77
BE310,99.31,99.67,99.77
BE32,95.2,97.83,98.01
BE323,95.95,98.53,99.02
BE328,93.31,97.11,95.78
BE329,98.82,99.19,99.79
BE32A,90.17,96.09,94.86
BE32B,99.13,99.6,99.67
BE32C,90.89,98.64,98.85
BE32D,87.7,89.98,94.65
BE33,95.57,97.68,98.88
BE331,88.96,95.43,95.86
BE332,97.62,98.38,99.81
BE334,92.94,98.95,99.55
BE335,94.39,96.6,97.88
BE336,94.25,96.82,97.72
BE34,80.25,83.87,88.97
BE341,94.0,94.36,91.37
BE342,84.29,85.64,93.5
BE343,82.6,90.18,98.14
BE344,81.59,84.09,88.13
BE345,58.27,63.96,73.12
BE35,85.5,91.42,94.16
BE351,71.01,80.52,88.21
BE352,93.79,98.13,99.24
BE353,72.61,79.65,81.5
BG,64.34,67.82,69.87
BG3,57.96,62.28,64.09
BG31,45.15,52.24,52.85
BG311,44.28,45.44,45.56
BG312,48.52,49.81,50.42
BG313,45.22,49.6,49.92
BG314,43.05,52.92,54.15
BG315,46.29,61.57,61.66
BG32,58.83,61.46,65.05
BG321,56.22,57.77,58.85
BG322,73.04,75.34,76.83
BG323,66.85,70.17,77.44
BG324,36.99,41.2,48.87
BG325,53.18,55.61,55.61
BG33,61.07,67.5,69.24
BG331,72.93,80.66,81.37
BG332,58.07,67.15,71.89
BG333,46.84,51.52,53.75
BG334,43.2,43.24,43.24
BG34,65.56,67.08,68.48
BG341,68.46,70.43,71.26
BG342,55.5,57.29,60.84
BG343,60.79,60.62,62.69
BG344,69.57,71.11,71.76
BG4,71.29,73.86,76.16
BG41,80.81,82.3,84.41
BG411,95.26,96.2,97.57
BG412,56.12,57.54,66.67
BG413,62.07,64.66,65.44
BG414,64.8,67.33,67.4
BG415,65.64,68.34,68.26
BG42,58.54,62.55,65.11
BG421,73.76,77.17,78.92
BG422,50.57,57.63,58.56
BG423,48.65,53.27,58.21
BG424,43.97,49.28,51.6
BG425,35.67,35.67,40.44
CH,97.11,97.43,98.11
CH0,97.11,97.43,98.11
CH01,97.68,97.85,98.23
CH011,97.67,97.95,98.4
CH012,94.97,95.14,95.86
CH013,100.0,100.0,100.0
CH02,93.18,94.08,95.65
CH021,92.82,93.9,95.5
CH022,92.98,93.86,96.21
CH023,96.63,97.86,97.9
CH024,96.39,96.58,96.63
CH025,79.86,78.52,85.64
CH03,99.06,99.13,99.54
CH031,100.0,100.0,100.0
CH032,99.07,99.15,99.38
CH033,98.75,98.86,99.47
CH04,99.81,99.77,99.83
CH040,99.81,99.77,99.83
CH05,97.3,97.67,98.45
CH051,99.31,99.35,99.35
CH052,98.15,97.56,99.44
CH053,98.24,98.27,99.58
CH054,99.12,99.12,99.15
CH055,99.22,99.25,99.3
CH056,90.71,91.9,94.1
CH057,98.42,99.23,99.83
CH06,98.02,97.99,98.47
CH061,98.38,98.41,98.65
CH062,88.96,89.14,94.75
CH063,98.53,98.28,98.29
CH064,96.61,96.65,98.0
CH065,97.53,97.53,97.53
CH066,99.92,99.89,99.89
CH07,97.0,97.54,97.87
CH070,97.0,97.54,97.87
CY,74.08,79.0,81.48
CY0,74.08,79.0,81.48
CY00,74.08,79.0,81.48
CY000,74.08,79.0,81.48
CZ,70.34,73.96,75.83
CZ0,70.34,73.96,75.83
CZ01,100.0,100.0,100.0
CZ010,100.0,100.0,100.0
CZ02,59.03,65.45,69.23
CZ020,59.03,65.45,69.23
CZ03,57.77,62.94,63.59
CZ031,62.59,64.83,66.02
CZ032,52.41,60.84,60.88
CZ04,76.52,80.27,81.15
CZ041,69.64,76.56,76.78
CZ042,79.03,81.63,82.74
CZ05,69.07,73.51,77.05
CZ051,68.88,76.98,83.67
CZ052,72.1,76.4,79.33
CZ053,65.84,67.33,68.9
CZ06,62.21,67.54,70.0
CZ063,53.32,56.18,59.44
CZ064,66.13,72.55,74.66
CZ07,63.46,64.81,66.68
CZ071,63.86,64.04,65.5
CZ072,63.04,65.63,67.97
CZ08,81.8,83.0,83.8
CZ080,81.8,83.0,83.8
DE,92.72,93.93,94.84
DE1,96.35,97.91,98.22
DE11,96.38,98.33,98.77
DE111,100.0,100.0,100.0
DE112,99.69,100.0,100.0
DE113,99.83,99.86,99.98
DE114,98.79,98.92,99.12
DE115,99.01,99.43,99.66
DE116,98.14,98.65,98.49
DE117,100.0,100.0,100.0
DE118,95.09,97.61,99.52
DE119,89.01,92.16,94.31
DE11A,83.08,94.62,94.67
DE11B,83.64,85.56,91.25
DE11C,88.37,99.2,99.32
DE11D,91.9,98.35,97.93
DE12,95.93,98.42,98.81
DE121,99.98,100.0,100.0
DE122,100.0,100.0,100.0
DE123,95.09,99.36,100.0
DE124,97.95,99.4,99.56
DE125,95.3,99.43,100.0
DE126,100.0,100.0,100.0
DE127,86.29,88.79,90.3
DE128,98.08,98.68,99.11
DE129,100.0,100.0,100.0
DE12A,81.18,97.06,97.96
DE12B,98.89,100.0,100.0
DE12C,87.16,92.19,92.57
DE13,97.29,97.69,97.91
DE131,100.0,100.0,100.0
DE132,99.01,99.09,99.17
DE133,98.8,98.93,99.26
DE134,98.17,98.6,98.79
DE135,89.66,93.24,93.94
DE136,96.29,96.39,97.15
DE137,96.15,96.11,96.61
DE138,99.12,99.28,99.22
DE139,96.23,96.2,96.2
DE13A,94.44,95.08,95.27
DE14,95.77,96.48,96.51
DE141,96.29,97.04,97.7
DE142,99.75,99.89,99.89
DE143,96.16,96.33,94.03
DE144,100.0,100.0,100.0
DE145,98.2,98.31,98.73
DE146,88.64,90.32,91.88
DE147,99.08,99.2,99.73
DE148,95.67,97.05,97.55
DE149,85.15,87.15,84.85
DE2,93.14,93.83,95.39
DE21,95.84,96.27,97.74
DE211,98.89,100.0,100.0
DE212,100.0,100.0,100.0
DE213,100.0,100.0,100.0
DE214,95.02,95.3,97.02
DE215,96.04,96.52,98.85
DE216,97.47,97.5,99.02
DE217,90.07,92.91,96.63
DE218,99.56,99.56,99.91
DE219,89.53,90.8,92.18
DE21A,89.57,90.22,96.68
DE21B,84.19,88.61,98.5
DE21C,96.56,96.59,99.11
DE21D,99.27,99.47,99.48
DE21E,91.44,91.63,95.93
DE21F,98.64,98.79,98.88
DE21G,87.42,83.94,92.26
DE21H,99.88,99.88,99.89
DE21I,81.53,80.41,82.22
DE21J,86.41,90.98,91.17
DE21K,94.86,96.31,97.37
DE21L,99.97,99.98,99.98
DE21M,90.54,90.52,91.38
DE21N,95.0,94.76,96.25
DE22,89.66,90.67,92.26
DE221,99.9,99.9,99.9
DE222,99.87,99.87,99.87
DE223,99.97,99.97,99.97
DE224,93.26,92.94,95.58
DE225,86.04,88.08,88.3
DE226,94.82,97.19,96.84
DE227,87.33,83.98,88.52
DE228,90.52,91.93,92.92
DE229,89.27,96.28,96.28
DE22A,76.51,76.47,80.08
DE22B,87.54,89.35,91.51
DE22C,85.3,88.3,90.04
DE23,88.67,90.72,92.21
