GEO,2023,2024,2025
AT,419870.0,439102.0,471794.0
AT1,270953.0,271582.0,292866.0
AT11,5370.0,5113.0,7020.0
AT111,612.0,403.0,695.0
AT112,3498.0,3946.0,4967.0
AT113,1260.0,764.0,1358.0
AT12,45347.0,47953.0,52410.0
AT121,4413.0,4778.0,4679.0
AT122,5155.0,4270.0,4375.0
AT123,5419.0,5281.0,6013.0
AT124,7303.0,7081.0,7543.0
AT125,1825.0,1749.0,2022.0
AT126,8183.0,5763.0,6386.0
AT127,13049.0,19031.0,21392.0
AT13,220236.0,218516.0,233436.0
AT130,220236.0,218516.0,233436.0
AT2,53961.0,57978.0,59354.0
AT21,22650.0,24671.0,24909.0
AT211,18133.0,19312.0,19221.0
AT212,1856.0,1761.0,2608.0
AT213,2661.0,3598.0,3080.0
AT22,31311.0,33307.0,34445.0
AT221,19917.0,17939.0,17070.0
AT222,1303.0,990.0,1215.0
AT223,3022.0,3528.0,4320.0
AT224,3253.0,4659.0,5497.0
AT225,2290.0,2943.0,2736.0
AT226,1526.0,3248.0,3607.0
AT3,94956.0,109542.0,119574.0
AT31,31600.0,37232.0,39715.0
AT311,4113.0,5179.0,4826.0
AT312,19916.0,23101.0,25090.0
AT313,1784.0,2523.0,2131.0
AT314,2572.0,2201.0,2865.0
AT315,3215.0,4228.0,4803.0
AT32,20423.0,25624.0,29907.0
AT321,522.0,361.0,576.0
AT322,5141.0,5674.0,5788.0
AT323,14760.0,19589.0,23543.0
AT33,27307.0,30025.0,33842.0
AT331,740.0,974.0,1299.0
AT332,15457.0,16954.0,18474.0
AT333,2448.0,2308.0,2157.0
AT334,1199.0,1381.0,1475.0
AT335,7463.0,8408.0,10437.0
AT34,15626.0,16661.0,16110.0
AT341,3000.0,3042.0,3108.0
AT342,12626.0,13619.0,13002.0
BE,596571.0,813022.0,896159.0
BE1,142949.0,150549.0,152302.0
BE10,142949.0,150549.0,152302.0
BE100,142949.0,150549.0,152302.0
BE2,441416.0,638648.0,707401.0
BE21,151098.0,211318.0,220999.0
BE211,107190.0,143026.0,147435.0
BE212,23809.0,33608.0,35840.0
BE213,20099.0,34684.0,37724.0
BE22,29437.0,47776.0,57686.0
BE223,5234.0,10410.0,13317.0
BE224,19940.0,30276.0,33064.0
BE225,4263.0,7090.0,11305.0
BE23,93511.0,141249.0,158769.0
BE231,14674.0,24405.0,31282.0
BE232,8255.0,16892.0,21621.0
BE233,2937.0,7742.0,7611.0
BE234,43283.0,57263.0,62922.0
BE235,4886.0,8798.0,9968.0
BE236,19476.0,26149.0,25365.0
BE24,55377.0,83293.0,101636.0
BE241,33836.0,50132.0,63018.0
BE242,21541.0,33161.0,38618.0
BE25,111993.0,155012.0,168311.0
