GEO,2023,2024,2025
AL,0.0,0.0,0.0
AL0,0.0,0.0,0.0
AL03,0.0,0.0,0.0
AL033,0.0,0.0,0.0
AL034,0.0,0.0,0.0
AL035,0.0,0.0,0.0
AT,1291238.0,1291238.0,1291238.0
AT1,563870.0,563870.0,563870.0
AT11,39016.0,39016.0,39016.0
AT111,4646.0,4646.0,4646.0
AT112,22484.0,22484.0,22484.0
AT113,11886.0,11886.0,11886.0
AT12,247413.0,247413.0,247413.0
AT121,38599.0,38599.0,38599.0
AT122,37894.0,37894.0,37894.0
AT123,23051.0,23051.0,23051.0
AT124,28204.0,28204.0,28204.0
AT125,16806.0,16806.0,16806.0
AT126,50893.0,50893.0,50893.0
AT127,51966.0,51966.0,51966.0
AT13,277441.0,277441.0,277441.0
AT130,277441.0,277441.0,277441.0
AT2,242915.0,242915.0,242915.0
AT21,74514.0,74514.0,74514.0
AT211,38673.0,38673.0,38673.0
AT212,15996.0,15996.0,15996.0
AT213,19845.0,19845.0,19845.0
AT22,168401.0,168401.0,168401.0
AT221,62849.0,62849.0,62849.0
AT222,10491.0,10491.0,10491.0
AT223,18834.0,18834.0,18834.0
AT224,37386.0,37386.0,37386.0
AT225,26236.0,26236.0,26236.0
AT226,12605.0,12605.0,12605.0
AT3,484453.0,484453.0,484453.0
AT31,227751.0,227751.0,227751.0
AT311,44347.0,44347.0,44347.0
AT312,90204.0,90204.0,90204.0
AT313,33844.0,33844.0,33844.0
AT314,23301.0,23301.0,23301.0
AT315,36055.0,36055.0,36055.0
AT32,82118.0,82118.0,82118.0
AT321,2769.0,2769.0,2769.0
AT322,25578.0,25578.0,25578.0
AT323,53771.0,53771.0,53771.0
AT33,111021.0,111021.0,111021.0
AT331,4651.0,4651.0,4651.0
AT332,43846.0,43846.0,43846.0
AT333,7035.0,7035.0,7035.0
AT334,16409.0,16409.0,16409.0
AT335,39080.0,39080.0,39080.0
AT34,63563.0,63563.0,63563.0
AT341,14701.0,14701.0,14701.0
AT342,48862.0,48862.0,48862.0
BA,617.0,617.0,617.0
BA0,617.0,617.0,617.0
BA01,462.0,462.0,462.0
BA02,155.0,155.0,155.0
BA03,0.0,0.0,0.0
BE,1931730.0,1931730.0,1931730.0
BE1,231191.0,231191.0,231191.0
BE10,231191.0,231191.0,231191.0
BE100,231191.0,231191.0,231191.0
BE2,1082231.0,1082231.0,1082231.0
BE21,316980.0,316980.0,316980.0
BE211,187469.0,187469.0,187469.0
BE212,56228.0,56228.0,56228.0
BE213,73283.0,73283.0,73283.0
BE22,135318.0,135318.0,135318.0
BE223,31298.0,31298.0,31298.0
BE224,64690.0,64690.0,64690.0
BE225,39330.0,39330.0,39330.0
BE23,248268.0,248268.0,248268.0
BE231,47805.0,47805.0,47805.0
BE232,32381.0,32381.0,32381.0
BE233,13115.0,13115.0,13115.0
BE234,90421.0,90421.0,90421.0
BE235,20146.0,20146.0,20146.0
BE236,44400.0,44400.0,44400.0
BE24,203646.0,203646.0,203646.0
BE241,123074.0,123074.0,123074.0
BE242,80572.0,80572.0,80572.0
BE25,178019.0,178019.0,178019.0
BE251,37852.0,37852.0,37852.0
BE252,8694.0,8694.0,8694.0
BE253,17237.0,17237.0,17237.0
BE254,47232.0,47232.0,47232.0
BE255,20539.0,20539.0,20539.0
BE256,24933.0,24933.0,24933.0
BE257,14947.0,14947.0,14947.0
BE258,6585.0,6585.0,6585.0
BE3,618308.0,618308.0,618308.0
BE31,68012.0,68012.0,68012.0
BE310,68012.0,68012.0,68012.0
BE32,227801.0,227801.0,227801.0
BE323,43717.0,43717.0,43717.0
BE328,36585.0,36585.0,36585.0
BE329,24127.0,24127.0,24127.0
BE32A,20707.0,20707.0,20707.0
BE32B,70219.0,70219.0,70219.0
BE32C,17856.0,17856.0,17856.0
BE32D,14590.0,14590.0,14590.0
BE33,188329.0,188329.0,188329.0
BE331,19146.0,19146.0,19146.0
BE332,105983.0,105983.0,105983.0
BE334,13775.0,13775.0,13775.0
BE335,36884.0,36884.0,36884.0
BE336,12541.0,12541.0,12541.0
BE34,51248.0,51248.0,51248.0
BE341,11025.0,11025.0,11025.0
BE342,9420.0,9420.0,9420.0
BE343,9363.0,9363.0,9363.0
BE344,11839.0,11839.0,11839.0
BE345,9601.0,9601.0,9601.0
BE35,82918.0,82918.0,82918.0
BE351,18712.0,18712.0,18712.0
BE352,53679.0,53679.0,53679.0
BE353,10527.0,10527.0,10527.0
BG,911624.0,911624.0,911624.0
BG3,441009.0,441009.0,441009.0
BG31,89935.0,89935.0,89935.0
BG311,8620.0,8620.0,8620.0
BG312,15195.0,15195.0,15195.0
BG313,21305.0,21305.0,21305.0
BG314,29312.0,29312.0,29312.0
BG315,15503.0,15503.0,15503.0
BG32,86177.0,86177.0,86177.0
BG321,25778.0,25778.0,25778.0
BG322,11468.0,11468.0,11468.0
BG323,23799.0,23799.0,23799.0
BG324,13370.0,13370.0,13370.0
BG325,11762.0,11762.0,11762.0
BG33,115959.0,115959.0,115959.0
BG331,63457.0,63457.0,63457.0
BG332,19371.0,19371.0,19371.0
BG333,20150.0,20150.0,20150.0
BG334,12981.0,12981.0,12981.0
BG34,148938.0,148938.0,148938.0
BG341,57006.0,57006.0,57006.0
BG342,32249.0,32249.0,32249.0
BG343,16433.0,16433.0,16433.0
BG344,43250.0,43250.0,43250.0
