GEO,2023,2024,2025
AT,8.37,13.13,12.03
AT1,10.73,17.54,14.96
AT12,0.0,5.36,14.69
AT126,0.0,0.0,0.0
AT127,0.0,5.75,15.78
AT13,11.1,17.96,14.97
AT130,11.1,17.96,14.97
AT2,3.31,1.29,2.59
AT21,15.48,6.04,12.13
AT211,15.48,6.04,12.13
AT22,0.0,0.0,0.0
AT221,0.0,0.0,0.0
AT3,2.91,4.32,7.07
AT31,1.94,1.94,4.67
AT312,1.94,1.94,4.67
AT32,4.51,10.43,16.7
AT323,4.51,10.43,16.7
AT33,4.96,4.96,4.96
AT332,4.96,4.96,4.96
AT34,0.0,0.0,0.0
AT342,0.0,0.0,0.0
BE,23.68,42.04,49.15
BE1,44.5,73.14,80.65
BE10,44.5,73.14,80.65
BE100,44.5,73.14,80.65
BE2,19.44,39.94,51.19
BE21,22.23,45.79,53.89
BE211,21.4,46.19,52.26
BE212,30.24,42.01,69.56
BE22,0.0,0.0,0.0
BE223,0.0,0.0,0.0
BE23,39.07,66.65,79.47
BE234,39.07,66.65,79.47
BE24,0.08,13.92,25.78
BE241,0.1,8.52,23.2
BE242,0.0,36.67,36.67
BE25,13.91,20.14,45.8
BE251,25.64,37.12,54.5
BE255,0.0,0.0,35.49
BE3,0.0,0.0,0.0
BE32,0.0,0.0,0.0
BE323,0.0,0.0,0.0
BE328,0.0,0.0,0.0
BE329,0.0,0.0,0.0
BE32B,0.0,0.0,0.0
BE32C,0.0,0.0,0.0
BE33,0.0,0.0,0.0
BE332,0.0,0.0,0.0
BE335,0.0,0.0,0.0
BE35,0.0,0.0,0.0
BE352,0.0,0.0,0.0
BG,0.36,0.59,0.59
BG3,0.95,1.58,1.58
BG31,0.0,0.0,0.0
BG314,0.0,0.0,0.0
BG32,0.0,3.73,3.73
BG321,0.0,0.0,0.0
BG323,0.0,5.63,5.63
BG33,2.3,2.3,2.3
BG331,3.28,3.28,3.28
BG332,0.0,0.0,0.0
BG333,0.0,0.0,0.0
BG34,0.0,0.0,0.0
BG341,0.0,0.0,0.0
BG342,0.0,0.0,0.0
BG344,0.0,0.0,0.0
BG4,0.0,0.0,0.0
BG41,0.0,0.0,0.0
BG411,0.0,0.0,0.0
BG42,0.0,0.0,0.0
BG421,0.0,0.0,0.0
BG422,0.0,0.0,0.0
BG423,0.0,0.0,0.0
CH,1.7,2.63,3.39
CH0,1.7,2.63,3.39
CH01,2.19,1.01,1.01
CH011,2.22,2.22,2.22
CH013,2.16,0.0,0.0
CH02,0.0,0.0,0.0
CH021,0.0,0.0,0.0
CH022,0.0,0.0,0.0
CH023,0.0,0.0,0.0
CH03,3.9,12.19,16.34
CH031,5.18,27.26,34.09
CH032,4.19,0.0,4.19
CH033,1.65,1.65,1.65
CH04,0.42,1.12,0.87
CH040,0.42,1.12,0.87
CH05,0.0,0.0,0.0
CH055,0.0,0.0,0.0
CH057,0.0,0.0,0.0
CH06,4.5,1.94,4.33
CH061,0.0,0.0,3.52
CH066,14.07,6.06,6.06
CH07,0.0,0.0,0.0
CH070,0.0,0.0,0.0
CY,0.0,0.0,0.0
CY0,0.0,0.0,0.0
CY00,0.0,0.0,0.0
CY000,0.0,0.0,0.0
CZ,0.0,1.51,1.81
CZ0,0.0,1.51,1.81
CZ01,0.0,3.2,3.85
CZ010,0.0,3.2,3.85
CZ02,0.0,0.0,0.0
CZ020,0.0,0.0,0.0
CZ03,0.0,0.0,0.0
CZ031,0.0,0.0,0.0
CZ032,0.0,0.0,0.0
CZ04,0.0,0.0,0.0
CZ042,0.0,0.0,0.0
CZ05,0.0,0.0,0.0
CZ051,0.0,0.0,0.0
CZ052,0.0,0.0,0.0
CZ053,0.0,0.0,0.0
CZ06,0.0,0.0,0.0
CZ064,0.0,0.0,0.0
CZ07,0.0,0.0,0.0
CZ071,0.0,0.0,0.0
CZ08,0.0,0.0,0.0
CZ080,0.0,0.0,0.0
DE,4.54,7.7,10.58
DE1,5.18,8.39,9.68
DE11,8.28,11.77,13.39
DE111,17.59,22.36,25.04
DE112,0.0,3.38,3.38
DE113,0.0,0.0,0.0
DE114,0.0,0.0,0.0
DE115,6.47,15.26,15.26
DE116,0.0,0.0,0.0
DE117,0.0,0.0,6.08
DE118,0.0,0.0,0.0
DE12,0.0,2.12,3.91
DE122,0.0,2.23,2.23
DE123,0.0,0.0,0.0
DE125,0.0,0.0,4.21
DE126,0.0,4.23,7.56
DE129,0.0,0.0,0.0
DE13,4.15,11.05,6.22
DE131,7.32,19.5,10.19
DE132,0.0,0.0,0.0
DE138,0.0,0.0,2.25
DE139,0.0,0.0,0.0
DE14,4.97,4.97,11.1
DE141,0.0,0.0,4.11
DE142,11.67,11.67,24.22
DE144,7.17,7.17,11.57
DE145,0.0,0.0,0.0
DE147,0.0,0.0,0.0
DE2,3.37,3.19,6.27
DE21,5.25,4.33,8.13
DE211,0.0,0.0,0.0
DE212,6.32,5.16,9.91
DE213,0.0,0.0,0.0
DE217,0.0,0.0,0.0
DE21H,2.16,2.16,2.16
DE21K,0.0,0.0,0.0
DE21L,0.0,0.0,0.0
DE22,0.0,0.0,0.0
DE221,0.0,0.0,0.0
DE227,0.0,0.0,0.0
DE23,2.87,6.07,9.99
DE232,3.12,6.58,10.83
DE238,0.0,0.0,0.0
DE24,0.0,0.0,0.0
DE241,0.0,0.0,0.0
DE242,0.0,0.0,0.0
DE245,0.0,0.0,0.0
DE25,0.0,0.94,4.77
DE252,0.0,0.0,0.0
DE253,0.0,0.0,22.52
DE254,0.0,1.5,1.5
DE255,0.0,0.0,0.0
DE257,0.0,0.0,0.0
DE258,0.0,0.0,0.0
DE26,2.51,6.03,6.03
DE261,0.0,0.0,0.0
DE262,10.01,10.01,10.01
DE263,0.0,8.4,8.4
DE26B,0.0,0.0,0.0
DE26C,0.0,0.0,0.0
DE27,2.53,1.15,2.53
DE271,2.29,0.0,2.29
DE273,9.02,9.02,9.02
DE276,0.0,0.0,0.0
DE279,0.0,0.0,0.0
DE27E,0.0,0.0,0.0
DE3,11.97,25.42,35.11
DE30,11.97,25.42,35.11
DE300,11.97,25.42,35.11
DE4,0.0,0.0,0.0
DE40,0.0,0.0,0.0
DE402,0.0,0.0,0.0
DE403,0.0,0.0,0.0
DE404,0.0,0.0,0.0
DE405,0.0,0.0,0.0
DE406,0.0,0.0,0.0
DE408,0.0,0.0,0.0
DE409,0.0,0.0,0.0
DE40A,0.0,0.0,0.0
DE40E,0.0,0.0,0.0
DE40H,0.0,0.0,0.0
DE5,0.0,1.54,0.84
DE50,0.0,1.54,0.84
DE501,0.0,1.91,1.05
DE502,0.0,0.0,0.0
DE6,12.96,17.32,23.26
DE60,12.96,17.32,23.26
DE600,12.96,17.32,23.26
DE7,1.66,2.09,2.44
DE71,1.91,2.41,2.81
DE711,0.0,0.0,0.0
DE712,0.0,0.44,0.44
DE713,0.0,0.0,0.0
DE714,0.0,0.0,4.23
DE717,30.75,35.18,30.75
DE718,0.0,0.0,0.0
DE719,0.0,0.0,0.0
DE71A,0.0,0.0,0.0
DE72,0.0,0.0,0.0
DE721,0.0,0.0,0.0
DE73,0.0,0.0,0.0
DE731,0.0,0.0,0.0
DE734,0.0,0.0,0.0
DE8,0.0,0.0,0.0
DE80,0.0,0.0,0.0
DE803,0.0,0.0,0.0
DE80M,0.0,0.0,0.0
DE9,1.57,8.16,9.75
DE91,2.74,4.5,10.53
DE911,0.0,5.45,17.33
DE913,4.48,0.0,0.0
DE91C,6.5,6.5,6.5
DE92,1.2,15.59,15.59
DE925,12.88,12.88,12.88
DE929,0.0,15.87,15.87
DE93,3.36,3.36,3.36
DE932,0.0,0.0,0.0
DE933,0.0,0.0,0.0
DE935,5.82,5.82,5.82
DE936,0.0,0.0,0.0
DE93B,0.0,0.0,0.0
DE94,0.69,0.69,1.12
DE941,0.0,0.0,0.0
DE943,0.0,0.0,1.0
DE944,2.28,2.28,2.28
DE946,0.0,0.0,0.0
DE94D,0.0,0.0,0.0
DE94G,0.0,0.0,0.0
DEA,3.17,4.59,5.55
DEA1,4.6,6.04,7.66
DEA11,16.52,21.25,24.87
DEA12,0.0,0.0,3.09
DEA13,10.5,10.5,11.17
DEA14,0.0,0.0,0.0
DEA15,3.9,3.9,7.43
DEA16,0.0,0.0,0.0
DEA17,0.0,4.79,8.49
DEA18,0.0,0.0,0.0
DEA19,0.0,0.0,0.0
DEA1A,0.0,0.0,0.0
DEA1C,0.0,2.83,0.0
DEA1D,0.0,5.18,9.56
DEA1E,0.0,0.0,0.0
DEA1F,0.0,0.0,0.0
DEA2,0.95,1.97,3.61
DEA22,3.39,3.39,6.74
DEA23,0.0,0.73,1.15
DEA24,0.0,0.0,5.16
DEA26,11.59,11.59,22.26
DEA27,0.0,0.0,0.0
DEA2B,0.0,0.0,0.0
DEA2C,0.0,0.0,0.0
DEA2D,0.22,6.21,8.13
DEA3,0.0,2.81,3.6
DEA31,0.0,0.0,7.78
DEA32,0.0,5.96,5.96
DEA33,0.0,5.49,5.49
DEA34,0.0,0.0,0.0
DEA36,0.0,0.0,0.0
DEA4,0.0,0.0,1.41
DEA41,0.0,0.0,0.0
DEA42,0.0,0.0,0.0
DEA47,0.0,0.0,5.73
DEA5,5.42,6.72,5.46
DEA51,0.0,4.11,4.11
DEA52,15.94,15.94,12.4
DEA53,0.0,0.0,0.0
DEA54,4.59,4.59,7.19
DEA55,0.0,0.0,0.0
DEA56,0.0,2.58,2.58
DEA58,0.0,4.31,0.0
DEA5C,0.0,0.0,0.0
DEB,1.66,2.69,2.69
DEB1,0.0,0.0,0.0
DEB11,0.0,0.0,0.0
DEB17,0.0,0.0,0.0
DEB1A,0.0,0.0,0.0
DEB2,0.0,0.0,0.0
DEB21,0.0,0.0,0.0
DEB3,2.21,3.57,3.57
DEB31,0.0,0.0,0.0
DEB32,0.0,10.23,10.23
DEB34,0.0,0.0,0.0
DEB35,6.22,6.22,6.22
DEC,0.0,0.0,0.0
DEC0,0.0,0.0,0.0
DEC01,0.0,0.0,0.0
DED,0.76,0.24,6.72
DED2,0.0,0.0,0.0
DED21,0.0,0.0,0.0
DED2D,0.0,0.0,0.0
DED2E,0.0,0.0,0.0
DED2F,0.0,0.0,0.0
DED4,0.0,0.0,0.0
DED41,0.0,0.0,0.0
DED44,0.0,0.0,0.0
DED5,1.79,0.57,15.94
DED51,1.87,0.6,16.61
DED52,0.0,0.0,0.0
DEE,0.0,0.0,0.0
DEE0,0.0,0.0,0.0
DEE02,0.0,0.0,0.0
DEE03,0.0,0.0,0.0
DEF,0.0,0.0,0.0
DEF0,0.0,0.0,0.0
DEF01,0.0,0.0,0.0
DEF02,0.0,0.0,0.0
DEF03,0.0,0.0,0.0
DEF04,0.0,0.0,0.0
DEF06,0.0,0.0,0.0
DEF08,0.0,0.0,0.0
DEF09,0.0,0.0,0.0
DEF0A,0.0,0.0,0.0
DEF0B,0.0,0.0,0.0
DEF0C,0.0,0.0,0.0
DEF0D,0.0,0.0,0.0
DEF0F,0.0,0.0,0.0
DEG,0.0,0.0,0.0
DEG0,0.0,0.0,0.0
DEG01,0.0,0.0,0.0
DEG02,0.0,0.0,0.0
DEG03,0.0,0.0,0.0
DK,19.75,25.33,31.35
DK0,19.75,25.33,31.35
DK01,26.09,32.56,39.31
DK011,41.13,53.16,61.15
DK012,3.78,2.01,6.96
DK013,0.0,0.0,0.0
DK02,0.0,0.0,10.7
DK021,0.0,0.0,10.7
DK03,0.0,1.92,1.92
DK031,0.0,1.92,1.92
DK04,3.02,7.48,13.29
DK042,3.02,7.48,13.29
DK05,0.0,2.22,3.85
DK050,0.0,2.22,3.85
EE,0.0,0.0,0.0
EE0,0.0,0.0,0.0
EE00,0.0,0.0,0.0
EE001,0.0,0.0,0.0
EE008,0.0,0.0,0.0
EE00A,0.0,0.0,0.0
EL,0.0,0.31,0.11
EL3,0.0,0.0,0.17
EL30,0.0,0.0,0.17
EL301,0.0,0.0,0.0
EL302,0.0,0.0,0.0
EL303,0.0,0.0,0.66
EL304,0.0,0.0,0.0
EL305,0.0,0.0,0.0
EL306,0.0,0.0,0.0
EL307,0.0,0.0,0.0
EL4,0.0,0.0,0.0
EL43,0.0,0.0,0.0
EL431,0.0,0.0,0.0
EL434,0.0,0.0,0.0
EL5,0.0,1.5,0.0
EL51,0.0,22.98,0.0
EL512,0.0,22.98,0.0
EL52,0.0,0.0,0.0
EL522,0.0,0.0,0.0
EL525,0.0,0.0,0.0
EL526,0.0,0.0,0.0
EL54,0.0,0.0,0.0
EL543,0.0,0.0,0.0
EL6,0.0,0.0,0.0
EL61,0.0,0.0,0.0
EL612,0.0,0.0,0.0
EL613,0.0,0.0,0.0
EL63,0.0,0.0,0.0
EL632,0.0,0.0,0.0
EL64,0.0,0.0,0.0
EL642,0.0,0.0,0.0
EL65,0.0,0.0,0.0
EL653,0.0,0.0,0.0
ES,0.89,1.21,1.12
ES1,0.0,1.15,1.15
ES11,0.0,0.0,0.0
ES111,0.0,0.0,0.0
ES112,0.0,0.0,0.0
ES113,0.0,0.0,0.0
ES114,0.0,0.0,0.0
ES12,0.0,3.75,3.75
ES120,0.0,3.75,3.75
ES13,0.0,0.0,0.0
ES130,0.0,0.0,0.0
ES2,0.0,1.3,0.0
ES21,0.0,1.27,0.0
ES211,0.0,0.0,0.0
ES212,0.0,0.0,0.0
ES213,0.0,2.3,0.0
ES22,0.0,4.39,0.0
ES220,0.0,4.39,0.0
ES23,0.0,0.0,0.0
ES230,0.0,0.0,0.0
ES24,0.0,0.0,0.0
ES241,0.0,0.0,0.0
ES243,0.0,0.0,0.0
ES3,0.45,1.51,1.5
ES30,0.45,1.51,1.5
ES300,0.45,1.51,1.5
ES4,0.0,0.0,0.0
ES41,0.0,0.0,0.0
ES412,0.0,0.0,0.0
ES413,0.0,0.0,0.0
ES414,0.0,0.0,0.0
ES415,0.0,0.0,0.0
ES418,0.0,0.0,0.0
ES419,0.0,0.0,0.0
ES42,0.0,0.0,0.0
ES421,0.0,0.0,0.0
ES422,0.0,0.0,0.0
ES424,0.0,0.0,0.0
ES425,0.0,0.0,0.0
ES43,0.0,0.0,0.0
ES431,0.0,0.0,0.0
ES432,0.0,0.0,0.0
ES5,2.46,1.85,1.61
ES51,4.01,3.01,2.63
ES511,4.52,3.39,2.96
ES512,0.0,0.0,0.0
ES513,0.0,0.0,0.0
ES514,0.0,0.0,0.0
ES52,0.0,0.0,0.0
ES521,0.0,0.0,0.0
ES522,0.0,0.0,0.0
ES523,0.0,0.0,0.0
ES53,0.0,0.0,0.0
ES531,0.0,0.0,0.0
ES532,0.0,0.0,0.0
ES6,0.0,0.39,0.99
ES61,0.0,0.48,1.2
ES611,0.0,0.0,0.0
ES612,0.0,0.0,0.0
ES613,0.0,0.0,0.0
ES614,0.0,0.0,5.28
ES615,0.0,0.0,0.0
ES616,0.0,0.0,0.0
ES617,0.0,1.34,0.0
ES618,0.0,0.68,2.56
ES62,0.0,0.0,0.0
ES620,0.0,0.0,0.0
ES63,0.0,0.0,0.0
ES630,0.0,0.0,0.0
ES64,0.0,0.0,0.0
ES640,0.0,0.0,0.0
ES7,0.0,0.0,0.0
ES70,0.0,0.0,0.0
ES705,0.0,0.0,0.0
ES708,0.0,0.0,0.0
ES709,0.0,0.0,0.0
FI,3.14,4.0,4.17
FI1,3.14,4.0,4.17
FI19,0.0,0.62,0.0
FI198,0.0,0.0,0.0
FI19B,0.0,0.79,0.0
FI1B,4.49,5.59,5.32
FI1B1,4.49,5.59,5.32
FI1C,0.0,0.0,3.71
FI1C1,0.0,0.0,4.74
FI1C6,0.0,0.0,0.0
FI1D,0.0,0.0,0.0
FI1D9,0.0,0.0,0.0
FR,0.77,0.81,0.71
FR1,1.29,1.11,0.56
FR10,1.29,1.11,0.56
FR101,7.15,5.93,3.19
FR102,0.0,0.0,0.0
FR103,0.0,0.0,0.0
FR104,0.0,0.05,0.05
FR105,0.87,0.87,0.0
FR106,0.34,0.34,0.34
FR107,0.0,0.0,0.0
FR108,0.0,0.0,0.0
FRB,0.0,0.0,0.0
FRB0,0.0,0.0,0.0
FRB01,0.0,0.0,0.0
FRB02,0.0,0.0,0.0
FRB04,0.0,0.0,0.0
FRB06,0.0,0.0,0.0
FRC,0.0,0.0,0.0
FRC1,0.0,0.0,0.0
FRC11,0.0,0.0,0.0
FRC2,0.0,0.0,0.0
FRC21,0.0,0.0,0.0
FRC24,0.0,0.0,0.0
FRD,0.0,0.0,0.0
FRD1,0.0,0.0,0.0
FRD11,0.0,0.0,0.0
FRD12,0.0,0.0,0.0
FRD2,0.0,0.0,0.0
FRD22,0.0,0.0,0.0
FRE,0.0,0.0,0.0
FRE1,0.0,0.0,0.0
FRE11,0.0,0.0,0.0
FRE12,0.0,0.0,0.0
FRE2,0.0,0.0,0.0
FRE22,0.0,0.0,0.0
FRE23,0.0,0.0,0.0
FRF,0.0,0.83,1.82
FRF1,0.0,0.62,2.45
FRF11,0.0,1.05,4.17
FRF12,0.0,0.0,0.0
FRF2,0.0,0.0,0.0
FRF22,0.0,0.0,0.0
FRF23,0.0,0.0,0.0
FRF3,0.0,2.14,2.14
FRF31,0.0,0.0,0.0
FRF33,0.0,4.65,4.65
FRG,0.0,0.0,0.0
FRG0,0.0,0.0,0.0
FRG01,0.0,0.0,0.0
FRG02,0.0,0.0,0.0
FRG04,0.0,0.0,0.0
FRH,0.0,0.0,0.0
FRH0,0.0,0.0,0.0
FRH02,0.0,0.0,0.0
FRH03,0.0,0.0,0.0
FRH04,0.0,0.0,0.0
FRI,0.0,0.0,0.43
FRI1,0.0,0.0,0.0
FRI12,0.0,0.0,0.0
FRI15,0.0,0.0,0.0
FRI2,0.0,0.0,4.87
FRI23,0.0,0.0,4.87
FRI3,0.0,0.0,0.0
FRI32,0.0,0.0,0.0
FRI34,0.0,0.0,0.0
FRJ,0.0,0.0,0.0
FRJ1,0.0,0.0,0.0
FRJ12,0.0,0.0,0.0
FRJ13,0.0,0.0,0.0
FRJ15,0.0,0.0,0.0
FRJ2,0.0,0.0,0.0
FRJ23,0.0,0.0,0.0
FRJ26,0.0,0.0,0.0
FRK,0.68,0.68,0.68
FRK1,0.0,0.0,0.0
FRK14,0.0,0.0,0.0
FRK2,0.73,0.73,0.73
FRK22,0.0,0.0,0.0
FRK23,0.0,0.0,0.0
FRK24,0.0,0.0,0.0
FRK25,0.0,0.0,0.0
FRK26,1.25,1.25,1.25
FRK27,0.0,0.0,0.0
FRK28,0.0,0.0,0.0
FRL,1.16,2.04,3.06
FRL0,1.16,2.04,3.06
FRL03,4.14,7.32,7.32
FRL04,0.0,0.0,2.01
FRL05,0.0,0.0,0.0
FRL06,0.0,0.0,0.0
FRM,0.0,0.0,0.0
FRM0,0.0,0.0,0.0
FRM01,0.0,0.0,0.0
HR,0.0,0.0,0.0
HR0,0.0,0.0,0.0
HR02,0.0,0.0,0.0
HR025,0.0,0.0,0.0
HR03,0.0,0.0,0.0
HR031,0.0,0.0,0.0
HR033,0.0,0.0,0.0
HR035,0.0,0.0,0.0
HR05,0.0,0.0,0.0
HR050,0.0,0.0,0.0
HU,0.0,0.0,0.0
HU1,0.0,0.0,0.0
HU11,0.0,0.0,0.0
HU110,0.0,0.0,0.0
HU12,0.0,0.0,0.0
HU120,0.0,0.0,0.0
HU2,0.0,0.0,0.0
HU21,0.0,0.0,0.0
HU211,0.0,0.0,0.0
HU212,0.0,0.0,0.0
HU22,0.0,0.0,0.0
HU221,0.0,0.0,0.0
HU222,0.0,0.0,0.0
HU23,0.0,0.0,0.0
HU231,0.0,0.0,0.0
HU3,0.0,0.0,0.0
HU31,0.0,0.0,0.0
HU311,0.0,0.0,0.0
HU32,0.0,0.0,0.0
HU321,0.0,0.0,0.0
HU323,0.0,0.0,0.0
HU33,0.0,0.0,0.0
HU331,0.0,0.0,0.0
HU333,0.0,0.0,0.0
IE,0.0,0.25,0.0
IE0,0.0,0.25,0.0
IE04,0.0,0.0,0.0
IE042,0.0,0.0,0.0
IE05,0.0,0.0,0.0
IE051,0.0,0.0,0.0
IE053,0.0,0.0,0.0
IE06,0.0,0.31,0.0
IE061,0.0,0.31,0.0
IT,0.63,1.67,2.58
ITC,1.31,4.48,7.45
ITC1,2.22,10.27,18.12
ITC11,2.63,12.15,21.44
ITC15,0.0,0.0,0.0
ITC17,0.0,0.0,0.0
ITC18,0.0,0.0,0.0
ITC3,1.61,1.61,1.61
ITC32,0.0,0.0,0.0
ITC33,2.11,2.11,2.11
ITC34,0.0,0.0,0.0
ITC4,1.02,3.21,5.16
ITC41,0.0,0.0,0.0
ITC42,0.0,0.0,0.0
ITC43,0.0,0.0,0.0
ITC46,0.0,0.0,0.0
ITC47,0.0,2.44,2.44
ITC48,0.0,0.0,0.0
ITC4A,0.0,0.0,0.0
ITC4C,1.76,5.34,8.72
ITC4D,0.0,0.0,0.0
ITF,0.0,0.0,0.0
ITF1,0.0,0.0,0.0
ITF13,0.0,0.0,0.0
ITF14,0.0,0.0,0.0
ITF3,0.0,0.0,0.0
ITF31,0.0,0.0,0.0
ITF33,0.0,0.0,0.0
ITF35,0.0,0.0,0.0
ITF4,0.0,0.0,0.0
ITF43,0.0,0.0,0.0
ITF44,0.0,0.0,0.0
ITF45,0.0,0.0,0.0
ITF46,0.0,0.0,0.0
ITF47,0.0,0.0,0.0
ITF48,0.0,0.0,0.0
ITF5,0.0,0.0,0.0
ITF52,0.0,0.0,0.0
ITF6,0.0,0.0,0.0
ITF61,0.0,0.0,0.0
ITF65,0.0,0.0,0.0
ITG,0.0,0.0,0.0
ITG1,0.0,0.0,0.0
ITG11,0.0,0.0,0.0
ITG12,0.0,0.0,0.0
ITG13,0.0,0.0,0.0
ITG15,0.0,0.0,0.0
ITG17,0.0,0.0,0.0
ITG18,0.0,0.0,0.0
ITG19,0.0,0.0,0.0
ITG2,0.0,0.0,0.0
ITG2D,0.0,0.0,0.0
ITG2F,0.0,0.0,0.0
