GEO,2023,2024,2025
AT,26548.0,21757.0,19200.0
AT1,7039.0,5456.0,3903.0
AT11,270.0,270.0,224.0
AT111,0.0,0.0,0.0
AT112,164.0,164.0,118.0
AT113,106.0,106.0,106.0
AT12,6280.0,4933.0,3643.0
AT121,460.0,414.0,519.0
AT122,1080.0,1452.0,819.0
AT123,646.0,832.0,416.0
AT124,120.0,191.0,373.0
AT125,17.0,17.0,0.0
AT126,2537.0,1579.0,1111.0
AT127,1420.0,448.0,405.0
AT13,489.0,253.0,36.0
AT130,489.0,253.0,36.0
AT2,6935.0,5950.0,6026.0
AT21,1953.0,2128.0,2068.0
AT211,1440.0,1440.0,1380.0
AT212,143.0,143.0,143.0
AT213,370.0,545.0,545.0
AT22,4982.0,3822.0,3958.0
AT221,2906.0,2328.0,2605.0
AT222,0.0,0.0,0.0
AT223,1146.0,929.0,929.0
AT224,269.0,72.0,72.0
AT225,573.0,405.0,317.0
AT226,88.0,88.0,35.0
AT3,12574.0,10351.0,9271.0
AT31,5770.0,4011.0,4246.0
AT311,526.0,328.0,477.0
AT312,3055.0,1815.0,2202.0
AT313,100.0,626.0,626.0
AT314,937.0,364.0,190.0
AT315,1152.0,878.0,751.0
AT32,1162.0,1039.0,565.0
AT321,0.0,0.0,0.0
AT322,192.0,143.0,143.0
AT323,970.0,896.0,422.0
AT33,4126.0,3849.0,3229.0
AT331,207.0,90.0,90.0
AT332,2389.0,2253.0,1613.0
AT333,151.0,261.0,261.0
AT334,683.0,737.0,938.0
AT335,696.0,508.0,327.0
AT34,1516.0,1452.0,1231.0
AT341,141.0,77.0,77.0
AT342,1375.0,1375.0,1154.0
BE,108721.0,70117.0,56148.0
BE1,0.0,0.0,0.0
BE10,0.0,0.0,0.0
BE100,0.0,0.0,0.0
BE2,21903.0,4369.0,2264.0
BE21,4689.0,517.0,491.0
BE211,1026.0,471.0,491.0
BE212,1362.0,0.0,0.0
BE213,2301.0,46.0,0.0
BE22,6817.0,1624.0,798.0
BE223,1773.0,851.0,411.0
BE224,2433.0,335.0,305.0
BE225,2611.0,438.0,82.0
BE23,4319.0,965.0,515.0
BE231,1627.0,454.0,246.0
BE232,696.0,47.0,0.0
BE233,55.0,0.0,0.0
BE234,1029.0,204.0,98.0
BE235,236.0,0.0,0.0
BE236,676.0,260.0,171.0
BE24,4657.0,943.0,364.0
BE241,2160.0,592.0,364.0
