GEO,2023,2024,2025
AT,63414.0,73176.0,77493.0
AT1,26694.0,27532.0,28247.0
AT11,1856.0,1780.0,2111.0
AT112,1324.0,1439.0,1579.0
AT113,532.0,341.0,532.0
AT12,20256.0,21170.0,22661.0
AT121,1609.0,1744.0,1609.0
AT122,2997.0,3128.0,3101.0
AT123,3570.0,3513.0,3936.0
AT124,2158.0,2197.0,2665.0
AT125,484.0,484.0,484.0
AT126,5248.0,3517.0,4031.0
AT127,4190.0,6587.0,6835.0
AT13,4582.0,4582.0,3475.0
AT130,4582.0,4582.0,3475.0
AT2,9401.0,12993.0,12855.0
AT21,4481.0,6541.0,6200.0
AT211,3268.0,4847.0,4814.0
AT212,475.0,457.0,648.0
AT213,738.0,1237.0,738.0
AT22,4920.0,6452.0,6655.0
AT221,1092.0,710.0,628.0
AT223,1253.0,1445.0,1649.0
AT224,1129.0,1694.0,2215.0
AT225,860.0,1369.0,929.0
AT226,586.0,1234.0,1234.0
AT3,27319.0,32651.0,36391.0
AT31,7138.0,9089.0,9843.0
AT311,2663.0,3256.0,2822.0
AT312,1019.0,1428.0,1697.0
AT313,592.0,1403.0,1285.0
AT314,1269.0,1217.0,1629.0
AT315,1595.0,1785.0,2410.0
AT32,1960.0,3260.0,4842.0
AT322,1142.0,1142.0,1307.0
AT323,818.0,2118.0,3535.0
AT33,9662.0,10820.0,12293.0
AT331,657.0,657.0,861.0
AT332,3607.0,3901.0,4470.0
AT333,857.0,610.0,610.0
AT334,,,84.0
AT335,4541.0,5652.0,6268.0
AT34,8559.0,9482.0,9413.0
AT341,1870.0,1870.0,1957.0
AT342,6689.0,7612.0,7456.0
BE,169524.0,278082.0,327430.0
BE1,77.0,,
BE10,77.0,,
BE100,77.0,,
BE2,166634.0,268867.0,313078.0
BE21,44107.0,69257.0,75547.0
BE211,20453.0,29903.0,33191.0
BE212,9899.0,16675.0,17651.0
BE213,13755.0,22679.0,24705.0
BE22,13959.0,25582.0,31434.0
BE223,2194.0,4585.0,6664.0
BE224,9704.0,17225.0,19222.0
BE225,2061.0,3772.0,5548.0
BE23,45019.0,76865.0,88782.0
BE231,11689.0,19685.0,25135.0
BE232,5784.0,12104.0,15686.0
BE233,1784.0,3913.0,3762.0
BE234,6027.0,11656.0,15140.0
BE235,3170.0,6474.0,7304.0
BE236,16565.0,23033.0,21755.0
BE24,23354.0,38165.0,51278.0
BE241,15000.0,23649.0,32495.0
BE242,8354.0,14516.0,18783.0
BE25,40195.0,58998.0,66037.0
BE251,4739.0,7508.0,7361.0
BE252,297.0,440.0,999.0
BE253,2220.0,4409.0,5221.0
BE254,18817.0,25035.0,27902.0
BE255,1295.0,2365.0,3325.0
BE256,9040.0,13761.0,14082.0
BE257,2336.0,3171.0,4056.0
BE258,1451.0,2309.0,3091.0
BE3,2813.0,9215.0,14352.0
BE31,190.0,3187.0,3187.0
BE310,190.0,3187.0,3187.0
BE32,1305.0,2802.0,5404.0
BE323,,,1112.0
BE328,472.0,1071.0,2290.0
BE32B,833.0,833.0,833.0
BE32C,,898.0,1169.0
BE33,813.0,1775.0,3363.0
BE331,,,209.0
BE332,286.0,1097.0,1395.0
BE334,,,64.0
BE335,398.0,549.0,549.0
BE336,129.0,129.0,1146.0
BE34,206.0,793.0,793.0
BE343,,448.0,448.0
BE344,206.0,345.0,345.0
BE35,299.0,658.0,1605.0
BE351,,322.0,322.0
BE352,299.0,336.0,1283.0
BG,5948.0,9475.0,18095.0
BG3,3011.0,4657.0,10800.0
BG31,1073.0,1641.0,4450.0
BG311,542.0,542.0,542.0
BG312,,,945.0
BG313,531.0,531.0,1689.0
BG315,,568.0,1274.0
BG32,632.0,914.0,2894.0
BG321,632.0,632.0,797.0
BG324,,,738.0
BG325,,282.0,1359.0
BG33,819.0,819.0,1999.0
BG331,819.0,819.0,1999.0
BG34,487.0,1283.0,1457.0
BG341,487.0,551.0,725.0
BG343,,732.0,732.0
BG4,2937.0,4818.0,7295.0
BG41,1056.0,1694.0,3266.0
BG411,209.0,209.0,209.0
BG412,,638.0,1158.0
BG413,847.0,847.0,1083.0
BG415,,,816.0
BG42,1881.0,3124.0,4029.0
BG421,,,122.0
BG422,861.0,1100.0,1883.0
BG423,153.0,1157.0,1157.0
BG425,867.0,867.0,867.0
