GEO,2023,2024,2025
AT,422513.0,421568.0,415721.0
AT1,134457.0,137648.0,134275.0
AT11,25317.0,24624.0,23577.0
AT111,3892.0,3642.0,3474.0
AT112,12225.0,11944.0,11005.0
AT113,9200.0,9038.0,9098.0
AT12,108397.0,112247.0,109973.0
AT121,22703.0,23416.0,22932.0
AT122,13738.0,14605.0,14563.0
AT123,9800.0,10928.0,10045.0
AT124,18359.0,18590.0,18384.0
AT125,12971.0,13027.0,12938.0
AT126,19658.0,20587.0,19991.0
AT127,11168.0,11094.0,11120.0
AT13,743.0,777.0,725.0
AT130,743.0,777.0,725.0
AT2,120096.0,118329.0,117363.0
AT21,40571.0,41764.0,41152.0
AT211,14215.0,15570.0,15560.0
AT212,12144.0,12200.0,12029.0
AT213,14212.0,13994.0,13563.0
AT22,79525.0,76565.0,76211.0
AT221,12151.0,11669.0,11782.0
AT222,6742.0,6901.0,6730.0
AT223,8143.0,7853.0,7608.0
AT224,27582.0,25969.0,26395.0
AT225,17661.0,17185.0,16843.0
AT226,7246.0,6988.0,6853.0
AT3,167960.0,165591.0,164083.0
AT31,105314.0,105962.0,105519.0
AT311,31271.0,31193.0,30916.0
AT312,20981.0,21481.0,21597.0
AT313,23955.0,24528.0,25049.0
AT314,12023.0,12184.0,11958.0
AT315,17084.0,16576.0,15999.0
AT32,23503.0,22306.0,21622.0
AT321,1754.0,1584.0,1480.0
AT322,9658.0,8987.0,9226.0
AT323,12091.0,11735.0,10916.0
AT33,31043.0,29081.0,28697.0
AT331,1838.0,1729.0,1781.0
AT332,5606.0,5586.0,5205.0
AT333,3581.0,3452.0,3630.0
AT334,8025.0,7718.0,8081.0
AT335,11993.0,10596.0,10000.0
AT34,8100.0,8242.0,8245.0
AT341,4192.0,4391.0,4235.0
AT342,3908.0,3851.0,4010.0
BE,306904.0,259682.0,236561.0
BE1,50.0,39.0,39.0
BE10,50.0,39.0,39.0
BE100,50.0,39.0,39.0
BE2,116205.0,74933.0,56925.0
BE21,17658.0,10222.0,8673.0
BE211,4461.0,2554.0,1819.0
BE212,2760.0,1201.0,1042.0
BE213,10437.0,6467.0,5812.0
BE22,19346.0,14196.0,10483.0
BE223,5067.0,3795.0,2797.0
BE224,6538.0,4111.0,3732.0
BE225,7741.0,6290.0,3954.0
BE23,29906.0,17373.0,12911.0
BE231,3803.0,2418.0,1869.0
BE232,2060.0,998.0,797.0
BE233,4024.0,2900.0,2293.0
BE234,9271.0,5072.0,3586.0
BE235,6381.0,3693.0,2641.0
BE236,4367.0,2292.0,1725.0
BE24,21280.0,13770.0,10540.0
BE241,6543.0,4207.0,3067.0
BE242,14737.0,9563.0,7473.0
BE25,28015.0,19372.0,14318.0
BE251,4863.0,3024.0,2307.0
BE252,4664.0,3439.0,2648.0
BE253,6890.0,4743.0,3658.0
BE254,1906.0,1234.0,675.0
BE255,1946.0,1560.0,1174.0
BE256,1901.0,1245.0,938.0
BE257,4073.0,2837.0,1733.0
BE258,1772.0,1290.0,1185.0
BE3,190649.0,184710.0,179597.0
BE31,15520.0,14996.0,14702.0
BE310,15520.0,14996.0,14702.0
BE32,50064.0,48301.0,47313.0
BE323,7992.0,7861.0,7783.0
BE328,11941.0,11745.0,11607.0
BE329,1336.0,1360.0,1295.0
BE32A,11436.0,11311.0,11024.0
BE32B,4315.0,3604.0,3546.0
BE32C,5130.0,4767.0,4584.0
BE32D,7914.0,7653.0,7474.0
BE33,45233.0,43526.0,41745.0
BE331,9233.0,9110.0,8737.0
BE332,8114.0,7862.0,7460.0
BE334,8994.0,8693.0,8605.0
BE335,12412.0,11660.0,10870.0
BE336,6480.0,6201.0,6073.0
BE34,35512.0,34910.0,33760.0
BE341,3632.0,3828.0,3776.0
BE342,7263.0,7191.0,7013.0
BE343,7125.0,6669.0,6196.0
BE344,9584.0,9405.0,9080.0
BE345,7908.0,7817.0,7695.0
BE35,44320.0,42977.0,42077.0
BE351,15221.0,14809.0,14517.0
BE352,21033.0,20286.0,19513.0
BE353,8066.0,7882.0,8047.0
BG,284270.0,282528.0,281902.0
BG3,173130.0,171777.0,171489.0
BG31,42617.0,42565.0,42488.0
BG311,4242.0,4242.0,4242.0
BG312,7172.0,7172.0,7138.0
BG313,10523.0,10523.0,10523.0
BG314,12638.0,12638.0,12638.0
BG315,8042.0,7990.0,7947.0
BG32,36025.0,36007.0,35932.0
BG321,10282.0,10264.0,10264.0
BG322,3072.0,3072.0,3072.0
BG323,7281.0,7281.0,7280.0
BG324,7905.0,7905.0,7905.0
BG325,7485.0,7485.0,7411.0
BG33,37409.0,36997.0,36868.0
BG331,14016.0,13633.0,13576.0
BG332,7823.0,7794.0,7722.0
BG333,9460.0,9460.0,9460.0
BG334,6110.0,6110.0,6110.0
BG34,57079.0,56208.0,56201.0
BG341,20320.0,19522.0,19530.0
BG342,16417.0,16417.0,16402.0
BG343,5945.0,5945.0,5945.0
BG344,14397.0,14324.0,14324.0
BG4,111140.0,110751.0,110413.0
BG41,46110.0,45768.0,45514.0
BG411,6826.0,6819.0,6789.0
BG412,14601.0,14601.0,14563.0
BG413,16295.0,15988.0,15936.0
BG414,3957.0,3929.0,3872.0
BG415,4431.0,4431.0,4354.0
BG42,65030.0,64983.0,64899.0
BG421,24619.0,24611.0,24614.0
BG422,10283.0,10272.0,10272.0
BG423,14563.0,14541.0,14541.0
BG424,6843.0,6837.0,6837.0
BG425,8722.0,8722.0,8635.0
CH,245522.0,240213.0,231356.0
CH0,245522.0,240213.0,231356.0
CH01,44050.0,43474.0,41428.0
CH011,28921.0,28880.0,27978.0
CH012,12786.0,12513.0,11340.0
CH013,2343.0,2081.0,2110.0
CH02,82559.0,81232.0,78537.0
CH021,40959.0,39648.0,38168.0
CH022,23567.0,23048.0,22932.0
CH023,6532.0,6496.0,6453.0
CH024,4809.0,5085.0,4732.0
CH025,6692.0,6955.0,6252.0
CH03,17365.0,16827.0,16427.0
CH031,38.0,38.0,38.0
CH032,4395.0,4354.0,4304.0
CH033,12932.0,12435.0,12085.0
CH04,17831.0,17196.0,16836.0
CH040,17831.0,17196.0,16836.0
CH05,45439.0,45065.0,43822.0
CH051,1728.0,1549.0,1343.0
CH052,3219.0,3211.0,3211.0
CH053,3330.0,3330.0,3358.0
CH054,1094.0,1084.0,1063.0
CH055,13512.0,13314.0,12746.0
CH056,9774.0,9802.0,9820.0
CH057,12782.0,12775.0,12281.0
