GEO,2023,2024,2025
AT,96.62,96.59,96.17
AT1,96.29,96.63,96.0
AT11,95.71,95.9,93.61
AT111,92.4,95.65,90.68
AT112,94.5,93.72,91.33
AT113,99.02,99.25,98.33
AT12,96.4,96.77,96.51
AT121,95.13,94.75,94.31
AT122,95.17,97.59,97.73
AT123,97.45,98.25,97.46
AT124,95.31,95.91,95.85
AT125,96.48,96.88,94.95
AT126,97.78,97.35,98.25
AT127,99.06,99.06,98.71
AT13,100.0,100.0,100.0
AT130,100.0,100.0,100.0
AT2,97.58,97.88,97.35
AT21,96.45,97.57,97.04
AT211,95.19,98.46,98.29
AT212,97.24,97.35,96.42
AT213,97.15,96.8,96.21
AT22,98.17,98.04,97.51
AT221,99.45,99.45,99.45
AT222,93.26,94.56,94.01
AT223,99.79,99.49,99.49
AT224,98.0,97.74,97.4
AT225,99.52,99.53,98.58
AT226,97.7,95.9,94.27
AT3,96.24,95.73,95.55
AT31,98.31,98.24,98.55
AT311,98.9,98.51,98.2
AT312,99.98,99.94,100.0
AT313,96.92,97.82,98.18
AT314,96.94,97.51,97.51
AT315,98.16,96.85,98.61
AT32,92.24,91.21,90.72
AT321,91.01,92.99,89.02
AT322,88.34,86.01,86.54
AT323,97.16,97.16,96.06
AT33,93.94,92.57,91.23
AT331,100.0,96.67,94.38
AT332,93.45,92.64,92.67
AT333,95.25,93.18,95.25
AT334,91.11,89.95,89.39
AT335,94.85,93.58,90.42
AT34,96.46,96.19,96.34
AT341,94.76,94.31,94.57
AT342,99.03,99.03,99.03
BE,98.12,95.59,94.38
BE1,72.94,46.33,46.33
BE10,72.94,46.33,46.33
BE100,72.94,46.33,46.33
BE2,96.5,91.43,89.26
BE21,97.65,91.52,91.17
BE211,96.43,90.45,90.93
BE212,97.18,96.24,92.14
BE213,98.32,90.58,90.98
BE22,98.96,96.46,93.65
BE223,99.58,94.29,91.34
BE224,99.49,97.88,95.96
BE225,98.07,96.82,93.36
BE23,96.48,91.25,88.97
BE231,98.88,98.88,98.5
BE232,96.41,95.26,96.41
BE233,99.9,87.09,85.61
BE234,95.72,91.15,86.65
BE235,97.02,95.0,94.64
BE236,92.68,82.95,79.27
BE24,98.56,96.29,95.47
BE241,99.23,98.27,96.96
BE242,98.19,95.21,94.65
BE25,93.34,85.98,82.47
BE251,91.11,86.72,87.93
BE252,92.78,86.52,82.11
BE253,94.9,90.69,83.11
BE254,93.86,93.77,86.57
BE255,91.99,89.24,84.78
BE256,89.86,74.65,74.28
BE257,100.0,82.05,78.07
BE258,85.02,81.93,81.48
BE3,99.58,99.3,98.94
BE31,99.96,99.87,99.69
BE310,99.96,99.87,99.69
BE32,99.11,99.12,98.93
BE323,100.0,100.0,99.78
BE328,99.82,99.82,99.8
BE329,100.0,100.0,96.99
BE32A,98.52,98.52,98.52
BE32B,99.89,100.0,99.13
BE32C,100.0,100.0,100.0
BE32D,96.81,96.81,96.87
BE33,99.77,99.49,99.28
BE331,100.0,100.0,99.78
BE332,99.34,99.34,99.34
BE334,100.0,100.0,100.0
BE335,99.77,98.78,98.94
BE336,99.72,99.72,98.25
BE34,99.69,98.85,97.7
BE341,100.0,100.0,100.0
BE342,99.16,99.16,95.46
BE343,100.0,97.27,95.07
BE344,99.52,99.37,98.82
BE345,100.0,98.82,100.0
BE35,99.67,99.48,99.36
BE351,99.35,99.91,99.86
BE352,99.79,99.14,98.96
BE353,99.92,99.57,99.49
BG,99.95,99.62,99.53
BG3,99.98,99.47,99.38
BG31,100.0,100.0,99.93
BG311,100.0,100.0,100.0
BG312,100.0,100.0,100.0
BG313,100.0,100.0,100.0
BG314,100.0,100.0,100.0
BG315,99.98,99.98,99.63
BG32,100.0,99.88,99.88
BG321,100.0,100.0,100.0
BG322,100.0,98.63,98.63
BG323,100.0,100.0,100.0
BG324,100.0,100.0,100.0
BG325,100.0,100.0,100.0
BG33,99.99,99.67,99.66
BG331,99.96,99.11,99.1
BG332,100.0,100.0,100.0
BG333,100.0,100.0,100.0
BG334,100.0,100.0,100.0
BG34,99.94,98.72,98.5
BG341,99.88,96.54,97.23
BG342,100.0,100.0,100.0
BG343,100.0,100.0,100.0
BG344,99.94,99.94,98.09
BG4,99.92,99.85,99.77
BG41,99.8,99.65,99.44
BG411,100.0,100.0,100.0
BG412,99.97,99.97,99.97
BG413,99.93,99.48,98.9
BG414,100.0,100.0,100.0
BG415,98.33,98.33,98.33
BG42,100.0,100.0,100.0
BG421,100.0,100.0,100.0
BG422,100.0,100.0,100.0
BG423,100.0,100.0,100.0
BG424,100.0,100.0,100.0
BG425,99.99,99.99,99.99
CH,98.68,98.6,97.86
CH0,98.68,98.6,97.86
CH01,99.4,98.69,97.53
CH011,99.34,98.25,97.18
CH012,99.39,99.39,97.83
CH013,100.0,100.0,100.0
CH02,98.73,98.65,98.06
CH021,97.51,97.34,96.91
CH022,100.0,100.0,100.0
CH023,100.0,100.0,100.0
CH024,100.0,100.0,100.0
CH025,100.0,100.0,95.27
CH03,100.0,100.0,100.0
CH031,100.0,100.0,100.0
CH032,100.0,100.0,100.0
CH033,100.0,100.0,100.0
CH04,93.92,94.94,94.94
CH040,93.92,94.94,94.94
CH05,98.73,98.73,97.74
CH051,100.0,100.0,100.0
CH052,100.0,100.0,100.0
CH053,100.0,100.0,100.0
CH054,100.0,100.0,100.0
CH055,100.0,100.0,98.1
CH056,95.02,95.02,94.82
CH057,100.0,100.0,98.5
CH06,99.21,99.21,98.09
CH061,99.4,99.4,98.19
CH062,100.0,100.0,93.14
CH063,100.0,100.0,100.0
CH064,91.77,91.77,91.77
CH065,100.0,100.0,100.0
CH066,100.0,100.0,100.0
CH07,99.86,99.86,99.53
CH070,99.86,99.86,99.53
CY,100.0,100.0,99.86
CY0,100.0,100.0,99.86
CY00,100.0,100.0,99.86
CY000,100.0,100.0,99.86
CZ,99.91,99.95,99.94
CZ0,99.91,99.95,99.94
CZ01,100.0,100.0,100.0
CZ010,100.0,100.0,100.0
CZ02,99.98,99.98,99.98
CZ020,99.98,99.98,99.98
CZ03,100.0,100.0,100.0
CZ031,100.0,99.99,100.0
CZ032,100.0,100.0,100.0
CZ04,99.47,99.47,99.47
CZ041,98.31,98.31,98.31
CZ042,100.0,100.0,100.0
CZ05,100.0,100.0,100.0
CZ051,100.0,100.0,100.0
CZ052,100.0,100.0,100.0
CZ053,100.0,100.0,100.0
CZ06,99.79,100.0,100.0
CZ063,99.46,100.0,100.0
CZ064,100.0,100.0,100.0
CZ07,100.0,100.0,100.0
CZ071,100.0,100.0,100.0
CZ072,100.0,100.0,100.0
CZ08,100.0,100.0,99.89
CZ080,100.0,100.0,99.89
DE,98.93,98.55,98.17
DE1,98.84,97.74,97.3
DE11,99.44,98.62,98.45
DE111,100.0,100.0,100.0
DE112,99.92,90.88,90.88
DE113,89.78,84.96,84.96
DE114,100.0,97.71,97.5
DE115,100.0,100.0,100.0
DE116,100.0,100.0,100.0
DE117,97.92,97.92,96.59
DE118,100.0,100.0,100.0
DE119,100.0,99.87,99.87
DE11A,100.0,100.0,99.17
DE11B,100.0,100.0,100.0
DE11C,100.0,100.0,100.0
DE11D,99.27,98.16,98.16
DE12,99.27,97.16,96.27
DE121,100.0,100.0,100.0
DE122,100.0,100.0,100.0
DE123,99.8,96.46,93.5
DE124,99.42,99.42,99.42
DE125,100.0,100.0,97.07
DE126,100.0,100.0,100.0
DE127,99.06,99.06,99.06
DE128,100.0,100.0,97.26
DE129,100.0,99.05,99.05
DE12A,96.86,90.11,90.11
DE12B,100.0,97.37,97.37
DE12C,100.0,98.09,98.09
DE13,97.88,96.61,96.32
DE131,98.31,98.31,98.31
DE132,97.67,95.98,96.37
DE133,94.92,94.46,94.46
DE134,97.77,95.78,94.04
DE135,100.0,100.0,100.0
DE136,95.02,95.02,95.59
DE137,97.89,96.08,96.08
DE138,100.0,95.86,95.83
DE139,100.0,100.0,100.0
DE13A,97.62,97.62,97.03
DE14,98.9,98.36,97.8
DE141,97.34,97.34,97.34
DE142,100.0,100.0,100.0
DE143,99.8,100.0,100.0
DE144,100.0,100.0,100.0
DE145,97.76,96.3,96.3
DE146,100.0,99.32,98.08
DE147,99.6,100.0,98.51
DE148,97.71,96.48,95.35
DE149,100.0,100.0,100.0
DE2,98.33,98.06,97.46
DE21,98.02,97.86,97.12
DE211,99.65,99.65,99.01
DE212,100.0,100.0,100.0
DE213,100.0,100.0,100.0
DE214,100.0,100.0,100.0
DE215,100.0,95.14,95.14
DE216,100.0,100.0,96.65
DE217,93.95,93.95,93.95
DE218,93.01,93.01,93.01
DE219,98.34,99.02,99.02
DE21A,98.55,98.23,98.23
DE21B,99.92,99.95,97.3
DE21C,100.0,100.0,100.0
DE21D,100.0,97.27,88.41
DE21E,100.0,100.0,98.94
DE21F,100.0,100.0,99.68
DE21G,100.0,100.0,100.0
DE21H,92.82,92.82,92.82
DE21I,100.0,100.0,100.0
DE21J,100.0,100.0,98.6
DE21K,98.1,97.53,96.72
DE21L,89.65,89.65,89.65
DE21M,95.84,95.61,95.61
DE21N,96.13,98.06,97.94
DE22,98.17,98.17,97.87
DE221,100.0,100.0,100.0
DE222,100.0,100.0,100.0
DE223,100.0,100.0,100.0
DE224,100.0,100.0,100.0
DE225,97.8,97.8,97.26
DE226,97.14,97.14,100.0
DE227,98.65,98.65,98.65
DE228,97.87,97.84,96.51
DE229,95.82,95.82,93.64
DE22A,100.0,100.0,99.05
DE22B,100.0,100.0,100.0
DE22C,94.31,94.31,94.31
DE23,98.94,97.58,97.29
DE231,100.0,90.36,90.36
DE232,100.0,100.0,100.0
DE233,100.0,100.0,100.0
DE234,100.0,97.41,95.53
DE235,100.0,98.88,98.41
DE236,97.08,97.08,97.08
DE237,100.0,96.76,95.47
DE238,97.46,97.29,97.29
DE239,98.91,97.34,98.91
DE23A,100.0,98.51,98.51
DE24,98.9,99.36,98.49
DE241,100.0,100.0,100.0
DE242,100.0,100.0,100.0
DE243,100.0,100.0,100.0
DE244,100.0,100.0,100.0
DE245,97.05,97.05,95.54
DE246,100.0,100.0,99.21
DE247,100.0,100.0,100.0
DE248,100.0,100.0,100.0
DE249,94.99,99.02,94.99
DE24A,100.0,100.0,100.0
DE24B,100.0,100.0,100.0
DE24C,100.0,100.0,100.0
DE24D,100.0,100.0,100.0
DE25,98.99,98.22,96.99
DE251,100.0,100.0,100.0
DE252,100.0,100.0,100.0
DE253,100.0,100.0,100.0
DE254,100.0,100.0,100.0
DE255,100.0,100.0,100.0
DE256,98.69,95.77,95.77
DE257,100.0,100.0,100.0
DE258,95.83,95.83,95.83
DE259,100.0,100.0,100.0
DE25A,97.82,99.74,95.2
DE25B,100.0,98.78,98.78
DE25C,100.0,100.0,95.85
DE26,97.23,97.23,96.96
DE261,100.0,100.0,100.0
DE262,100.0,100.0,100.0
DE263,100.0,100.0,100.0
DE264,100.0,100.0,100.0
DE265,95.64,95.64,95.64
DE266,98.47,98.47,96.17
DE267,100.0,100.0,100.0
DE268,90.34,90.34,90.34
DE269,100.0,100.0,100.0
DE26A,99.54,99.54,99.54
DE26B,95.53,95.53,95.18
DE26C,96.34,96.34,96.34
DE27,98.68,98.43,97.85
DE271,100.0,95.03,95.03
DE272,100.0,100.0,97.71
DE273,97.18,94.6,94.6
DE274,100.0,100.0,100.0
DE275,100.0,99.3,99.3
DE276,100.0,100.0,98.86
DE277,100.0,100.0,100.0
DE278,100.0,98.97,98.97
DE279,99.9,97.09,97.05
DE27A,95.53,95.53,93.25
DE27B,97.45,96.02,95.97
DE27C,99.88,99.88,96.05
DE27D,97.82,98.85,100.0
DE27E,95.99,97.23,97.62
DE3,100.0,100.0,100.0
DE30,100.0,100.0,100.0
DE300,100.0,100.0,100.0
DE4,99.43,99.22,99.12
DE40,99.43,99.22,99.12
DE401,100.0,100.0,100.0
DE402,96.0,96.0,96.0
DE403,100.0,100.0,100.0
DE404,100.0,100.0,100.0
DE405,98.25,98.25,98.25
DE406,100.0,100.0,100.0
DE407,100.0,100.0,100.0
DE408,100.0,100.0,100.0
DE409,100.0,100.0,100.0
DE40A,100.0,100.0,98.83
DE40B,100.0,99.62,99.29
DE40C,100.0,100.0,100.0
DE40D,100.0,100.0,100.0
DE40E,97.45,97.37,97.37
DE40F,100.0,100.0,100.0
DE40G,98.08,98.08,98.08
DE40H,100.0,97.78,97.78
DE40I,100.0,100.0,100.0
DE5,100.0,100.0,98.54
DE50,100.0,100.0,98.54
DE501,100.0,100.0,98.24
DE502,100.0,100.0,100.0
DE6,100.0,100.0,100.0
DE60,100.0,100.0,100.0
DE600,100.0,100.0,100.0
DE7,98.97,99.02,98.46
DE71,98.77,99.34,99.08
DE711,100.0,100.0,100.0
DE712,100.0,100.0,100.0
DE713,100.0,100.0,100.0
DE714,100.0,100.0,100.0
DE715,99.89,97.82,97.82
DE716,98.16,98.16,100.0
DE717,100.0,100.0,100.0
DE718,90.54,100.0,100.0
DE719,100.0,99.93,99.88
DE71A,100.0,100.0,100.0
DE71B,97.6,97.6,97.6
DE71C,100.0,100.0,73.71
DE71D,100.0,100.0,100.0
DE71E,100.0,100.0,100.0
DE72,99.81,99.81,99.6
DE721,100.0,100.0,98.82
DE722,100.0,100.0,100.0
DE723,99.39,99.39,99.39
DE724,99.7,99.7,99.7
DE725,100.0,100.0,100.0
DE73,98.47,98.09,96.98
DE731,100.0,100.0,100.0
DE732,98.77,98.77,98.77
DE733,100.0,100.0,95.7
DE734,96.79,96.79,95.74
DE735,97.54,96.06,96.74
DE736,98.98,98.98,95.8
DE737,100.0,99.45,99.45
DE8,99.62,99.14,98.58
DE80,99.62,99.14,98.58
DE803,100.0,100.0,100.0
DE804,100.0,100.0,97.62
DE80J,100.0,100.0,98.89
DE80K,100.0,98.44,98.02
DE80L,99.13,98.81,98.81
DE80M,98.2,98.13,98.06
DE80N,99.96,99.21,97.43
DE80O,99.92,99.92,99.92
DE9,99.18,99.03,98.86
DE91,99.05,99.42,99.89
DE911,100.0,100.0,100.0
DE912,100.0,100.0,100.0
DE913,98.16,98.16,98.16
DE914,100.0,100.0,100.0
DE916,99.59,99.59,99.59
DE917,99.56,99.56,99.56
DE918,100.0,100.0,100.0
DE91A,100.0,100.0,100.0
DE91B,95.88,98.97,100.0
DE91C,98.35,98.35,100.0
DE92,100.0,99.25,98.82
DE922,100.0,98.89,97.78
DE923,100.0,100.0,100.0
DE925,100.0,97.33,95.74
DE926,100.0,100.0,100.0
DE927,100.0,98.93,98.93
DE928,100.0,100.0,100.0
DE929,100.0,99.98,100.0
DE93,98.67,98.77,98.72
DE931,100.0,100.0,100.0
DE932,99.01,99.01,100.0
DE933,100.0,100.0,100.0
DE934,100.0,100.0,100.0
DE935,100.0,100.0,98.75
DE936,100.0,100.0,98.76
DE937,97.77,98.63,99.07
DE938,100.0,99.69,99.11
DE939,92.62,92.62,92.62
DE93A,100.0,100.0,100.0
DE93B,100.0,100.0,100.0
DE94,99.18,98.9,98.4
DE941,100.0,100.0,100.0
DE942,100.0,100.0,100.0
DE943,95.04,95.04,95.04
DE944,100.0,100.0,100.0
DE945,100.0,100.0,100.0
DE946,100.0,100.0,98.28
DE947,100.0,99.77,99.77
DE948,98.64,98.64,98.34
DE949,98.19,98.64,98.11
DE94A,97.45,97.45,97.45
DE94B,96.02,96.02,92.72
DE94C,100.0,100.0,100.0
DE94D,100.0,100.0,100.0
DE94E,100.0,99.29,98.25
DE94F,100.0,97.99,97.99
DE94G,100.0,97.8,100.0
DE94H,98.94,98.94,98.94
DEA,98.84,98.24,97.74
DEA1,98.93,98.93,98.27
DEA11,95.15,95.15,95.15
DEA12,100.0,100.0,100.0
DEA13,100.0,100.0,100.0
DEA14,100.0,100.0,100.0
DEA15,94.78,94.78,94.78
DEA16,100.0,100.0,100.0
DEA17,100.0,100.0,100.0
DEA18,100.0,100.0,100.0
DEA19,100.0,100.0,100.0
DEA1A,100.0,100.0,100.0
DEA1B,100.0,100.0,98.1
DEA1C,100.0,100.0,100.0
DEA1D,100.0,100.0,100.0
DEA1E,98.64,98.64,98.64
DEA1F,97.29,97.29,97.29
DEA2,99.69,98.89,98.66
DEA22,100.0,100.0,100.0
DEA23,98.54,98.54,98.54
DEA24,100.0,100.0,100.0
DEA26,99.38,95.18,95.29
DEA27,100.0,99.93,99.93
DEA28,100.0,99.18,97.72
DEA29,100.0,100.0,100.0
DEA2A,100.0,100.0,100.0
DEA2B,100.0,100.0,100.0
DEA2C,100.0,100.0,100.0
DEA2D,97.72,97.72,97.72
DEA3,97.13,96.24,95.69
DEA31,100.0,100.0,100.0
DEA32,100.0,100.0,100.0
DEA33,100.0,99.44,99.44
DEA34,93.82,93.51,92.21
DEA35,95.92,95.92,95.82
DEA36,100.0,100.0,96.56
DEA37,97.97,97.97,97.97
DEA38,99.85,95.99,95.99
DEA4,99.29,98.32,97.44
DEA41,100.0,100.0,100.0
DEA42,97.66,97.66,97.61
DEA43,100.0,100.0,100.0
DEA44,100.0,97.79,97.79
DEA45,100.0,100.0,100.0
DEA46,99.94,100.0,97.46
DEA47,98.45,95.2,93.57
DEA5,99.12,99.12,98.89
DEA51,100.0,100.0,100.0
DEA52,100.0,100.0,100.0
DEA53,97.99,97.99,97.99
DEA54,100.0,100.0,100.0
DEA55,100.0,100.0,100.0
DEA56,100.0,100.0,100.0
DEA57,97.94,97.94,98.49
DEA58,99.77,99.72,99.72
DEA59,100.0,100.0,100.0
DEA5A,100.0,100.0,100.0
DEA5B,98.57,98.57,96.94
DEA5C,99.68,99.68,99.68
DEB,99.31,99.25,99.18
DEB1,99.65,99.71,99.78
DEB11,100.0,100.0,100.0
DEB12,100.0,99.53,99.53
DEB13,97.72,100.0,100.0
DEB14,100.0,99.97,100.0
DEB15,100.0,100.0,100.0
DEB17,100.0,99.96,99.96
DEB18,100.0,100.0,100.0
DEB1A,100.0,100.0,99.37
DEB1B,100.0,100.0,100.0
DEB1C,98.53,97.13,98.53
DEB1D,100.0,100.0,100.0
DEB2,99.49,99.49,99.06
DEB21,100.0,100.0,100.0
DEB22,100.0,100.0,98.6
DEB23,98.49,98.49,98.3
DEB24,99.28,99.28,99.28
DEB25,100.0,100.0,100.0
DEB3,98.73,98.46,98.46
DEB31,100.0,100.0,100.0
DEB32,100.0,100.0,100.0
DEB33,100.0,100.0,100.0
DEB34,100.0,100.0,100.0
DEB35,100.0,100.0,100.0
DEB36,100.0,100.0,100.0
DEB37,100.0,100.0,100.0
DEB38,100.0,100.0,100.0
DEB39,100.0,100.0,100.0
DEB3A,100.0,100.0,100.0
DEB3B,100.0,100.0,100.0
DEB3C,98.66,98.66,98.66
DEB3D,100.0,100.0,100.0
DEB3E,100.0,100.0,100.0
DEB3F,100.0,100.0,100.0
DEB3G,100.0,100.0,100.0
DEB3H,100.0,100.0,100.0
DEB3I,83.36,83.36,83.36
DEB3J,92.73,90.04,90.04
DEB3K,100.0,100.0,100.0
DEC,99.24,99.24,98.42
DEC0,99.24,99.24,98.42
DEC01,100.0,100.0,100.0
DEC02,99.65,99.65,96.47
DEC03,100.0,100.0,100.0
DEC04,100.0,100.0,100.0
DEC05,100.0,100.0,100.0
DEC06,97.47,97.47,97.47
DED,99.62,99.56,99.5
DED2,100.0,99.99,99.99
DED21,100.0,99.28,99.28
DED2C,100.0,100.0,100.0
DED2D,100.0,100.0,100.0
DED2E,100.0,100.0,100.0
DED2F,100.0,100.0,100.0
DED4,99.04,98.93,98.98
DED41,100.0,100.0,100.0
DED42,100.0,100.0,98.5
DED43,100.0,99.73,99.73
DED44,95.17,95.17,97.66
DED45,99.65,99.61,99.61
DED5,99.99,99.95,99.52
DED51,99.64,99.64,99.64
DED52,100.0,100.0,99.18
DED53,100.0,99.91,99.91
DEE,99.86,99.82,99.62
DEE0,99.86,99.82,99.62
DEE01,100.0,100.0,100.0
DEE02,100.0,100.0,100.0
DEE03,100.0,100.0,100.0
DEE04,98.0,98.0,98.0
DEE05,100.0,100.0,99.21
DEE06,100.0,100.0,100.0
DEE07,99.94,99.94,99.94
DEE08,100.0,99.78,99.78
DEE09,100.0,99.8,100.0
DEE0A,99.96,99.96,97.93
DEE0B,100.0,100.0,100.0
DEE0C,99.96,99.96,99.96
DEE0D,100.0,100.0,99.86
DEE0E,100.0,100.0,100.0
DEF,97.96,96.93,96.48
DEF0,97.96,96.93,96.48
DEF01,100.0,100.0,100.0
DEF02,100.0,100.0,100.0
DEF03,95.31,95.31,95.31
DEF04,100.0,100.0,100.0
DEF05,95.03,94.96,94.07
DEF06,100.0,100.0,99.11
DEF07,95.87,95.28,94.83
DEF08,97.76,98.15,98.31
DEF09,100.0,93.92,93.73
DEF0A,93.36,93.07,93.07
DEF0B,97.51,97.41,97.41
DEF0C,98.81,94.29,93.55
DEF0D,99.73,100.0,98.44
DEF0E,100.0,100.0,100.0
DEF0F,100.0,100.0,100.0
DEG,99.16,98.84,98.53
DEG0,99.16,98.84,98.53
DEG01,100.0,100.0,100.0
DEG02,100.0,100.0,87.3
DEG03,100.0,100.0,100.0
DEG05,93.57,93.57,93.57
DEG06,97.03,97.03,95.44
DEG07,96.84,96.84,98.51
DEG09,100.0,100.0,100.0
DEG0A,100.0,100.0,97.45
DEG0C,100.0,99.32,99.32
DEG0D,95.87,95.87,95.87
DEG0E,99.22,99.22,99.22
DEG0G,100.0,100.0,100.0
DEG0J,96.88,96.88,96.88
DEG0K,100.0,97.31,100.0
DEG0L,100.0,100.0,100.0
DEG0M,100.0,100.0,100.0
DEG0Q,100.0,98.58,97.01
DEG0R,100.0,100.0,100.0
DEG0S,100.0,100.0,100.0
DEG0T,100.0,99.49,99.49
DEG0U,100.0,100.0,100.0
DEG0V,100.0,100.0,100.0
DK,98.12,95.26,92.0
DK0,98.12,95.26,92.0
DK01,98.05,93.78,91.18
DK011,100.0,100.0,100.0
DK012,97.06,96.99,93.59
DK013,100.0,95.58,93.15
DK014,89.15,83.65,80.46
DK02,98.36,96.16,91.09
DK021,99.95,98.95,94.88
DK022,97.88,95.31,89.94
DK03,98.21,95.23,92.08
DK031,98.28,95.97,93.5
DK032,98.18,94.81,91.26
DK04,98.28,95.5,92.59
DK041,97.77,97.34,95.07
DK042,98.63,94.25,90.9
DK05,97.3,94.2,92.29
DK050,97.3,94.2,92.29
EE,100.0,99.62,99.44
EE0,100.0,99.62,99.44
EE00,100.0,99.62,99.44
EE001,100.0,100.0,100.0
EE004,100.0,100.0,100.0
EE008,100.0,100.0,99.44
EE009,100.0,98.04,98.04
EE00A,100.0,100.0,100.0
EL,99.94,99.59,99.28
EL3,99.98,98.25,97.58
EL30,99.98,98.25,97.58
EL301,100.0,100.0,100.0
EL302,100.0,100.0,100.0
EL303,100.0,100.0,100.0
EL304,100.0,100.0,100.0
EL305,100.0,97.3,96.26
EL306,100.0,100.0,100.0
EL307,99.86,99.86,99.86
EL4,99.97,99.84,99.19
EL41,99.97,99.77,99.77
EL411,99.95,99.95,99.95
EL412,100.0,100.0,100.0
EL413,100.0,98.94,98.94
EL42,99.91,99.61,97.65
EL421,99.94,99.29,97.91
EL422,99.88,99.88,97.41
EL43,100.0,100.0,99.93
EL431,100.0,100.0,99.85
EL432,100.0,100.0,100.0
EL433,100.0,100.0,100.0
EL434,100.0,100.0,100.0
EL5,99.87,99.85,99.68
EL51,99.99,99.95,99.66
EL511,99.94,99.94,99.94
EL512,100.0,100.0,100.0
EL513,100.0,100.0,100.0
EL514,100.0,100.0,100.0
EL515,100.0,99.87,98.84
EL52,99.75,99.73,99.56
EL521,100.0,100.0,99.7
EL522,100.0,99.96,99.93
EL523,100.0,100.0,100.0
EL524,100.0,99.96,99.96
EL525,100.0,100.0,100.0
EL526,100.0,100.0,99.93
EL527,98.53,98.53,97.78
EL53,100.0,100.0,100.0
EL531,100.0,100.0,100.0
EL532,100.0,100.0,100.0
EL533,100.0,100.0,100.0
EL54,100.0,100.0,100.0
EL541,100.0,100.0,100.0
EL542,100.0,100.0,100.0
EL543,100.0,100.0,100.0
EL6,99.99,99.4,99.18
EL61,100.0,99.64,99.64
EL611,100.0,100.0,100.0
EL612,100.0,99.75,99.75
EL613,100.0,98.92,98.92
EL62,100.0,99.93,99.79
EL621,100.0,100.0,99.18
EL622,100.0,99.95,99.95
EL623,100.0,99.77,100.0
EL624,100.0,100.0,100.0
EL63,99.97,99.97,99.97
EL631,99.93,99.93,99.93
EL632,100.0,100.0,100.0
EL633,100.0,100.0,100.0
EL64,100.0,97.84,97.12
EL641,100.0,100.0,100.0
EL642,100.0,99.97,98.05
EL643,100.0,100.0,100.0
EL644,100.0,92.69,92.69
EL645,100.0,100.0,100.0
EL65,100.0,99.97,99.83
EL651,100.0,99.91,99.48
EL652,100.0,100.0,100.0
EL653,100.0,100.0,100.0
ES,99.54,99.48,99.43
ES1,99.98,99.73,99.89
ES11,100.0,99.72,99.97
ES111,100.0,100.0,99.93
ES112,100.0,99.12,100.0
ES113,100.0,98.91,100.0
ES114,100.0,100.0,100.0
ES12,99.88,99.72,99.7
ES120,99.88,99.72,99.7
ES13,100.0,99.73,99.73
ES130,100.0,99.73,99.73
ES2,99.67,99.65,99.67
ES21,100.0,99.92,100.0
ES211,100.0,100.0,100.0
ES212,100.0,100.0,100.0
ES213,100.0,99.81,100.0
ES22,100.0,100.0,100.0
ES220,100.0,100.0,100.0
ES23,100.0,99.96,99.96
ES230,100.0,99.96,99.96
ES24,99.08,99.08,99.08
ES241,100.0,100.0,100.0
ES242,100.0,100.0,100.0
ES243,98.23,98.23,98.23
ES3,99.77,99.85,99.85
ES30,99.77,99.85,99.85
ES300,99.77,99.85,99.85
ES4,99.92,99.81,99.63
ES41,99.94,99.75,99.77
ES411,99.42,99.42,99.42
ES412,100.0,100.0,100.0
ES413,100.0,100.0,100.0
ES414,100.0,100.0,100.0
ES415,99.97,99.97,99.97
ES416,100.0,99.06,100.0
ES417,100.0,99.95,98.94
ES418,100.0,99.79,99.79
ES419,100.0,99.57,98.85
ES42,100.0,100.0,99.45
ES421,100.0,100.0,96.1
ES422,99.99,99.99,99.99
ES423,100.0,100.0,100.0
