GEO,2023,2024,2025
AT,90.55,90.15,91.3
AT1,92.74,92.17,92.65
AT11,91.64,93.68,93.65
AT111,90.68,95.7,96.81
AT112,95.04,98.16,97.94
AT113,87.04,86.13,85.84
AT12,92.95,91.77,92.38
AT121,94.27,93.28,93.58
AT122,93.28,90.47,90.48
AT123,96.9,96.01,96.07
AT124,91.04,87.76,89.11
AT125,83.68,82.16,82.43
AT126,94.87,95.95,96.02
AT127,96.21,96.26,98.96
AT13,97.36,99.45,99.45
AT130,97.36,99.45,99.45
AT2,86.09,84.81,86.92
AT21,83.28,79.8,81.91
AT211,89.29,86.17,87.51
AT212,81.12,77.44,82.91
AT213,78.64,74.96,75.11
AT22,87.56,87.43,89.54
AT221,88.57,90.16,95.09
AT222,90.48,86.68,92.46
AT223,85.01,79.89,78.97
AT224,89.23,89.95,91.09
AT225,89.33,89.6,90.17
AT226,74.43,77.35,81.55
AT3,91.75,92.04,93.08
AT31,90.12,90.34,92.31
AT311,88.13,90.68,93.29
AT312,92.39,92.58,94.93
AT313,90.32,87.01,87.1
AT314,85.44,85.65,90.32
AT315,93.78,94.93,96.08
AT32,95.85,96.78,96.58
AT321,86.96,94.91,95.02
AT322,98.15,97.04,97.03
AT323,94.67,96.8,96.31
AT33,90.93,90.96,90.74
AT331,95.66,95.54,93.68
AT332,87.67,85.59,89.51
AT333,72.05,74.84,68.42
AT334,89.05,90.05,89.45
AT335,97.58,97.16,97.24
AT34,98.3,98.3,98.57
AT341,99.85,99.85,99.43
AT342,95.95,95.95,97.27
BE,88.85,93.05,95.11
BE1,100.0,100.0,100.0
BE10,100.0,100.0,100.0
BE100,100.0,100.0,100.0
BE2,99.92,99.97,100.0
BE21,99.87,99.98,100.0
BE211,99.91,99.91,100.0
BE212,100.0,100.0,100.0
BE213,99.82,100.0,100.0
BE22,99.79,100.0,100.0
BE223,100.0,100.0,100.0
BE224,99.71,100.0,100.0
BE225,99.72,100.0,100.0
BE23,99.96,99.96,99.98
BE231,100.0,100.0,100.0
BE232,100.0,100.0,100.0
BE233,100.0,100.0,100.0
BE234,100.0,100.0,100.0
BE235,100.0,100.0,100.0
BE236,99.71,99.71,99.88
BE24,100.0,100.0,100.0
BE241,100.0,100.0,100.0
BE242,100.0,100.0,100.0
BE25,99.94,99.95,100.0
BE251,99.93,99.82,100.0
BE252,99.81,100.0,100.0
BE253,100.0,100.0,100.0
BE254,100.0,100.0,100.0
BE255,99.79,100.0,100.0
BE256,100.0,100.0,100.0
BE257,100.0,100.0,100.0
BE258,99.72,99.76,100.0
BE3,79.09,86.95,90.81
BE31,96.77,98.37,99.0
BE310,96.77,98.37,99.0
BE32,81.71,90.3,91.06
BE323,79.12,92.17,95.48
BE328,77.14,90.03,84.94
BE329,87.65,87.65,96.47
BE32A,82.52,91.93,89.79
BE32B,92.43,96.08,96.48
BE32C,89.76,94.82,95.59
BE32D,77.61,80.77,90.75
BE33,84.6,92.56,96.36
BE331,80.71,92.73,93.54
BE332,79.09,86.43,98.94
BE334,88.99,98.3,99.3
BE335,85.44,91.36,94.82
BE336,89.0,94.49,96.14
BE34,68.59,73.18,81.05
BE341,76.57,78.28,69.87
BE342,76.16,77.78,90.01
BE343,79.01,87.44,97.27
BE344,71.38,73.63,79.56
BE345,43.22,51.48,63.61
BE35,72.83,84.63,89.88
BE351,62.55,73.95,84.97
BE352,83.03,95.81,98.13
BE353,65.51,75.58,78.1
BG,20.0,25.64,29.51
BG3,15.51,21.69,24.86
BG31,14.5,22.36,23.67
BG311,22.23,24.26,24.52
BG312,17.25,19.45,20.16
BG313,8.15,15.82,16.55
BG314,12.34,20.93,24.16
BG315,19.64,34.73,34.87
BG32,16.13,22.74,28.95
BG321,15.99,19.39,21.36
BG322,20.64,27.7,33.79
BG323,15.93,24.28,46.56
BG324,9.37,17.46,20.33
BG325,21.8,29.42,29.42
BG33,11.8,20.28,23.4
BG331,15.41,33.47,34.19
BG332,14.0,20.82,30.79
BG333,8.58,9.31,12.34
BG334,5.55,5.92,5.92
BG34,18.23,21.45,24.15
BG341,23.45,27.65,29.53
BG342,5.42,7.77,12.12
BG343,8.93,9.07,12.9
BG344,28.32,32.3,33.93
BG4,27.0,31.82,36.78
BG41,34.04,39.2,42.99
BG411,39.24,50.97,60.38
BG412,45.9,47.7,54.35
BG413,20.09,24.78,25.67
BG414,31.87,42.28,42.43
BG415,41.25,44.29,44.07
BG42,22.01,26.58,32.36
BG421,26.46,37.09,42.67
BG422,15.51,16.67,18.58
