GEO,2023,2024,2025
AT,11.42,12.27,11.39
AT1,7.91,9.01,8.53
AT11,23.43,21.98,22.08
AT111,32.54,33.02,32.82
AT112,12.02,8.66,7.54
AT113,41.44,42.88,45.4
AT12,14.32,17.05,15.94
AT121,17.43,20.65,19.2
AT122,14.19,15.99,15.14
AT123,6.98,13.01,11.98
AT124,26.54,34.95,34.01
AT125,41.6,46.02,43.64
AT126,9.52,11.54,10.83
AT127,4.59,3.27,2.1
AT13,0.01,0.01,0.01
AT130,0.01,0.01,0.01
AT2,21.32,21.97,19.56
AT21,25.59,29.02,26.29
AT211,12.02,16.84,14.95
AT212,43.15,44.46,38.03
AT213,37.87,40.3,38.91
AT22,19.43,18.85,16.59
AT221,6.98,6.94,5.65
AT222,32.61,37.98,31.26
AT223,21.35,22.58,21.84
AT224,27.62,24.95,23.42
AT225,22.68,19.92,17.41
AT226,36.63,36.39,29.08
AT3,10.53,11.21,10.63
AT31,15.09,17.23,16.29
AT311,24.63,25.34,21.65
AT312,6.11,6.92,6.57
AT313,26.77,37.8,40.32
AT314,22.88,24.03,21.35
AT315,9.81,9.34,8.21
AT32,6.11,5.46,4.99
AT321,25.86,22.07,20.33
AT322,5.54,6.03,5.17
AT323,5.37,4.34,4.11
AT33,9.21,8.46,8.3
AT331,27.59,16.84,14.04
AT332,4.55,4.57,4.24
AT333,33.9,35.29,35.14
AT334,18.03,16.22,16.91
AT335,4.1,3.74,3.73
AT34,2.26,1.86,1.71
AT341,3.73,3.61,2.99
AT342,1.82,1.34,1.32
BE,6.08,4.31,3.27
BE1,0.0,0.0,0.0
BE10,0.0,0.0,0.0
BE100,0.0,0.0,0.0
BE2,0.14,0.02,0.01
BE21,0.05,0.02,0.0
BE211,0.0,0.0,0.0
BE212,0.0,0.0,0.0
BE213,0.21,0.07,0.0
BE22,0.26,0.01,0.0
BE223,0.02,0.01,0.0
BE224,0.14,0.0,0.0
BE225,0.66,0.02,0.01
BE23,0.12,0.01,0.01
BE231,0.34,0.0,0.0
BE232,0.0,0.0,0.0
BE233,0.78,0.02,0.08
BE234,0.0,0.0,0.0
BE235,0.0,0.0,0.0
BE236,0.05,0.05,0.04
BE24,0.1,0.0,0.0
BE241,0.16,0.0,0.0
BE242,0.0,0.0,0.0
BE25,0.3,0.06,0.01
BE251,0.18,0.13,0.04
BE252,2.2,0.41,0.09
BE253,0.0,0.0,0.0
BE254,0.0,0.0,0.0
BE255,0.35,0.01,0.0
BE256,0.0,0.0,0.0
BE257,0.0,0.0,0.0
BE258,3.16,0.39,0.0
BE3,18.75,13.43,10.22
BE31,7.83,4.2,1.18
BE310,7.83,4.2,1.18
BE32,13.32,8.87,6.81
BE323,11.79,5.88,4.55
BE328,17.28,12.45,12.01
BE329,3.86,4.65,1.41
BE32A,29.76,18.34,15.8
BE32B,2.17,1.65,1.27
BE32C,22.73,9.87,5.53
