GEO,2023,2024,2025
AT,256733.0,253476.0,240752.0
AT1,71175.0,70560.0,66809.0
AT11,11372.0,10868.0,11136.0
AT111,1936.0,1682.0,1652.0
AT112,3842.0,3567.0,3576.0
AT113,5594.0,5619.0,5908.0
AT12,58858.0,58909.0,55368.0
AT121,11642.0,11722.0,11395.0
AT122,7802.0,8344.0,7718.0
AT123,5176.0,5763.0,5191.0
AT124,10498.0,11081.0,11081.0
AT125,7138.0,7348.0,6891.0
AT126,10988.0,10371.0,9712.0
AT127,5614.0,4280.0,3380.0
AT13,945.0,783.0,305.0
AT130,945.0,783.0,305.0
AT2,82240.0,81447.0,78686.0
AT21,27637.0,29393.0,28202.0
AT211,10153.0,10737.0,10240.0
AT212,8124.0,8446.0,8114.0
AT213,9360.0,10210.0,9848.0
AT22,54603.0,52054.0,50484.0
AT221,10534.0,9771.0,9471.0
AT222,3430.0,3729.0,3398.0
AT223,5851.0,5585.0,5639.0
AT224,18290.0,17652.0,17282.0
AT225,11682.0,10744.0,10568.0
AT226,4816.0,4573.0,4126.0
AT3,103318.0,101469.0,95257.0
AT31,66032.0,66424.0,61728.0
AT311,18968.0,18899.0,16953.0
AT312,14362.0,14087.0,13421.0
AT313,13813.0,15524.0,15311.0
AT314,8053.0,7819.0,6558.0
AT315,10836.0,10095.0,9485.0
AT32,12823.0,12114.0,11207.0
AT321,1034.0,825.0,745.0
AT322,4626.0,4579.0,4460.0
AT323,7163.0,6710.0,6002.0
AT33,19712.0,18351.0,18130.0
AT331,1103.0,749.0,845.0
AT332,5253.0,4955.0,4361.0
AT333,2571.0,2604.0,2865.0
AT334,4779.0,4654.0,4980.0
AT335,6006.0,5389.0,5079.0
AT34,4751.0,4580.0,4192.0
AT341,1545.0,1503.0,1476.0
AT342,3206.0,3077.0,2716.0
BE,306632.0,228314.0,192646.0
BE1,0.0,39.0,39.0
BE10,0.0,39.0,39.0
BE100,0.0,39.0,39.0
BE2,64279.0,24145.0,15762.0
BE21,11126.0,3396.0,2589.0
BE211,2481.0,1364.0,1133.0
BE212,2378.0,222.0,146.0
BE213,6267.0,1810.0,1310.0
BE22,14424.0,5399.0,3600.0
BE223,3709.0,2000.0,1067.0
BE224,4789.0,1402.0,1144.0
BE225,5926.0,1997.0,1389.0
BE23,15170.0,5260.0,3700.0
BE231,3353.0,1187.0,673.0
BE232,1232.0,244.0,96.0
BE233,1680.0,849.0,855.0
BE234,4278.0,1493.0,1058.0
BE235,2924.0,584.0,311.0
BE236,1703.0,903.0,707.0
BE24,12515.0,4095.0,2560.0
BE241,4579.0,1525.0,1084.0
BE242,7936.0,2570.0,1476.0
BE25,11044.0,5995.0,3313.0
BE251,1991.0,1234.0,775.0
BE252,2144.0,985.0,566.0
BE253,2046.0,1466.0,896.0
BE254,723.0,406.0,88.0
BE255,958.0,340.0,171.0
BE256,512.0,247.0,207.0
BE257,1787.0,902.0,396.0
BE258,883.0,415.0,214.0
BE3,242353.0,204130.0,176845.0
BE31,20611.0,15858.0,14305.0
BE310,20611.0,15858.0,14305.0
BE32,81947.0,69883.0,59974.0
BE323,14039.0,14866.0,12066.0
BE328,12478.0,11345.0,10971.0
BE329,7890.0,7333.0,6251.0
BE32A,12465.0,11387.0,10164.0
BE32B,16939.0,11107.0,8427.0
BE32C,9019.0,5351.0,4625.0
BE32D,9117.0,8494.0,7470.0
BE33,63134.0,51065.0,41674.0
BE331,12511.0,9679.0,7688.0
BE332,24295.0,19575.0,14727.0
BE334,8002.0,6930.0,6257.0
BE335,12737.0,10354.0,9104.0
BE336,5589.0,4527.0,3898.0
BE34,30600.0,27474.0,25878.0
BE341,4317.0,4256.0,4483.0
BE342,5691.0,5358.0,4695.0
BE343,6113.0,4790.0,4271.0
BE344,6488.0,6278.0,6004.0
BE345,7991.0,6792.0,6425.0
BE35,46061.0,39850.0,35014.0
BE351,13282.0,12163.0,10522.0
BE352,25821.0,21378.0,18552.0
BE353,6958.0,6309.0,5940.0
BG,370870.0,326727.0,306361.0
BG3,217535.0,190251.0,180620.0
BG31,51360.0,43980.0,42367.0
BG311,4714.0,4294.0,4303.0
BG312,8244.0,8194.0,7270.0
BG313,12196.0,10563.0,10725.0
BG314,15376.0,13048.0,12507.0
BG315,10830.0,7881.0,7562.0
BG32,43091.0,39842.0,36918.0
BG321,12096.0,11048.0,10859.0
BG322,6502.0,6276.0,5052.0
BG323,8179.0,7619.0,6482.0
BG324,8207.0,7760.0,7457.0
BG325,8107.0,7139.0,7068.0
BG33,49610.0,38129.0,35766.0
BG331,19378.0,13157.0,12014.0
BG332,11148.0,7929.0,7209.0
BG333,10236.0,9403.0,8903.0
BG334,8848.0,7640.0,7640.0
BG34,73474.0,68300.0,65569.0
BG341,27385.0,26518.0,25213.0
BG342,18714.0,16647.0,16035.0
BG343,11285.0,10788.0,9977.0
BG344,16090.0,14347.0,14344.0
BG4,153335.0,136476.0,125741.0
BG41,64989.0,58030.0,52654.0
BG411,13401.0,12142.0,10982.0
BG412,19589.0,17976.0,15320.0
BG413,18516.0,17680.0,17117.0
BG414,5857.0,4684.0,3692.0
BG415,7626.0,5548.0,5543.0
BG42,88346.0,78446.0,73087.0
BG421,34823.0,30544.0,27192.0
BG422,14685.0,12312.0,12014.0
BG423,20395.0,18196.0,17361.0
BG424,7658.0,6609.0,6504.0
BG425,10785.0,10785.0,10016.0
CH,224400.0,209112.0,184863.0
CH0,224400.0,209112.0,184863.0
CH01,33833.0,33409.0,26355.0
CH011,23183.0,23438.0,17517.0
CH012,8245.0,8407.0,7512.0
CH013,2405.0,1564.0,1326.0
CH02,78541.0,72489.0,67449.0
CH021,41735.0,38224.0,35709.0
CH022,19561.0,17400.0,16152.0
CH023,8044.0,7595.0,7813.0
CH024,3636.0,3855.0,3813.0
CH025,5565.0,5415.0,3962.0
CH03,23604.0,22768.0,21057.0
CH031,5.0,0.0,0.0
CH032,4143.0,3800.0,3194.0
CH033,19456.0,18968.0,17863.0
CH04,25422.0,21987.0,18628.0
CH040,25422.0,21987.0,18628.0
CH05,38199.0,35049.0,32632.0
CH051,554.0,554.0,464.0
CH052,3073.0,2794.0,2095.0
CH053,2416.0,2365.0,2491.0
CH054,960.0,960.0,960.0
CH055,10949.0,10764.0,11046.0
CH056,6493.0,5855.0,5665.0
CH057,13754.0,11757.0,9911.0
CH06,20369.0,18798.0,15108.0
CH061,11470.0,11192.0,8731.0
CH062,1277.0,1263.0,1059.0
CH063,2919.0,2724.0,2032.0
CH064,1464.0,1199.0,1065.0
CH065,796.0,788.0,786.0
CH066,2443.0,1632.0,1435.0
CH07,4432.0,4612.0,3634.0
CH070,4432.0,4612.0,3634.0
CY,76987.0,62742.0,55580.0
CY0,76987.0,62742.0,55580.0
CY00,76987.0,62742.0,55580.0
CY000,76987.0,62742.0,55580.0
CZ,883432.0,829089.0,796016.0
CZ0,883432.0,829089.0,796016.0
CZ01,9943.0,8725.0,7637.0
CZ010,9943.0,8725.0,7637.0
CZ02,171196.0,161816.0,154648.0
CZ020,171196.0,161816.0,154648.0
CZ03,120705.0,110289.0,107923.0
CZ031,55398.0,53928.0,53078.0
CZ032,65307.0,56361.0,54845.0
CZ04,95224.0,85079.0,83650.0
CZ041,26922.0,21845.0,21652.0
CZ042,68302.0,63234.0,61998.0
CZ05,136524.0,125826.0,119922.0
CZ051,42440.0,34722.0,30391.0
CZ052,46952.0,45214.0,42863.0
CZ053,47132.0,45890.0,46668.0
CZ06,154723.0,147450.0,142183.0
CZ063,51169.0,48167.0,46472.0
CZ064,103554.0,99283.0,95711.0
CZ07,110216.0,107914.0,102164.0
CZ071,55777.0,54968.0,52181.0
CZ072,54439.0,52946.0,49983.0
CZ08,84901.0,81990.0,77889.0
CZ080,84901.0,81990.0,77889.0
DE,2687870.0,2321167.0,2095648.0
DE1,335905.0,251200.0,225115.0
DE11,108958.0,75314.0,62992.0
DE111,6.0,3.0,3.0
DE112,8124.0,3562.0,1008.0
DE113,7481.0,4011.0,3170.0
DE114,4157.0,3286.0,2958.0
DE115,10159.0,5125.0,2849.0
DE116,9927.0,7220.0,7197.0
DE117,1087.0,36.0,36.0
DE118,19029.0,15497.0,11545.0
DE119,6582.0,6383.0,5884.0
DE11A,13299.0,10371.0,9443.0
DE11B,7356.0,7146.0,6298.0
DE11C,5827.0,3839.0,3839.0
DE11D,15924.0,8835.0,8762.0
DE12,85858.0,49681.0,41495.0
DE121,414.0,414.0,164.0
DE122,5311.0,2481.0,2635.0
DE123,16422.0,8462.0,5741.0
DE124,9193.0,4675.0,4387.0
DE125,4068.0,2689.0,814.0
DE126,423.0,375.0,375.0
DE127,8386.0,7306.0,7090.0
DE128,11214.0,7583.0,6970.0
DE129,244.0,230.0,230.0
DE12A,13632.0,6288.0,5063.0
DE12B,8661.0,2543.0,1787.0
DE12C,7890.0,6635.0,6239.0
DE13,68292.0,61927.0,59050.0
DE131,1101.0,1097.0,1044.0
DE132,8002.0,6997.0,6230.0
DE133,5415.0,5198.0,4560.0
DE134,14766.0,12570.0,12291.0
DE135,8677.0,7336.0,7102.0
DE136,5125.0,5029.0,5171.0
DE137,5040.0,4718.0,4646.0
DE138,7633.0,6932.0,6510.0
DE139,5807.0,5699.0,5672.0
DE13A,6726.0,6351.0,5824.0
DE14,72797.0,64278.0,61578.0
DE141,8526.0,7177.0,6462.0
DE142,6206.0,5129.0,4957.0
DE143,10057.0,8749.0,9884.0
DE144,45.0,42.0,42.0
DE145,8113.0,6749.0,5912.0
DE146,14368.0,13939.0,12933.0
DE147,5077.0,4279.0,3706.0
DE148,12251.0,10423.0,9616.0
DE149,8154.0,7791.0,8066.0
DE2,472809.0,456618.0,396108.0
DE21,119666.0,109733.0,96237.0
DE211,3034.0,2165.0,2103.0
DE212,1341.0,1442.0,1769.0
DE213,118.0,387.0,613.0
DE214,5593.0,3831.0,3711.0
DE215,2977.0,3110.0,2421.0
DE216,3537.0,3327.0,2868.0
DE217,6306.0,6128.0,5617.0
DE218,2826.0,2141.0,1887.0
DE219,9995.0,8536.0,8106.0
DE21A,7163.0,6853.0,6846.0
DE21B,9706.0,8944.0,4669.0
DE21C,3778.0,4748.0,2956.0
DE21D,1003.0,1070.0,945.0
DE21E,6733.0,6117.0,5092.0
DE21F,3396.0,3205.0,3108.0
DE21G,6342.0,6673.0,5073.0
DE21H,1560.0,1336.0,1179.0
DE21I,6972.0,6939.0,6634.0
DE21J,8480.0,6733.0,6547.0
DE21K,10944.0,9900.0,9358.0
DE21L,3167.0,2938.0,2857.0
DE21M,8993.0,8861.0,8468.0
DE21N,5702.0,4349.0,3410.0
DE22,66549.0,63867.0,59835.0
DE221,492.0,488.0,334.0
DE222,1574.0,437.0,327.0
DE223,235.0,231.0,231.0
DE224,6527.0,6491.0,6165.0
DE225,5772.0,5539.0,5523.0
DE226,5291.0,4816.0,4490.0
DE227,9484.0,10088.0,9265.0
DE228,11229.0,10668.0,9674.0
DE229,4068.0,3743.0,3927.0
DE22A,8710.0,8111.0,7403.0
DE22B,7295.0,7223.0,6928.0
DE22C,5872.0,6032.0,5568.0
DE23,50736.0,47899.0,43699.0
DE231,629.0,629.0,500.0
DE232,485.0,271.0,302.0
DE233,842.0,842.0,789.0
DE234,5120.0,4868.0,4281.0
DE235,10259.0,9958.0,9643.0
DE236,6825.0,8191.0,6435.0
DE237,6483.0,4516.0,4357.0
DE238,8273.0,7904.0,7699.0
DE239,6787.0,6773.0,6037.0
DE23A,5033.0,3947.0,3656.0
DE24,51909.0,55913.0,43995.0
DE241,409.0,189.0,185.0
DE242,957.0,770.0,315.0
DE243,1330.0,1173.0,1143.0
DE244,461.0,490.0,356.0
DE245,10615.0,9611.0,8520.0
DE246,8174.0,7929.0,7174.0
DE247,4408.0,5517.0,3666.0
DE248,4960.0,9324.0,4576.0
DE249,5629.0,5388.0,4538.0
DE24A,4367.0,3967.0,3832.0
DE24B,3900.0,3815.0,3631.0
DE24C,4872.0,4317.0,4260.0
DE24D,1827.0,3423.0,1799.0
DE25,42545.0,50202.0,33307.0
DE251,951.0,1201.0,844.0
DE252,309.0,2735.0,75.0
DE253,182.0,2960.0,104.0
DE254,2440.0,1536.0,314.0
DE255,533.0,393.0,331.0
DE256,10107.0,8945.0,8154.0
DE257,5019.0,5703.0,3464.0
DE258,2479.0,2380.0,2412.0
DE259,4401.0,8274.0,4185.0
DE25A,4337.0,4435.0,4282.0
DE25B,5190.0,5517.0,3577.0
DE25C,6597.0,6123.0,5565.0
DE26,59400.0,54936.0,49567.0
DE261,1118.0,1106.0,1070.0
DE262,0.0,0.0,0.0
DE263,483.0,505.0,563.0
DE264,5486.0,4797.0,4238.0
DE265,6752.0,6252.0,5601.0
DE266,5877.0,5874.0,5252.0
DE267,6184.0,5718.0,5565.0
DE268,3725.0,3791.0,3631.0
DE269,8085.0,6538.0,5728.0
DE26A,8608.0,8536.0,7051.0
DE26B,5471.0,5420.0,4994.0
DE26C,7611.0,6399.0,5874.0
DE27,82004.0,74068.0,69468.0
DE271,2790.0,2502.0,2238.0
DE272,43.0,140.0,6.0
DE273,511.0,257.0,257.0
DE274,846.0,898.0,624.0
DE275,9288.0,8599.0,7802.0
DE276,12529.0,12541.0,11532.0
DE277,6762.0,4645.0,4325.0
DE278,8608.0,8449.0,8070.0
DE279,5532.0,4421.0,4095.0
DE27A,2599.0,1771.0,1689.0
DE27B,8020.0,7225.0,6493.0
DE27C,9949.0,9464.0,8858.0
DE27D,8917.0,8135.0,8337.0
DE27E,5610.0,5021.0,5142.0
DE3,8829.0,5731.0,2411.0
DE30,8829.0,5731.0,2411.0
DE300,8829.0,5731.0,2411.0
DE4,130311.0,114228.0,106083.0
DE40,130311.0,114228.0,106083.0
DE401,2283.0,2236.0,1226.0
DE402,1593.0,1261.0,1213.0
DE403,501.0,481.0,481.0
DE404,2448.0,2018.0,1817.0
DE405,9175.0,8212.0,7725.0
DE406,12255.0,10672.0,10785.0
DE407,6957.0,6893.0,6593.0
DE408,9710.0,7373.0,7021.0
DE409,14255.0,10985.0,9771.0
DE40A,9853.0,7600.0,6870.0
DE40B,6176.0,5727.0,5020.0
DE40C,10144.0,8980.0,8701.0
DE40D,5265.0,5169.0,5144.0
DE40E,11274.0,10407.0,10000.0
DE40F,4301.0,4264.0,4293.0
DE40G,6411.0,6307.0,5965.0
DE40H,10711.0,9138.0,7216.0
DE40I,6999.0,6505.0,6242.0
DE5,8367.0,2632.0,1450.0
DE50,8367.0,2632.0,1450.0
DE501,7974.0,2306.0,1207.0
DE502,393.0,326.0,243.0
DE6,7358.0,5169.0,4379.0
