GEO,2020,2023
AT_30201,14.65,
AT_30401,9.75,
AT_31022,20.44,
AT_31109,21.35,
AT_40101,9.94,4.06
AT_50619,5.86,
AT_60101,6.83,
AT_70101,7.88,7.88
AT_70357,14.78,
AT_80301,,6.53
AT_90001,4.81,0.87
BE_11002,42.23,38.3
BE_11007,71.21,
BE_11008,27.63,25.43
BE_11009,4.29,4.29
BE_11013,37.63,21.33
BE_11016,12.77,3.6
BE_11018,39.05,39.05
BE_11021,39.72,
BE_11022,13.94,
BE_11024,12.52,12.52
BE_11025,41.0,41.0
BE_11029,30.52,
BE_11030,48.83,
BE_11040,41.24,9.39
BE_11053,14.52,
BE_11054,11.61,11.61
BE_11055,7.63,
BE_12002,15.6,15.6
BE_12009,14.34,
BE_12014,3.44,
BE_12025,3.91,
BE_12026,,9.58
BE_12029,,3.82
BE_12041,10.5,
BE_13006,29.43,15.79
BE_13008,5.97,5.97
BE_13010,6.6,6.6
BE_13011,17.87,11.93
BE_13019,22.02,3.6
BE_13021,33.74,18.13
BE_13023,19.13,
BE_13035,15.21,
BE_13046,16.41,
BE_13053,9.28,9.28
BE_21001,83.74,65.43
BE_21002,76.18,39.71
BE_21003,86.73,36.01
BE_21004,40.71,34.15
BE_21005,76.97,76.97
BE_21006,53.94,53.94
BE_21007,71.08,60.12
BE_21008,77.49,77.49
BE_21009,47.0,47.0
BE_21010,89.36,89.36
BE_21011,100.0,100.0
BE_21012,100.0,77.23
BE_21013,73.09,73.09
BE_21014,100.0,100.0
BE_21015,79.48,93.38
BE_21016,39.34,29.98
BE_21017,58.9,58.9
BE_21018,59.9,48.38
BE_21019,48.42,32.61
BE_23009,10.72,10.72
BE_23016,16.8,16.8
BE_23024,,5.92
BE_23025,26.35,26.35
BE_23039,30.37,30.37
BE_23044,27.13,
BE_23077,4.98,
BE_23086,11.37,
BE_23097,,6.51
BE_23099,37.46,
BE_23102,30.02,
BE_23103,28.22,
BE_23104,,6.38
BE_24048,14.03,11.31
BE_24055,10.67,
BE_24062,16.38,3.54
BE_24066,11.78,
BE_24109,,6.69
BE_24134,13.67,10.96
BE_25014,30.37,30.37
BE_25015,12.39,12.39
BE_25072,13.83,
BE_25105,23.75,
BE_25110,10.81,
BE_25112,12.4,
BE_25121,9.09,14.76
BE_31003,,12.02
BE_31005,16.24,20.62
BE_31040,7.53,16.0
BE_32003,4.5,4.5
BE_32006,,5.47
BE_32010,35.45,9.29
BE_33011,13.12,9.32
BE_33021,,19.23
BE_33029,15.46,15.46
BE_34002,,12.47
BE_34022,20.74,17.03
BE_34023,29.95,29.95
BE_34025,12.1,12.1
BE_34027,25.92,21.18
BE_34040,8.22,
BE_34041,24.62,18.32
BE_34042,11.84,11.84
BE_35002,30.11,30.11
BE_35013,31.94,31.94
BE_36008,13.4,13.4
BE_36015,4.29,10.7
BE_36019,16.34,16.34
BE_37015,14.86,29.49
BE_37017,16.54,
BE_38016,40.62,40.62
BE_38025,,13.68
BE_41002,16.76,9.8
BE_41027,2.11,2.11
BE_41048,2.13,2.13
BE_41081,12.73,
BE_41082,9.65,9.65
BE_42003,12.47,12.47
BE_42004,28.69,19.08
BE_42008,34.93,13.94
BE_42011,7.22,
BE_42025,18.54,
BE_42028,18.71,
BE_44012,17.05,17.05
BE_44013,7.89,7.89
BE_44019,3.66,
BE_44021,15.81,19.05
BE_44034,3.41,
BE_44040,14.79,
BE_44043,2.74,2.74
BE_44052,12.65,12.65
BE_44083,9.35,
BE_44084,3.18,
BE_45035,10.27,19.19
BE_45041,25.07,17.36
BE_46003,9.98,11.59
BE_46013,37.49,37.49
BE_46020,8.55,
BE_46021,6.24,
BE_46024,10.61,
BE_46025,12.38,12.38
BE_51004,3.77,3.77
BE_51008,9.32,9.32
BE_51012,9.81,
BE_51065,6.1,2.8
BE_51069,11.28,21.69
BE_52011,57.93,39.14
BE_52012,13.95,8.06
BE_52015,14.12,
BE_52018,66.0,66.0
BE_52021,4.62,
BE_52022,28.6,28.6
BE_52048,13.98,13.98
BE_52074,15.76,
BE_53014,19.86,19.86
BE_53020,28.87,18.3
BE_53028,28.69,28.69
BE_53053,23.18,20.65
BE_53065,57.62,47.43
BE_53068,32.51,
BE_53070,12.44,
BE_53082,66.96,66.96
BE_55040,20.87,
BE_55086,7.75,
BE_56016,19.45,3.49
BE_56051,28.1,28.1
BE_56086,4.79,4.79
BE_57027,16.03,
BE_57081,23.33,21.41
BE_57094,18.33,18.33
BE_57096,38.43,34.94
BE_57097,27.01,25.53
BE_58001,28.29,25.17
BE_58002,7.31,
BE_62003,23.7,23.7
BE_62015,14.65,14.65
BE_62022,9.22,
BE_62038,30.65,30.65
BE_62051,46.85,46.85
BE_62060,6.01,
BE_62063,41.28,39.06
BE_62079,11.96,11.96
BE_62093,54.01,54.01
BE_62096,53.66,55.83
BE_62099,13.61,6.86
BE_62108,18.98,
BE_62118,24.02,24.02
BE_62119,6.58,6.58
BE_62120,36.39,28.26
BE_63020,49.93,49.93
BE_63058,12.71,
BE_63073,11.28,
BE_63076,13.85,13.85
BE_63079,49.17,41.06
BE_64034,14.58,9.97
BE_64074,28.25,17.19
BE_64076,5.65,
BE_71004,11.36,11.36
BE_71016,6.44,1.34
BE_71022,9.13,9.13
BE_71034,23.61,31.29
BE_71053,21.94,21.94
BE_71066,15.56,15.56
BE_71067,15.64,15.64
BE_71070,8.03,4.5
BE_72018,9.28,
BE_72020,4.62,4.62
BE_72021,11.03,11.03
BE_72030,,6.05
BE_72037,15.58,15.58
BE_72039,12.33,12.33
BE_72041,8.49,8.49
BE_72042,3.27,
BE_72043,3.28,3.28
BE_73001,13.18,8.91
BE_73006,,8.32
BE_73009,6.64,
BE_73032,20.2,20.2
BE_73040,,15.28
BE_73042,5.14,5.14
BE_73083,7.2,7.2
BE_73107,14.84,14.84
BE_81001,11.15,11.15
BE_81004,25.88,16.12
BE_82032,8.62,8.62
BE_83012,10.22,
BE_83028,27.9,27.9
BE_83040,7.24,
BE_84009,23.25,23.25
BE_84050,17.98,17.98
BE_84075,,17.97
BE_85026,21.72,21.72
BE_85045,20.73,20.73
BE_85046,22.9,22.9
BE_85047,3.23,
BE_91013,9.67,
BE_91030,19.72,19.72
BE_91114,12.95,
BE_91141,10.28,10.28
BE_92003,9.27,9.27
BE_92048,3.08,17.62
BE_92094,12.61,8.0
BE_92137,6.12,6.12
BE_92140,7.73,7.73
BE_92142,12.53,
BE_93014,9.24,9.24
BE_93088,7.03,7.03
BG_BGS01,14.0,14.0
BG_BGS04,25.36,16.54
BG_BGS09,20.71,20.71
BG_BGS13,0.1,
BG_BGS15,4.26,4.26
BG_BGS17,14.29,14.29
BG_BGS23,7.32,
BG_BLG03,11.91,11.91
BG_BLG11,21.86,21.86
BG_BLG33,21.55,21.55
BG_BLG37,28.76,19.59
BG_BLG40,25.62,25.62
BG_DOB12,19.45,19.45
