GEO,2023,2024,2025
AT_10101,9890.0,9890.0,9890.0
AT_10201,1222.0,1222.0,1222.0
AT_10301,1064.0,1064.0,1064.0
AT_10302,743.0,1166.0,304.0
AT_10303,1342.0,1342.0,1342.0
AT_10304,1950.0,1950.0,1950.0
AT_10305,196.0,196.0,375.0
AT_10306,516.0,744.0,744.0
AT_10307,1334.0,1334.0,1334.0
AT_10308,1088.0,1088.0,1088.0
AT_10309,3088.0,3088.0,3088.0
AT_10310,1052.0,1058.0,1058.0
AT_10311,636.0,824.0,824.0
AT_10312,1848.0,1848.0,1848.0
AT_10313,1731.0,1731.0,1731.0
AT_10314,,639.0,916.0
AT_10315,2143.0,2143.0,2143.0
AT_10316,1616.0,1616.0,1616.0
AT_10317,1290.0,1290.0,1290.0
AT_10318,1355.0,1355.0,1355.0
AT_10319,1190.0,1231.0,1190.0
AT_10320,,10.0,10.0
AT_10321,,418.0,627.0
AT_10322,406.0,406.0,406.0
AT_10323,1033.0,1033.0,1033.0
AT_10401,691.0,700.0,73.0
AT_10402,708.0,788.0,802.0
AT_10404,88.0,88.0,88.0
AT_10405,2077.0,2071.0,2136.0
AT_10408,93.0,93.0,93.0
AT_10410,304.0,304.0,304.0
AT_10411,402.0,455.0,
AT_10412,626.0,626.0,228.0
AT_10413,368.0,,24.0
AT_10414,1502.0,1527.0,1502.0
AT_10415,419.0,578.0,
AT_10417,531.0,491.0,531.0
AT_10418,69.0,19.0,19.0
AT_10421,102.0,102.0,102.0
AT_10422,163.0,163.0,163.0
AT_10425,40.0,40.0,
AT_10427,,23.0,
AT_10501,392.0,725.0,522.0
AT_10502,508.0,532.0,646.0
AT_10503,702.0,714.0,714.0
AT_10504,2548.0,2548.0,2548.0
AT_10506,,4.0,
AT_10507,,69.0,69.0
AT_10508,1200.0,1283.0,1370.0
AT_10509,757.0,682.0,731.0
AT_10510,109.0,109.0,109.0
AT_10511,286.0,286.0,355.0
AT_10601,878.0,878.0,878.0
AT_10602,309.0,729.0,1367.0
AT_10603,,362.0,
AT_10604,294.0,294.0,727.0
AT_10605,1751.0,1751.0,1751.0
AT_10606,5084.0,5084.0,5084.0
AT_10607,3000.0,3000.0,3000.0
AT_10608,610.0,610.0,610.0
AT_10609,554.0,554.0,554.0
AT_10610,1298.0,1298.0,1298.0
AT_10611,735.0,735.0,735.0
AT_10612,1495.0,1495.0,1495.0
AT_10613,,90.0,90.0
AT_10614,746.0,746.0,746.0
AT_10615,1823.0,2014.0,2014.0
AT_10616,402.0,402.0,402.0
AT_10617,433.0,433.0,433.0
AT_10618,928.0,928.0,928.0
AT_10619,137.0,137.0,137.0
AT_10701,1387.0,1387.0,1387.0
AT_10702,1020.0,1020.0,1020.0
AT_10703,2134.0,2134.0,2134.0
AT_10704,,,0.0
AT_10705,1841.0,1841.0,1841.0
AT_10706,917.0,881.0,804.0
AT_10707,2585.0,2585.0,2585.0
AT_10708,1045.0,1045.0,1045.0
AT_10709,1489.0,1489.0,1489.0
AT_10710,946.0,930.0,941.0
AT_10711,1933.0,1933.0,1933.0
AT_10712,1451.0,1451.0,1451.0
AT_10713,5957.0,5957.0,5957.0
AT_10714,,,1118.0
AT_10715,,12.0,0.0
AT_10716,980.0,980.0,980.0
AT_10717,3586.0,3586.0,3586.0
AT_10718,1353.0,1353.0,1353.0
AT_10719,0.0,689.0,422.0
AT_10720,714.0,714.0,714.0
AT_10721,1076.0,1076.0,1076.0
AT_10722,1779.0,1779.0,1779.0
AT_10723,872.0,693.0,972.0
AT_10724,1289.0,1069.0,1166.0
AT_10725,462.0,406.0,405.0
AT_10726,35.0,482.0,0.0
AT_10727,376.0,376.0,376.0
AT_10801,1926.0,1946.0,1946.0
AT_10802,0.0,0.0,29.0
AT_10803,613.0,592.0,613.0
AT_10804,197.0,197.0,522.0
AT_10805,1037.0,1037.0,1037.0
AT_10806,0.0,0.0,0.0
AT_10807,1274.0,1298.0,1298.0
AT_10808,123.0,528.0,528.0
AT_10809,799.0,97.0,
AT_10810,536.0,536.0,536.0
AT_10812,429.0,456.0,500.0
AT_10813,1188.0,1188.0,1188.0
AT_10814,661.0,661.0,661.0
AT_10815,318.0,318.0,318.0
AT_10816,2100.0,2100.0,2100.0
AT_10817,20.0,0.0,0.0
AT_10818,338.0,263.0,
AT_10819,482.0,482.0,482.0
AT_10820,366.0,366.0,366.0
AT_10821,807.0,807.0,807.0
AT_10822,969.0,969.0,969.0
AT_10823,940.0,1148.0,1154.0
AT_10824,387.0,396.0,396.0
AT_10825,409.0,409.0,409.0
AT_10826,7.0,,
AT_10901,1160.0,1160.0,1160.0
AT_10902,731.0,438.0,553.0
AT_10904,834.0,834.0,834.0
AT_10905,1273.0,,
AT_10907,417.0,417.0,417.0
AT_10909,503.0,503.0,
AT_10910,909.0,909.0,909.0
AT_10911,596.0,580.0,580.0
AT_10912,0.0,465.0,1119.0
AT_10916,1021.0,1021.0,1085.0
AT_10917,4902.0,4902.0,4902.0
AT_10918,3690.0,3747.0,3779.0
AT_10920,984.0,984.0,984.0
AT_10921,982.0,808.0,808.0
AT_10923,203.0,319.0,319.0
AT_10924,75.0,,
AT_10925,608.0,608.0,608.0
AT_10927,534.0,631.0,631.0
AT_10928,,,64.0
AT_10929,627.0,627.0,627.0
AT_10930,102.0,,
AT_20101,67565.0,67293.0,67074.0
AT_20201,41770.0,41691.0,41934.0
AT_20302,187.0,206.0,206.0
AT_20305,4014.0,3871.0,3868.0
AT_20306,109.0,135.0,392.0
AT_20307,1682.0,1682.0,1788.0
AT_20316,643.0,184.0,78.0
AT_20320,0.0,0.0,0.0
AT_20402,3887.0,4031.0,4031.0
AT_20403,1531.0,40.0,284.0
AT_20405,4131.0,3902.0,3650.0
AT_20409,2055.0,2048.0,1989.0
AT_20412,1547.0,1465.0,1547.0
AT_20414,1235.0,1218.0,1447.0
AT_20415,2115.0,2115.0,2115.0
AT_20416,806.0,,42.0
AT_20417,1027.0,758.0,758.0
AT_20418,1592.0,1214.0,1062.0
AT_20419,1054.0,1054.0,1054.0
AT_20421,2412.0,2034.0,2034.0
AT_20424,1800.0,1800.0,1800.0
AT_20425,1301.0,1722.0,1675.0
AT_20432,1416.0,1308.0,1315.0
AT_20435,808.0,808.0,808.0
AT_20442,285.0,644.0,361.0
AT_20501,2828.0,2828.0,2828.0
AT_20502,1048.0,1030.0,253.0
AT_20504,508.0,440.0,440.0
AT_20505,22.0,1094.0,1094.0
AT_20509,462.0,740.0,750.0
AT_20512,588.0,603.0,603.0
AT_20513,92.0,592.0,608.0
AT_20515,1070.0,59.0,401.0
AT_20519,508.0,695.0,695.0
AT_20520,638.0,638.0,606.0
AT_20523,2425.0,2373.0,2194.0
AT_20527,7436.0,7428.0,7408.0
AT_20530,27.0,41.0,41.0
AT_20534,1485.0,1485.0,1450.0
AT_20601,1052.0,1052.0,1052.0
AT_20602,184.0,606.0,606.0
AT_20603,516.0,,314.0
AT_20604,38.0,,780.0
AT_20607,357.0,357.0,45.0
AT_20608,815.0,,911.0
AT_20609,52.0,,
AT_20610,,487.0,487.0
AT_20611,,,1103.0
AT_20616,251.0,630.0,633.0
AT_20618,442.0,382.0,326.0
AT_20619,,,65.0
AT_20620,1951.0,1825.0,1825.0
AT_20624,648.0,656.0,656.0
AT_20625,,,618.0
AT_20627,1290.0,1309.0,1301.0
AT_20630,2300.0,2679.0,3003.0
AT_20631,351.0,,
AT_20632,974.0,1041.0,605.0
AT_20633,547.0,582.0,582.0
AT_20634,3948.0,3948.0,3908.0
AT_20635,8884.0,8865.0,8865.0
AT_20637,12.0,,
AT_20639,388.0,388.0,388.0
AT_20640,631.0,,622.0
AT_20643,1629.0,1654.0,1654.0
AT_20644,89.0,1151.0,1136.0
AT_20702,3529.0,,3832.0
AT_20705,4.0,,
AT_20707,404.0,402.0,281.0
AT_20708,760.0,639.0,639.0
AT_20710,541.0,482.0,541.0
AT_20711,5693.0,5638.0,5744.0
AT_20712,57.0,57.0,57.0
AT_20713,44.0,,22.0
AT_20719,1114.0,816.0,528.0
AT_20720,3426.0,3426.0,3426.0
AT_20721,1342.0,1158.0,1059.0
AT_20722,1660.0,400.0,400.0
AT_20723,76.0,76.0,76.0
AT_20724,2112.0,2112.0,2123.0
AT_20725,4825.0,5095.0,4924.0
AT_20726,1025.0,609.0,609.0
AT_20727,3403.0,3492.0,3492.0
AT_20801,2180.0,2264.0,2268.0
AT_20802,,,9.0
AT_20803,3058.0,3058.0,3058.0
AT_20804,564.0,,
AT_20805,1560.0,1523.0,1523.0
AT_20806,12.0,33.0,90.0
AT_20807,922.0,735.0,735.0
AT_20808,1568.0,1628.0,1710.0
AT_20810,540.0,,278.0
AT_20812,44.0,69.0,102.0
AT_20813,2851.0,2822.0,2646.0
AT_20815,845.0,153.0,153.0
AT_20817,5181.0,5219.0,5115.0
AT_20901,,,1523.0
AT_20905,1340.0,1349.0,1164.0
AT_20909,1064.0,10.0,364.0
AT_20912,,,106.0
AT_20913,3567.0,3510.0,3542.0
AT_20914,307.0,282.0,189.0
AT_20918,1094.0,1278.0,1213.0
AT_20923,13730.0,13600.0,13591.0
AT_21001,0.0,0.0,
AT_21002,7901.0,7908.0,8079.0
AT_21005,809.0,701.0,874.0
AT_21006,547.0,221.0,422.0
AT_21007,77.0,77.0,181.0
AT_21009,1983.0,2221.0,2287.0
AT_21010,46.0,46.0,46.0
AT_30101,16483.0,16483.0,16488.0
AT_30201,36510.0,36480.0,36674.0
AT_30301,6615.0,6605.0,6671.0
AT_30401,31630.0,31630.0,31630.0
AT_30501,1100.0,1138.0,1166.0
AT_30502,15938.0,15938.0,15938.0
AT_30503,2299.0,2278.0,2299.0
AT_30504,2635.0,2495.0,2523.0
AT_30506,1333.0,1907.0,2342.0
AT_30507,1418.0,1418.0,1418.0
AT_30508,2130.0,2130.0,2130.0
AT_30509,1972.0,1963.0,2000.0
AT_30511,1762.0,1716.0,1716.0
AT_30512,1235.0,1186.0,1186.0
AT_30514,3739.0,3755.0,3755.0
AT_30515,1893.0,1883.0,1893.0
AT_30516,896.0,,
AT_30517,1870.0,1870.0,1870.0
AT_30520,1729.0,1654.0,1654.0
AT_30521,988.0,560.0,567.0
AT_30522,779.0,550.0,779.0
AT_30527,1785.0,1770.0,1770.0
AT_30529,1889.0,1889.0,1889.0
AT_30530,2176.0,2112.0,2292.0
AT_30531,6583.0,6583.0,6573.0
AT_30532,2105.0,2105.0,2105.0
AT_30533,1575.0,1575.0,1575.0
AT_30534,445.0,1197.0,1197.0
AT_30536,876.0,876.0,876.0
AT_30538,1383.0,63.0,296.0
AT_30539,1328.0,1288.0,1350.0
AT_30541,1309.0,1309.0,1309.0
AT_30542,1219.0,1123.0,1123.0
AT_30543,1553.0,330.0,1156.0
AT_30544,1351.0,1212.0,1348.0
AT_30601,1121.0,1573.0,1600.0
AT_30603,7936.0,7936.0,7936.0
AT_30604,17505.0,17505.0,17505.0
AT_30605,5750.0,5750.0,5750.0
AT_30607,7614.0,7614.0,7614.0
AT_30608,4380.0,4380.0,4380.0
AT_30609,,101.0,101.0
AT_30612,1176.0,1176.0,1176.0
AT_30613,799.0,919.0,935.0
AT_30614,1269.0,1397.0,1180.0
AT_30615,131.0,131.0,131.0
AT_30616,9.0,10.0,496.0
AT_30618,3787.0,3787.0,3787.0
AT_30620,4927.0,4927.0,4927.0
AT_30621,2030.0,2030.0,2030.0
AT_30623,3003.0,3003.0,3003.0
AT_30625,417.0,417.0,417.0
AT_30626,4608.0,4591.0,4591.0
AT_30627,1619.0,1994.0,1994.0
AT_30629,1757.0,1757.0,1757.0
AT_30631,983.0,983.0,983.0
AT_30633,1286.0,1286.0,1286.0
AT_30635,828.0,828.0,828.0
AT_30636,1186.0,1186.0,1186.0
AT_30637,1732.0,1732.0,1732.0
AT_30639,13457.0,13457.0,13457.0
AT_30641,2522.0,2522.0,2522.0
AT_30645,,546.0,672.0
AT_30646,395.0,395.0,395.0
AT_30701,,347.0,600.0
AT_30702,1309.0,1309.0,1309.0
AT_30703,562.0,562.0,562.0
AT_30704,5061.0,5061.0,5061.0
AT_30706,2796.0,2796.0,2796.0
AT_30708,796.0,929.0,929.0
AT_30709,1202.0,1202.0,1226.0
AT_30710,3978.0,4398.0,4398.0
AT_30711,474.0,726.0,728.0
AT_30712,809.0,809.0,809.0
AT_30713,1033.0,1033.0,1033.0
AT_30715,506.0,506.0,506.0
AT_30716,2407.0,2407.0,2438.0
AT_30718,805.0,805.0,805.0
AT_30719,219.0,829.0,672.0
AT_30721,425.0,425.0,425.0
AT_30722,792.0,797.0,797.0
AT_30724,246.0,246.0,1358.0
AT_30726,279.0,433.0,1002.0
AT_30728,0.0,0.0,127.0
AT_30729,2823.0,2823.0,2823.0
AT_30730,3771.0,3771.0,3771.0
AT_30731,2124.0,2124.0,2124.0
AT_30732,5208.0,5211.0,5211.0
AT_30733,578.0,578.0,578.0
AT_30734,1330.0,1330.0,1330.0
AT_30735,3637.0,3637.0,3637.0
AT_30736,1245.0,1245.0,1245.0
AT_30737,1258.0,1258.0,1258.0
AT_30738,457.0,457.0,531.0
AT_30739,699.0,1079.0,1079.0
AT_30740,14616.0,14616.0,14616.0
AT_30741,1165.0,1165.0,1165.0
AT_30801,137.0,137.0,137.0
AT_30802,113.0,0.0,113.0
AT_30803,1577.0,375.0,0.0
AT_30804,1291.0,1291.0,1291.0
AT_30805,1161.0,1161.0,1161.0
AT_30808,5706.0,5706.0,5706.0
AT_30813,219.0,0.0,0.0
AT_30814,221.0,221.0,221.0
AT_30817,7917.0,7917.0,7917.0
AT_30819,261.0,261.0,261.0
AT_30821,7658.0,7658.0,7879.0
AT_30822,191.0,191.0,191.0
AT_30824,878.0,878.0,878.0
AT_30825,0.0,0.0,0.0
AT_30828,471.0,343.0,343.0
AT_30830,1813.0,1813.0,1813.0
AT_30831,1830.0,1627.0,1627.0
AT_30834,267.0,267.0,267.0
AT_30835,1397.0,1573.0,1573.0
AT_30836,1026.0,1026.0,1026.0
AT_30838,1807.0,1803.0,1807.0
AT_30841,,,0.0
AT_30842,1200.0,1135.0,1200.0
