GEO,2023,2024,2025
AT_10101,100.0,100.0,100.0
AT_10201,100.0,100.0,100.0
AT_10301,100.0,100.0,100.0
AT_10302,99.95,100.0,59.27
AT_10303,100.0,100.0,100.0
AT_10304,100.0,100.0,100.0
AT_10305,100.0,100.0,100.0
AT_10306,100.0,100.0,100.0
AT_10307,100.0,100.0,100.0
AT_10308,100.0,100.0,100.0
AT_10309,100.0,100.0,100.0
AT_10310,100.0,100.0,100.0
AT_10311,99.92,100.0,100.0
AT_10312,100.0,100.0,100.0
AT_10313,100.0,100.0,100.0
AT_10314,21.83,100.0,100.0
AT_10315,100.0,100.0,100.0
AT_10316,100.0,100.0,100.0
AT_10317,100.0,100.0,100.0
AT_10318,100.0,99.47,99.47
AT_10319,100.0,100.0,100.0
AT_10320,97.39,100.0,100.0
AT_10321,100.0,100.0,100.0
AT_10322,95.51,95.51,95.51
AT_10323,100.0,100.0,100.0
AT_10401,100.0,100.0,93.9
AT_10402,100.0,100.0,100.0
AT_10403,28.5,28.5,28.5
AT_10404,100.0,98.6,100.0
AT_10405,99.97,99.97,100.0
AT_10406,91.09,2.29,2.29
AT_10407,0.14,0.14,52.7
AT_10408,46.66,91.91,81.37
AT_10409,29.88,0.0,0.0
AT_10410,100.0,100.0,100.0
AT_10411,100.0,100.0,100.0
AT_10412,100.0,100.0,100.0
AT_10413,100.0,90.16,94.93
AT_10414,100.0,100.0,99.63
AT_10415,94.87,100.0,25.08
AT_10416,45.88,45.88,85.47
AT_10417,81.65,62.26,81.8
AT_10418,56.76,100.0,50.75
AT_10419,,70.52,
AT_10420,64.56,64.56,64.56
AT_10421,100.0,100.0,100.0
AT_10422,100.0,100.0,100.0
AT_10423,100.0,100.0,100.0
AT_10424,0.0,100.0,
AT_10425,14.84,16.21,6.59
AT_10426,54.87,54.87,54.87
AT_10427,84.11,100.0,11.04
AT_10428,100.0,100.0,100.0
AT_10501,100.0,100.0,70.49
AT_10502,99.23,99.89,99.89
AT_10503,100.0,100.0,100.0
AT_10504,99.12,99.42,99.42
AT_10505,90.41,76.84,76.84
AT_10506,32.15,42.48,42.48
AT_10507,74.25,93.78,93.78
AT_10508,100.0,100.0,100.0
AT_10509,98.18,78.84,78.84
AT_10510,49.36,49.93,49.93
AT_10511,97.01,97.01,100.0
AT_10512,100.0,100.0,100.0
AT_10601,100.0,100.0,100.0
AT_10602,54.32,87.79,98.46
AT_10603,100.0,100.0,100.0
AT_10604,100.0,100.0,100.0
AT_10605,100.0,100.0,100.0
AT_10606,99.96,99.96,100.0
AT_10607,100.0,100.0,100.0
AT_10608,100.0,100.0,100.0
AT_10609,76.96,77.09,78.38
AT_10610,100.0,100.0,100.0
AT_10611,100.0,100.0,100.0
