GEO,2023,2024,2025
AT001C,99.99,99.99,99.99
AT001F,96.05,95.9,96.25
AT002C,100.0,99.54,99.11
AT002F,88.12,90.02,91.01
AT003C,99.99,100.0,99.99
AT003F,90.45,86.71,85.81
AT004C,99.99,100.0,99.99
AT004F,95.71,96.18,97.01
AT005C,100.0,100.0,100.0
AT005F,96.27,96.48,96.92
AT006C,98.89,98.57,98.52
AT006F,85.29,80.95,80.93
AT007C,99.95,99.95,99.95
AT007F,97.75,98.55,98.42
AT008C,100.0,100.0,100.0
AT008F,92.94,95.06,96.3
BE001C,100.0,100.0,100.0
BE001F,98.05,98.99,99.44
BE002C,99.99,100.0,100.0
BE002F,99.98,99.98,99.98
BE003C,100.0,100.0,100.0
BE003F,99.9,99.96,99.94
BE004C,99.96,100.0,100.0
BE004F,89.89,92.38,95.3
BE005C,99.96,99.99,99.99
BE005F,89.77,94.04,96.25
BE006C,100.0,100.0,100.0
BE006F,99.78,99.84,99.92
BE007C,98.65,99.49,99.45
BE007F,73.62,82.68,87.62
BE008C,100.0,100.0,99.98
BE009C,96.17,98.46,99.18
BE009F,90.4,96.07,96.63
BE010C,100.0,100.0,100.0
BE010F,100.0,100.0,100.0
BE011C,99.99,99.99,99.99
BE011F,99.69,99.97,99.99
BE012C,100.0,100.0,100.0
BE013C,100.0,100.0,100.0
BE013F,99.98,99.98,99.99
BE014C,99.99,99.1,99.99
BE014F,99.26,98.72,99.97
BE015C,100.0,100.0,100.0
BE015F,94.01,94.69,96.08
BG001C,93.86,94.49,94.91
BG001F,83.38,84.52,85.13
BG002C,99.99,99.99,99.99
BG002F,66.24,73.1,75.48
BG003C,93.61,98.44,98.63
BG003F,72.19,76.48,78.23
BG004C,83.01,87.92,90.92
BG004F,72.96,76.73,79.38
BG005C,85.53,86.15,86.44
BG005F,60.46,60.9,62.05
BG006C,86.79,87.07,86.97
BG006F,70.3,70.53,70.45
BG008C,87.29,87.89,88.15
BG008F,85.85,86.44,86.7
BG009C,67.57,68.75,69.57
BG009F,67.57,68.75,69.57
BG010C,97.95,98.92,99.11
BG010F,80.31,81.11,81.26
BG011C,84.14,84.25,84.36
BG011F,53.78,53.85,53.92
BG012C,82.62,83.59,85.6
BG014C,79.95,79.9,79.95
BG014F,74.87,74.82,74.86
BG015C,64.9,71.66,69.98
BG015F,50.31,55.54,54.24
